model,fold,seed,test_auc,test_ap,test_f1,test_bacc,split
kNN-ECFP4-k5,0,0,0.6997584379988013,0.8771124864788062,0.8850556688097851,0.6397631315942237,scaffold
kNN-ECFP4-k5,1,0,0.680798719920068,0.753401186820859,0.7624309392265194,0.5986133548734518,scaffold
kNN-ECFP4-k5,2,0,0.7677797102988622,0.9122803450101874,0.8756383712905452,0.604687064352952,scaffold
kNN-ECFP4-k5,3,0,0.627613152989533,0.8179532775600842,0.8114767385313665,0.573293743726999,scaffold
kNN-ECFP4-k5,4,0,0.7636108395331848,0.8697637639192315,0.8503688092729189,0.6752003518196125,scaffold
kNN-ECFP4-k5,0,1,0.693774570614855,0.9183903105204052,0.899607843137255,0.6034379204305209,scaffold
kNN-ECFP4-k5,1,1,0.7508248373184596,0.8736559991787168,0.8385327391155296,0.6643435105408771,scaffold
kNN-ECFP4-k5,2,1,0.7832309171473957,0.8526000822983076,0.8613963039014374,0.6875788620709614,scaffold
kNN-ECFP4-k5,3,1,0.7228452877491416,0.7474094526955303,0.7632832539391718,0.6224818677378781,scaffold
kNN-ECFP4-k5,4,1,0.6924011695138457,0.8899099728208995,0.8658690176322418,0.5996850046145821,scaffold
kNN-ECFP4-k5,0,2,0.7568685792107056,0.8963554122661721,0.8729152768512342,0.6643193381802495,scaffold
kNN-ECFP4-k5,1,2,0.5663993969513942,0.6697156422421315,0.7457688808007279,0.5307153490977876,scaffold
kNN-ECFP4-k5,2,2,0.7277109421168189,0.8286306665126744,0.8396033829104695,0.6436942746593395,scaffold
kNN-ECFP4-k5,3,2,0.7488030272611683,0.8993922800092851,0.8800241764883651,0.6557971427789235,scaffold
kNN-ECFP4-k5,4,2,0.6800370612493671,0.871662020320213,0.8787649462691085,0.5988025546374895,scaffold
kNN-ECFP4-k5,0,3,0.7261582711620851,0.8782249635662807,0.8733939204011282,0.6228597018070703,scaffold
kNN-ECFP4-k5,1,3,0.7194899516016828,0.8362921164306784,0.8180606464511829,0.6376403655700164,scaffold
kNN-ECFP4-k5,2,3,0.6736463373834957,0.7552749667067664,0.7594982078853046,0.5781030681486057,scaffold
kNN-ECFP4-k5,3,3,0.736463947815194,0.9289491191129764,0.9135872654917567,0.6183640945128484,scaffold
kNN-ECFP4-k5,4,3,0.7486097504709187,0.8640204062044821,0.8586239396795476,0.6589129452158848,scaffold
kNN-ECFP4-k5,0,4,0.6766813409938441,0.7925323469419248,0.7929773226042429,0.6219666029438151,scaffold
kNN-ECFP4-k5,1,4,0.763830169773662,0.8891948858889647,0.8845280570872527,0.6559828852633875,scaffold
kNN-ECFP4-k5,2,4,0.6430944600062247,0.8540998005700049,0.8592028295470004,0.5736918767507002,scaffold
kNN-ECFP4-k5,3,4,0.7829877119790406,0.8526557635900882,0.8473243289451188,0.7095185886574304,scaffold
kNN-ECFP4-k5,4,4,0.642043131014974,0.8369612355928693,0.8519093449239367,0.5437182916705101,scaffold
