split,arm,decile,auc_mean_seed_mean,auc_sd_seed_mean,n_seeds,n_mean_per_fold_seed,n_pos_mean_per_fold_seed,nn_tanimoto_mean
random,ChemBERTa,5,0.9117174389371019,0.0012277553722268941,5,399.84,295.28,0.7950026965141297
random,ChemBERTa,6,0.9209138866604232,0.003720570531961119,5,394.8,291.12,0.8172675728797912
random,ChemBERTa,7,0.9160846941351988,0.005698678525030398,5,388.68,291.92,0.8447693324089051
random,ChemBERTa,8,0.9524520662990639,0.0029688724996614377,5,1187.6,877.32,0.9786483836174011
scaffold,ECFP4-RF,1,0.7790247138449591,0.020469994504974158,5,401.04,227.12,0.30554252982139585
scaffold,ECFP4-RF,2,0.7926396301774614,0.007150943564254445,5,400.44,268.92,0.3482418775558472
scaffold,ECFP4-RF,3,0.8229218633106262,0.008510643638854239,5,397.0,281.08,0.3732073616981506
scaffold,ECFP4-RF,4,0.8211773483846002,0.011286686486103072,5,394.64,293.64,0.3949551856517792
scaffold,ECFP4-RF,5,0.8128001814143963,0.013757351387929306,5,400.52,307.56,0.41602646589279174
scaffold,ECFP4-RF,6,0.809827018874727,0.009809154096162188,5,395.92,315.44,0.4374446058273315
scaffold,ECFP4-RF,7,0.8001199100946572,0.015202202128448333,5,398.52,318.44,0.4606346356868744
scaffold,ECFP4-RF,8,0.8096131048501801,0.022900777412770853,5,398.68,320.32,0.4901360476016998
scaffold,ECFP4-RF,9,0.8466008253022675,0.020866511645159208,5,386.88,303.12,0.5333315193653106
scaffold,ECFP4-RF,10,0.8900811244565663,0.020293352809930394,5,393.56,308.56,0.6308315086364746
scaffold,GIN,1,0.7259637022733758,0.023985620919452326,5,401.04,227.12,0.30554252982139585
scaffold,GIN,2,0.7646116987945175,0.014567480400353319,5,400.44,268.92,0.3482418775558472
scaffold,GIN,3,0.7955089733019471,0.021148477083376405,5,397.0,281.08,0.3732073616981506
scaffold,GIN,4,0.8000592879314731,0.014482810868774246,5,394.64,293.64,0.3949551856517792
scaffold,GIN,5,0.8035232512107587,0.013371919298597145,5,400.52,307.56,0.41602646589279174
scaffold,GIN,6,0.8041190236244422,0.015216196675806218,5,395.92,315.44,0.4374446058273315
scaffold,GIN,7,0.7925143713773729,0.02435288314706717,5,398.52,318.44,0.4606346356868744
scaffold,GIN,8,0.8037174954850078,0.02091808371976277,5,398.68,320.32,0.4901360476016998
scaffold,GIN,9,0.8140607101240598,0.02919103632490587,5,386.88,303.12,0.5333315193653106
scaffold,GIN,10,0.8804550754950254,0.019096528157397485,5,393.56,308.56,0.6308315086364746
scaffold,GIN-TFP,1,0.7518117088602269,0.021672505551903268,5,401.04,227.12,0.30554252982139585
scaffold,GIN-TFP,2,0.7750097802435378,0.01189857525987976,5,400.44,268.92,0.3482418775558472
scaffold,GIN-TFP,3,0.8050619091643497,0.01901499914765839,5,397.0,281.08,0.3732073616981506
scaffold,GIN-TFP,4,0.8048908801777899,0.024870547796590797,5,394.64,293.64,0.3949551856517792
scaffold,GIN-TFP,5,0.8095776026495184,0.011561424322096735,5,400.52,307.56,0.41602646589279174
scaffold,GIN-TFP,6,0.8084512793561462,0.02415638049383554,5,395.92,315.44,0.4374446058273315
scaffold,GIN-TFP,7,0.7959928891370022,0.009240987114873598,5,398.52,318.44,0.4606346356868744
scaffold,GIN-TFP,8,0.8025322832125579,0.02336505647240666,5,398.68,320.32,0.4901360476016998
scaffold,GIN-TFP,9,0.8297886694353007,0.028368574937409345,5,386.88,303.12,0.5333315193653106
scaffold,GIN-TFP,10,0.8829000078998612,0.01417464078101012,5,393.56,308.56,0.6308315086364746
scaffold,GIN-TNE,1,0.7434761055655039,0.023447426304506695,5,401.04,227.12,0.30554252982139585
scaffold,GIN-TNE,2,0.7762662666659561,0.02007738246545089,5,400.44,268.92,0.3482418775558472
scaffold,GIN-TNE,3,0.8003697526068294,0.024752162587717674,5,397.0,281.08,0.3732073616981506
scaffold,GIN-TNE,4,0.7940981933119702,0.019351449188154,5,394.64,293.64,0.3949551856517792
scaffold,GIN-TNE,5,0.7941217921565382,0.013991323859805511,5,400.52,307.56,0.41602646589279174
scaffold,GIN-TNE,6,0.8056391181317044,0.025744692913676395,5,395.92,315.44,0.4374446058273315
scaffold,GIN-TNE,7,0.7907251049610868,0.027650175365757437,5,398.52,318.44,0.4606346356868744
scaffold,GIN-TNE,8,0.7935498468403915,0.03135840708077645,5,398.68,320.32,0.4901360476016998
scaffold,GIN-TNE,9,0.8188970524086902,0.03523619918611127,5,386.88,303.12,0.5333315193653106
scaffold,GIN-TNE,10,0.8830388573027571,0.021525202044765063,5,393.56,308.56,0.6308315086364746
scaffold,ChemBERTa,1,0.7339115760564612,0.018751499760570802,5,401.04,227.12,0.30554252982139585
scaffold,ChemBERTa,2,0.7428168734372651,0.007842360322125794,5,400.44,268.92,0.3482418775558472
scaffold,ChemBERTa,3,0.7693449090500056,0.014334953319110008,5,397.0,281.08,0.3732073616981506
scaffold,ChemBERTa,4,0.7656960845722564,0.016776010264140485,5,394.64,293.64,0.3949551856517792
scaffold,ChemBERTa,5,0.7711665219517484,0.018984818314670433,5,400.52,307.56,0.41602646589279174
scaffold,ChemBERTa,6,0.7733836267855468,0.0047406852362763974,5,395.92,315.44,0.4374446058273315
scaffold,ChemBERTa,7,0.7720149483622587,0.01175031936296974,5,398.52,318.44,0.4606346356868744
scaffold,ChemBERTa,8,0.7883452001184995,0.019786533913861818,5,398.68,320.32,0.4901360476016998
scaffold,ChemBERTa,9,0.8117069947768041,0.01127278329275451,5,386.88,303.12,0.5333315193653106
scaffold,ChemBERTa,10,0.8803310338180402,0.02741765291504347,5,393.56,308.56,0.6308315086364746
