centroid_id,smiles,smiles_sha256,vina_affinity_kcal_mol,inside_fraction_with_padding,triad_min_distance_A,centroid_in_box,vina_out_sha256,vina_log_sha256
16,OC1(CC2=CC=C(F)C=C2)CCN(CC2=CC=CC=C2CF)CC1,b1b399b2cb7af007629a1ebe00ccfa52fad6a650acbd53c8ee2c1c42a660efe7,-6.017,1.0,8.745323550332484,True,4f38c4e5512a7286a6126db2bda5101ee9576220a2a4ba57e6aa483885efda2a,de0c3055470c50faeea8a23b7105dabceda4f72f968730a0c98ec7a9ffaa51d2
17,CCOC1(C=C(Cl)CCl)N=NC=CC=CCC(N=O)=N1,663528b79182ebdb9f16c464b2933c6a1226a232697c3641e09f3e01631823e5,-3.803,1.0,4.638310144869574,True,b1d44420927c46d220a7c3a31034fb2001db824b2d116aa93f1033f331b31d8d,29cc663747157f3d0007854a481ef8d425f8b005467e15b06c46640e8f1980f5
18,NO[P-]NC1C2=C(CC(Cl)=CCN2)Nc2ccccc21,b00cf302c3f1750bf9bd1eb35a3f1b292c95598fc9a286bb65731fc6151f74ca,-5.117,1.0,9.03534055805314,True,a3924dbf1c155d1bf2ccbe677fe11afaa2045c85d41da15e8b9e5885dd4e18fe,276bc761aa8d7f90da9d9d8c472cf67ffdfc7281b7ae83e78b3f952949676d5c
19,NC1=Nc2ccccc2C1NCCONc1ccc(Cl)c(Cl)c1,823118b136c64f7ad77e6354053ebb0ad07008f8d3303701427944058b0731d5,-5.343,1.0,5.243659599935906,True,74159211fb0401c2d8f22d294a38a7c128f1e9b33010a4f63d7089b07b93e5c8,7c97f7088585bd0a9bcda8d0ff14c0a34326cf81563214cfc15d88b90a90ca02
20,NC(=NC1=[S+]OCC=CC=C1)c1ccc(Cl)c(Cl)c1,aef3c31d711d880de870fd6848649e3f83b53f425b55ecad17f81cff8514584f,-4.657,1.0,9.664251134981956,True,d3ae6e47dad284045bb0a6308b53eb37d7f8f75295b0f7a63503dc149c21c87b,872b820f32ee566cad38b3a40eca381ec8f05e544abd6011e14f685413543e85
21,COc1ccc2sc(N(Cc3cccnc3)C(=O)c3ccccc3[N+](=O)[O-])nc2c1,c0001f155c1e0e6ec5bd089ba8d8ca6ae524d3c01e0c1824258c3e3e428204a7,-6.768,1.0,8.20074417354913,True,ef2b34e1b0ce45351573c1d411d651b9b2ac4eb2290b9807ee28abcc461cf259,5939b56f0013011db4205a7dd46215622c74a8ff28839a051c1d97e627896cc2
22,C=C(Cl)COc1ccc2c(CC)cc(=O)oc2c1,5c866ad7574942aa71d9ff10e3e40fa41f2f385d3315a27e5e0342826ad10fa4,-5.756,1.0,7.62418520236753,True,c4863f4afb65b19689ee985f0bf657c7c582a6efb3063950a7c37f82dc4cd56d,c383adbf4380a5dde585ea3bedfeed52fe4bfb75d8eee55305bab7086146ab12
23,CC[C@H](C)OC(=O)c1c(N)n(CCc2ccccc2)c2nc3ccccc3nc12,ad4169c214fa8e855efdf9cf1864c89b380a961c892508eb97fb8d0744e9f0e6,-7.069,1.0,8.829347031349487,True,b38cdba581aa8dda70d184ee3a444fb3b7fbf701af9d7565b994c3eada1692ec,57b37866760b1d9683e687cc12a509df9ea36c67478ae0c1838b3bcac8f73d44
24,C#CCN(CC#C)Cc1cc2c(c(OC)c1)OCO2,446805a8de6077833b614a5e00bcfb3b4c36c7bf65ed15ea9a7f56f66d68f3b5,-5.352,1.0,8.46136543354558,True,55568a595c7adbb5230b318a46c497cf4f048ea46f8d21b92420391fab5503c0,06281654d0e37e2ef0d64fe99c77d62f721aa81b9a32b63d787d5ab00f55531f
25,CSCc1cc2c(c(Br)c1)OCO2,b83a7118159936be3d1af28a86d95cff65f38a3345c182defc819f3bf5424389,-4.432,1.0,3.4251804332034848,True,72f44153377b457c6f6fc4bfe5beb2f6b711e8db49b0aba65510b618eb2224b4,9b78e74fc8a3e1471984b116cb4703c6b4cb273c9a4727644f7a2a51cdcd6166
26,NNC1=NCC=CCNC(=CC=CCl)C=C1C=NCl,8dfcf70e101740d5430d5d53bed89e14bdca806708412648f3151466d424e4b2,-4.071,1.0,8.670243191514295,True,9da0ba19fd1d4456284e2f5c96b872e96daac7c396a4679d7fdf6a7b4292bb96,60ac2d7b10cfcee8fbbae6f79f687254bf16e542adcdcaa6163d0f747c251c23
27,CCOC1=CC=C(CNC(C)C(O)C2=C(F)C=CC=C2Cl)C=C1OC,95674cfcb43d973539b4bf857f8ce29a19c72a46f67df486185a7087826926aa,-5.964,1.0,8.733285979515387,True,e112385b0bfe397d93065cf36dcd25f4dff4526bb359832cbcdb64430162e308,77c4648247265abb9c6a80dd00764b3a083da7a76786526e765edf07cc0802bd
28,NCCCCCCCC(Cl)=CCCCl,a1701ae4a2eb72edc0506a9c3c1703d1a6ebb5ae97d2bbfed61e7a70e8cb1fe9,-4.665,1.0,7.070571829774449,True,31ac59e32bb30e5163dc84df016bd32a453e5c19a67664c9a5fff8e904f691da,bb025e4bbf8de681c16c6e281779f887f0b192996c1ec26872c649903ab0a8a9
