smiles,PNS_700,PNS_400,PNS_900
C=CCc1cc(OC)c2c(c1OC)OCO2,4.356758056964227,4.325103483302396,4.700646762716547
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,4.336853087070401,4.303487455372796,4.699330371512036
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,2.3244718747031197,2.2889674204607955,2.7101848825063977
CC(C)=CCOc1ccc2ccc(=O)oc2c1,4.484661934915469,4.445735364601594,4.907552100097375
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,6.000184600499428,5.951847210988794,6.525311948472566
CC(C)=CCc1ccc2cc[nH]c2c1,4.19704314728275,4.160255399513595,4.596697589103014
CC=Cc1cc(O)c(O)c(OC)c1,4.36428181449077,4.332199476319996,4.712817664915419
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,3.4997094499685555,3.4599273506367947,3.9318939044951198
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,1.102375752654361,1.0595993017599943,1.5670902198872256
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,1.0448519951278172,1.0025033087423942,1.5049193176883535
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,4.449709449968555,4.409927350636795,4.88189390449512
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,1.1399945402870788,1.095079266847994,1.627944730881587
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,1.2346619349154686,1.1957353646015947,1.6575521000973754
COc1ccc2c(OC)c3ccoc3nc2c1OC,4.526663026858053,4.496719511231996,4.851963153921058
COc1cccc2c(=O)c3ccc(O)cc3oc12,4.481995632229664,4.446063413478395,4.87235578470527
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,4.454566904809294,4.417351392531195,4.8588684913018865
O=C(O)C=Cc1ccc(O)cc1,4.706758056964228,4.675103483302396,5.050646762716547
