cluster_id,centroid_MPO,n_members_docked,mean_vina,std_vina,best_vina,best_member_idx,best_member_tanimoto,spearman_tanimoto_vs_vina
52,0.8231585404961281,66,-8.466530303030304,0.24235239566173808,-9.067,57,0.5,-0.07631111354119044
289,0.812358871580291,158,-6.398183544303797,0.17382232815637308,-6.875,81,0.5434782608695652,0.13202422484423185
126,0.8002617056643819,141,-8.343978723404257,0.20480598722013918,-8.781,116,0.5,0.00727554573379232
460,0.7989873898732707,132,-8.563424242424244,0.2433809918503871,-9.455,130,0.5,0.043774869534154465
477,0.7918784569818882,78,-8.482051282051286,0.2013686222114111,-9.036,37,0.5454545454545454,-0.0007391294680836148
247,0.7896948530200636,27,-8.262777777777778,0.33644296960238557,-9.511,26,0.5,0.21065720242792396
357,0.783969786892021,50,-7.739380000000001,0.26662906205943465,-8.248,14,0.6078431372549019,0.47869068170332063
161,0.782059483570783,17,-7.6117058823529415,0.2921146531556321,-8.104,3,0.8108108108108109,-0.32384626611900225
16,0.7816188233845589,41,-8.919609756097561,0.18281860928920507,-9.404,21,0.5714285714285714,0.1476168510618565
154,0.7810818043733321,52,-8.392711538461539,0.20266018467495955,-8.775,49,0.5,0.35583099132615387
467,0.7789055140680985,55,-8.431472727272727,0.2146253285375045,-8.877,52,0.5,0.0947595464026423
22,0.7763776893494727,20,-7.2428,0.45400459074887406,-7.895,3,0.625,0.18742955116228144
459,0.7746092612338897,152,-8.976657894736842,0.37118824957964675,-9.954,15,0.6296296296296297,0.23018731718568702
334,0.7741693535059776,24,-8.333666666666666,0.30116508064033826,-8.929,4,0.5882352941176471,0.12366280097640257
246,0.7738158628174268,55,-8.106781818181819,0.5718412655594496,-9.44,5,0.6909090909090909,-0.20065103813475563
212,0.7722559674892762,199,-6.705502512562812,0.3320182980592793,-7.638,152,0.6122448979591837,0.010620643539897397
139,0.7707215990688396,117,-7.130239316239316,0.3398310343232113,-8.138,111,0.5185185185185185,0.3202470166953476
78,0.770689969688138,93,-9.388,0.3776873851077968,-10.326,76,0.5789473684210527,0.21953948446272992
325,0.7706663701336041,182,-7.823252747252747,0.32027141781582535,-8.757,109,0.6229508196721312,-0.06903094377424462
200,0.7703127903176703,156,-8.86427564102564,0.2630801318798306,-9.489,3,0.7818181818181819,-0.447516565535615
