candidate_id,target,dG_WT_kcal_mol,RRS_PfDHFR_N51I,RRS_PfDHFR_C59R,RRS_PfDHFR_S108N,RRS_PfDHFR_I164L,RRS_mean,RRS_class,RRS_PfCRT_K76T,RRS_PfCRT_K76A
PP-07,PfCRT,-7.299,,,,,105.17879161528975,A*,104.83627894232086,105.52130428825865
PP-08,PfCRT,-5.576,,,,,103.54196556671451,A,103.56886657101867,103.51506456241033
PP-15,PfCRT,-8.309,,,,,100.64388012997955,A*,100.64989770128776,100.63786255867133
PP-09,PfCRT,-7.013,,,,,100.46342506773135,A*,100.42777698559817,100.49907314986454
PP-03,PfCRT,-8.593,,,,,100.31420924007915,A*,100.45385779122542,100.17456068893287
PP-05,PfCRT,-8.402,,,,,100.21423470602238,A*,100.27374434658415,100.1547250654606
PP-13,PfCRT,-7.776,,,,,100.15432098765433,A*,100.24434156378601,100.06430041152264
PP-10,PfCRT,-7.637,,,,,100.03928244074899,A*,99.84287023700406,100.23569464449392
PP-14,PfCRT,-5.872,,,,,100.02554495912807,A,100.0,100.05108991825612
PP-01,PfCRT,-8.264,,,,,99.98789932236207,A*,99.96369796708615,100.01210067763797
PP-16,PfCRT,-7.058,,,,,99.94332672145083,A*,100.1558515160102,99.73080192689146
PP-02,PfCRT,-7.319,,,,,99.80188550348409,A*,99.78139090039623,99.82238010657194
PP-11,PfCRT,-8.44,,,,,99.69786729857822,A*,99.78672985781992,99.6090047393365
PP-04,PfCRT,-6.662,,,,,99.60972680876614,A,99.5346742719904,99.68477934554188
PP-17,PfCRT,-5.833,,,,,99.36567803874507,A,99.82856163209327,98.90279444539688
PP-06,PfCRT,-8.025,,,,,99.19003115264796,A*,99.78816199376945,98.59190031152647
PP-12,PfCRT,-6.524,,,,,97.94604537093808,A,97.51686082158186,98.3752299202943
PP-07,PfDHFR,-7.083,99.95764506565014,101.58125088239447,101.72243399689398,102.00480022589298,101.3165325427079,A*,,
PP-06,PfDHFR,-8.795,99.88629903354179,99.94314951677087,99.45423536100057,102.81978396816372,100.52586696986924,A*,,
PP-14,PfDHFR,-5.95,100.0,99.98319327731092,101.42857142857142,98.40336134453781,99.95378151260503,A,,
PP-01,PfDHFR,-7.884,100.06341958396754,100.16489091831558,101.04008117706749,98.30035514967021,99.89218670725522,A*,,
PP-13,PfDHFR,-8.369,100.60939180308281,100.34651690763532,99.2950173258454,98.61393236945872,99.71621460150556,A*,,
PP-04,PfDHFR,-6.738,100.96467794597802,100.35618878005342,99.25794004155534,98.04096170970612,99.65494211932324,A,,
PP-16,PfDHFR,-7.495,100.0133422281521,99.97331554369579,99.54636424282856,98.22548365577052,99.43962641761175,A*,,
PP-11,PfDHFR,-7.923,100.22718667171526,99.96213555471412,99.39416887542598,98.0058058816105,99.39732424586647,A*,,
PP-03,PfDHFR,-9.27,100.151024811219,99.82740021574973,99.5900755124056,97.87486515641856,99.36084142394822,A*,,
PP-12,PfDHFR,-6.412,98.44042420461635,99.25140361821585,99.12663755458514,100.42108546475359,99.30988771054274,A,,
PP-15,PfDHFR,-7.999,99.69996249531191,99.63745468183524,99.76247030878861,98.12476559569947,99.3061632704088,A*,,
PP-05,PfDHFR,-7.973,100.05016932145993,99.84949203562023,99.27254483883105,97.50407625736862,99.16907061331996,A*,,
PP-10,PfDHFR,-7.399,99.98648466008919,99.77023922151642,99.0133801865117,97.09420191917827,98.96607649682389,A*,,
PP-09,PfDHFR,-7.229,99.94466731221469,99.79250242080509,99.19767602711302,95.90538110388712,98.71005671600498,A*,,
PP-08,PfDHFR,-6.282,100.06367398917541,100.2546959567017,98.79019420566699,95.55873925501433,98.6668258516396,A,,
PP-17,PfDHFR,-5.939,100.08418925745075,99.83162148509851,97.59218723690857,97.15440309816466,98.66560026940562,A,,
PP-02,PfDHFR,-8.31,100.34897713598075,100.0962695547533,94.98194945848375,98.1468110709988,98.39350180505416,A*,,
