Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_245,-5.714,-4.609,-5.714,OTHERS
ligand_246,-6.922,-5.109,-6.922,OTHERS
ligand_247,-7.728,-5.433,-7.728,GOOD
ligand_248,-6.514,-5.345,-6.514,OTHERS
ligand_249,-7.082,-4.87,-7.082,GOOD
ligand_24,-5.692,-4.279,-5.692,OTHERS
ligand_251,-7.129,-4.911,-7.129,GOOD
ligand_252,-6.425,-5.092,-6.425,OTHERS
ligand_253,-6.059,-5.24,-6.059,OTHERS
ligand_254,-5.634,-5.467,-5.634,OTHERS
ligand_255,-4.017,-3.342,-4.017,OTHERS
ligand_256,-6.227,-5.154,-6.227,OTHERS
ligand_257,-6.416,-4.814,-6.416,OTHERS
ligand_258,-6.14,-4.437,-6.14,OTHERS
ligand_259,-6.559,-4.344,-6.559,OTHERS
ligand_25,-4.713,-3.746,-4.713,OTHERS
ligand_260,-8.001,-5.52,-8.001,GOOD
ligand_261,-6.544,-4.918,-6.544,OTHERS
ligand_262,-5.257,-4.323,-5.257,OTHERS
ligand_263,-8.358,-6.035,-8.358,GOOD
ligand_264,-8.131,-5.228,-8.131,GOOD
ligand_265,-5.553,-4.32,-5.553,OTHERS
ligand_266,-6.209,-5.608,-6.209,OTHERS
ligand_267,-7.386,-5.209,-7.386,GOOD
ligand_268,-6.999,-5.491,-6.999,OTHERS
ligand_269,-5.848,-4.666,-5.848,OTHERS
ligand_26,-6.285,-4.623,-6.285,OTHERS
ligand_270,-6.001,-4.782,-6.001,OTHERS
ligand_271,-5.981,-5.054,-5.981,OTHERS
ligand_272,-7.08,-5.026,-7.08,GOOD
ligand_273,-7.396,-4.971,-7.396,GOOD
ligand_274,-6.312,-4.309,-6.312,OTHERS
ligand_275,-7.273,-5.229,-7.273,GOOD
ligand_276,-8.547,-5.248,-8.547,GOOD
ligand_277,-8.256,-5.803,-8.256,GOOD
ligand_278,-6.65,-5.023,-6.65,OTHERS
ligand_279,-6.659,-4.889,-6.659,OTHERS
ligand_27,-6.929,-5.013,-6.929,OTHERS
ligand_280,-9.42,-6.273,-9.42,EXCELLENT
ligand_281,-6.152,-4.72,-6.152,OTHERS
ligand_282,-7.619,-5.38,-7.619,GOOD
ligand_283,-6.926,-4.953,-6.926,OTHERS
ligand_284,-6.163,-4.984,-6.163,OTHERS
ligand_285,-6.183,-5.494,-6.183,OTHERS
ligand_286,-6.375,-4.446,-6.375,OTHERS
ligand_287,-6.662,-5.359,-6.662,OTHERS
ligand_288,-6.782,-4.764,-6.782,OTHERS
ligand_289,-8.835,-5.996,-8.835,GOOD
ligand_28,-5.022,-4.745,-5.022,OTHERS
ligand_290,-6.341,-4.615,-6.341,OTHERS
ligand_291,-6.656,-5.735,-6.656,OTHERS
ligand_292,-6.777,-4.608,-6.777,OTHERS
ligand_293,-6.716,-5.879,-6.716,OTHERS
ligand_294,-7.561,-5.32,-7.561,GOOD
ligand_295,-6.81,-5.215,-6.81,OTHERS
ligand_296,-7.388,-6.262,-7.388,GOOD
ligand_297,-5.944,-4.54,-5.944,OTHERS
ligand_298,-5.863,-5.092,-5.863,OTHERS
ligand_299,-7.101,-5.245,-7.101,GOOD
ligand_29,-6.607,-5.049,-6.607,OTHERS
ligand_2,-6.556,-4.588,-6.556,OTHERS
ligand_300,-6.798,-5.523,-6.798,OTHERS
ligand_301,-6.266,-4.772,-6.266,OTHERS
ligand_302,-8.858,-5.68,-8.858,GOOD
ligand_303,-6.423,-4.52,-6.423,OTHERS
ligand_304,-6.795,-5.074,-6.795,OTHERS
ligand_305,-5.847,-4.384,-5.847,OTHERS
ligand_306,-7.469,-5.844,-7.469,GOOD
ligand_307,-7.166,-5.512,-7.166,GOOD
ligand_308,-6.475,-5.05,-6.475,OTHERS
