Compound Names,Smiles,chemical_class,chemical_subclass,np_classifier_class,np_classifier_pathway,np_classifier_superclass
khayanolide C,COC(=O)[C@H]([C@H]1[C@@]2(C)C[C@]3([C@]1(C)[C@H]1CC[C@@]4(C(=CC(=O)O[C@H]4c4cocc4)[C@]1([C@@H]3C(=O)[C@H]2O)O)C)O)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
khayanolide D,COC(=O)C[C@H]1[C@@]2(C)C[C@]3([C@]1(C)C1CC[C@@]4([C@@]5([C@]1([C@H]3[C@H]([C@H]2O)O5)O)CC(=O)O[C@H]4c1ccoc1)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
khayanolide E,COC(=O)[C@H]([C@H]1[C@@]2(C)C[C@]3([C@]1(C)[C@H]1CC[C@@]4([C@@]5([C@]1([C@H]3[C@H](C2=O)O5)O)CC(=O)O[C@H]4c1ccoc1)C)OC(=O)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
khayanone,COC(=O)[C@H]([C@H]1C(C)(C)C(=O)[C@H]2C(=O)[C@]1(C)[C@H]1CC[C@@]3([C@H]([C@]1(C2)O)CC(=O)O[C@H]3c1ccoc1)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
"khayanone-1,6-dibenzoate",COC(=O)[C@H]([C@H]1C(C)(C)C(=O)[C@H]2C(=O)[C@]1(C)[C@H]1CC[C@@]3([C@H]([C@]1(C2)OC(=O)c1ccccc1)CC(=O)O[C@H]3c1ccoc1)C)OC(=O)c1ccccc1,Terpenoid,Limonoid,,Terpenoids,Diterpenoids
"khayanone-1,6-dimethoxy-alpha-(trifluoromethyl)phenylacetate ester",COC(=O)[C@H]([C@@H]1[C@]2(C)C(=O)[C@H](C(=O)C1(C)C)C[C@]1([C@@H]2CC[C@@]2([C@H]1CC(=O)O[C@H]2c1cocc1)C)OC(=O)C(C(F)(F)F)(c1ccccc1)OC)OC(=O)C(C(F)(F)F)(c1ccccc1)OC,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
khayanone-(R)-methoxy-alpha-(trifluoromethyl)phenylacetate ester,COC(=O)[C@H]([C@@H]1[C@]2(C)C(OC(=O)C(C(F)(F)F)(c3ccccc3)OC)[C@H](C(=O)C1(C)C)C[C@]1([C@@H]2CC[C@@]2([C@H]1CC(=O)O[C@H]2c1ccoc1)C)O)O ,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
khayanone-(S)-methoxy-alpha-(trifluoromethyl)phenylacetate ester,COC(=O)[C@H]([C@@H]1[C@]2(C)C(OC(=O)C(C(F)(F)F)(c3ccccc3)OC)[C@H](C(=O)C1(C)C)C[C@]1([C@@H]2CC[C@@]2([C@H]1CC(=O)O[C@H]2c1ccoc1)C)O)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
khayanoside,OC[C@H]1O[C@@H](OC[C@H]2C(C)(C)C(=O)C=C[C@]2(C)[C@H]2CC[C@@]3([C@]4([C@@]2(C)C(=O)OC)O[C@@H]4C(=O)O[C@H]3c2ccoc2)C)[C@@H]([C@H]([C@@H]1O)O)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
knipholone,COc1cc(O)c(c(c1C(=O)C)O)c1c(C)cc(c2c1C(=O)c1cccc(c1C2=O)O)O,Quinone,,Anthraquinones and anthrones,Polyketides,Polycyclic aromatic polyketides
"2-(3,7-dimethylocta-2,6-dienyl)-6-[7-(3,7-dimethylocta-2,6-dienyl)-5-hydroxybenzofuran-2-yl]-[1,4]benzoquinone",C/C(=C\CC1=CC(=O)C=C(C1=O)c1oc2c(c1)cc(cc2C/C=C(/CCC=C(C)C)\C)O)/CCC=C(C)C,Quinone,Geranylbenzoquinonoid,,Shikimates and phenylpropanoids,
"dimethyl 2,3-bis-[5-(3,7-dimethylocta-2,6-dienyl)-3,6-dioxocyclohexa-1,4-dienyl]-succinate",COC(=O)C(C1=CC(=O)C=C(C1=O)C/C=C(/CCC=C(C)C)\C)C(C1=CC(=O)C=C(C1=O)C/C=C(/CCC=C(C)C)\C)C(=O)OC,Quinone,Geranylbenzoquinonoid,Polyprenylated cyclic polyketides (Hop meroterpenoids),Terpenoids,Meroterpenoids
lucidene,CC1(C)/C=C\C[C@@]2(C)Oc3ccccc3C[C@@H]2CC[C@@]2([C@@H](C1)Cc1ccccc1O2)C,Terpenoid,Sesquiterpene,,Terpenoids,
lupeol,CC(=C)[C@@H]1CC[C@]2(C1[C@@]1(C)CCC3[C@@]([C@@]1(CC2)C)(C)CCC1[C@]3(C)CC[C@@H](C1(C)C)O)C,Terpenoid,,Lupane triterpenoids,Terpenoids,Triterpenoids
maculosidine,COc1cc(OC)c2c(c1)c(OC)c1c(n2)occ1,Alkaloid,Furoquinoline alkaloid,Quinoline alkaloids,Alkaloids,Tryptophan alkaloids
melicopicine,COc1c(OC)c(OC)c2c(c1OC)n(C)c1c(c2=O)cccc1,Alkaloid,,Acridone alkaloids,Alkaloids,Anthranilic acid alkaloids
methyl 3beta-acetoxy-6-hydroxy-1-oxomeliac-14-enoate,COC(=O)C([C@H]1C(C)(C)[C@H](OC(=O)C)[C@H]2C(=O)[C@]1(C)[C@H]1CC[C@@]3(C(=CC(=O)O[C@H]3c3ccoc3)[C@@H]1C2)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
"methyl 5,10-dihydroxy-7-methoxy-3-methyl-3-(4-methyl-3-pentenyl)-3H-benzo[f]chromene-9-carboxylate",COC(=O)c1cc(OC)c2c(c1O)c1C=CC(Oc1c(c2)O)(C)CCC=C(C)C,Naphthalene derivate,Homoprenylated benzochromene,,,
methyl 6-hydroxyangolensate,COC(=O)[C@H]([C@@H]1[C@]2(C)[C@H](CC(=O)C1(C)C)O[C@@]13C(=C)[C@@H]2CC[C@@]1(C)[C@@H](OC(=O)C3)c1cocc1)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
methyl angolensate,COC(=O)CC1C2(C)C(CC(=O)C1(C)C)OC13C(=C)C2CCC1(C)C(OC(=O)C3)c1cocc1,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
methyl uguenenoate,COC(=O)C[C@@H]1OC([C@H]2[C@@]1(CO)[C@H]1CC[C@@]3([C@]4([C@@]1(C(=O)C2)C)O[C@@H]4C(=O)O[C@H]3c1cocc1)C)(C)C,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
microdontin A,OCc1cc(O)c2c(c1)[C@@H]([C@@H]1O[C@H](COC(=O)/C=C/c3ccc(cc3)O)[C@H]([C@@H]([C@H]1O)O)O)c1c(C2=O)c(O)ccc1,Quinone,Anthrone,Anthraquinones and anthrones,Polyketides,Polycyclic aromatic polyketides
microdontin B,OCc1cc(O)c2c(c1)[C@H]([C@@H]1O[C@H](COC/C=C/c3ccc(cc3)O)[C@H]([C@@H]([C@H]1O)O)O)c1c(C2=O)c(O)ccc1,Quinone,Anthrone,Anthraquinones and anthrones,Polyketides,Polycyclic aromatic polyketides
myristicin,C=CCc1cc(OC)c2c(c1)OCO2,Phenolic,Phenylpropanoid,Cinnamic acids and derivates,Shikimates and phenylpropanoids,Phenylpropanoids (C6-C3)
pellitorine,CCCCC/C=C/C=C/C(=O)NCC(C)C,Amide,,N-acy amines,Fatty acids,Fatty amides
nitidine,COc1cc2c[n+](C)c3c(c2cc1OC)ccc1c3cc2OCOc2c1,Alkaloid,Benzo[c]phenanthridine alkaloid,Isoquinoline alkaloids,Alkaloids,Tyrosine alkaloids
norcaesalpin D,CC(=O)O[C@H]1[C@@H](OC(=O)C)CC([C@]2([C@@]1(C)[C@H]1C=C3OC(=O)C=C3[C@H]([C@@H]1CC2)C)O)(C)C,Terpenoid,Norcassane furanoditerpene,Cassane diterpenoids,Terpenoids,Diterpenoids
normelicopicine,COc1c(OC)c(OC)c2c(c1O)c(=O)c1c(n2C)cccc1,Alkaloid,,Acridone alkaloids,Alkaloids,Anthranilic acid alkaloids
nothoapiole,C=CCc1c(OC)c(OC)c2c(c1OC)OCO2,Phenolic,Phenylpropanoid,,Shikimates and phenylpropanoids,
otostegindiol,C[C@@H]1CC[C@@H]2[C@@]([C@@]1(O)CCc1cocc1)(C)CC[C@H](C2(C)C)O,Terpenoid,Labdane diterpenoid,Labdane diterpenoids,Terpenoids,Diterpenoids
(+)-pandoxide,CO[C@@H]1C=C[C@@H]2[C@@]([C@H]1OC(=O)C)(COC(=O)c1ccccc1)C2,Ester,,,Shikimates and phenylpropanoids,
(-)-pipoxide,O=C(c1ccccc1)OC[C@]12OC1C=C[C@@H](C2O)OC(=O)c1ccccc1,Cyclohexane derivate,Oxygenated cyclohexane epoxide derivate,Simple phenolic acids,Shikimates and phenylpropanoids,Phenolic acids (C6-C1)
securinine,O=C1C=C2[C@@]3(O1)C[C@@H](C=C2)N1[C@@H]3CCCC1,Ketone,Alpha-beta-unsaturated ketone,Quinolizidine alkaloids,Alkaloids,Lysine alkaloids
seneganolide,O=C1O[C@@H](c2ccoc2)[C@]2([C@@H](C1)[C@]13C[C@@H]4[C@](O1)([C@@]1([C@H]3CC2)COC(=O)C[C@H]1C(C4=O)(C)C)O)C,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
sesamin,C1Oc2c(O1)cc(cc2)[C@H]1OC[C@H]2[C@@H]1CO[C@@H]2c1ccc2c(c1)OCO2,Lignan,,Furofuranoid lignans,Shikimates and phenylpropanoids,Lignans
sitosterol,CC[C@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,Steroid,Phytosterol,Stigmastane steroids,Terpenoids,Steroids
skimmianine,COc1ccc2c(c1OC)nc1c(c2OC)cco1,Alkaloid,,Quinoline alkaloids,Alkaloids,Tryptophan alkaloids
stigmasterol,CC[C@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@@H](C2)O)C,Steroid,Phytosterol,Stigmastane steroids,Terpenoids,Steroids
swietemahonin G,COC(=O)[C@@H]([C@H]1C(C)(C)[C@H](OC(=O)/C(=C/C)/C)[C@]2(C(=O)[C@]1(C)[C@H]1CC[C@@]3([C@H]([C@]41[C@@H]2O4)CC(=O)O[C@H]3c1ccoc1)C)O)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
swietenialide A,COC(=O)CC1[C@@]2(C)CC3(C1(C)C14OC5(OC1(C1C3([C@H]2OC(=O)/C(=C\C)/C)O[C@](O1)(C)OC)C(O5)([C@](CC4O)(C)[C@H](c1ccoc1)OC(=O)C)CC(=O)OC)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
swietenialide B,COC(=O)CC1[C@@]2(C)CC3(C1(C)C14OC5(OC1(C1C3([C@H]2OC(=O)/C(=C\C)/C)O[C@](O1)(CC)OC)C(O5)([C@](CC4O)(C)[C@H](c1ccoc1)OC(=O)C)CC(=O)OC)C)O,Terpenoid,Limonoid,Limonoids,Terpenoids,Triterpenoids
