SMARTS	PAINS_Alerts
[#6]-[#6](-[#7]-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6](-[#17]):[#6]:[#6]:[#6]:1-[#8]	mannich_A(296)
[#8]-[#6]1:[#6](:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:1:2)-[#6](-[#7]-[#6](=[#8])-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6](-[#6]-[#7]-[#6](=[#8])-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1)-[#6]1:[#6]:[#6]:[#6]2-[#8]-[#6]-[#8]-[#6]:2:[#6]:1	anil_di_alk_C(246)
[#6]-[#6](-[#6])-[#8]-[#6]-[#6]1:[#6]:[#6](-[#6]-[#7]2-[#6]-[#6]-[#7](-[#6]-[#6]-2)-[#6]2:[#6]:[#6]:[#6]:[#6](-[#17]):[#6]:2):[#6](-[#8]):[#6]2:[#7]:[#6]:[#6]:[#6]:[#6]:1:2	mannich_A(296)
[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]-[#7]1-[#6]-[#6]-[#6]2(-[#6]-[#6]-[#6]-[#7](-[#6]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#9])-[#6]-2)-[#6]-1	mannich_A(296)
[#17]-[#6]1:[#6]:[#6](-[#7]-[#6](=[#8])-[#6]2:[#8]:[#6](-[#35]):[#6]:[#6]:2):[#6]:[#6]:[#6]:1-[#7]1-[#6]-[#6]-[#6]-[#6]-[#6]-1	anil_di_alk_A(478)
[#8]=[#6](-[#7]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6]-[#6]-1)-[#6]1:[#6]:[#6]:[#6]:[#16]:1	anil_di_alk_A(478)
[#8]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#6]-[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6](-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	mannich_A(296)
[#6]-[#6]-[#7](-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1-[#6]-[#6]-[#7](-[#6]-[#6]2:[#6]:[#6](-[#35]):[#6]:[#6]:[#6]:2-[#8])-[#6]-[#6]-1	mannich_A(296)
[#6]-[#6]1-[#6]-[#6]-[#6]-[#6]-[#6]-1-[#7]-[#6]-[#6](-[#8])-[#6]-[#7]1:[#6](-[#6]):[#6](-[#6]):[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2	indol_3yl_alk(461)
[#6]-[#7](-[#6])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7]1-[#6](=[#7]-[#6](=[#7]-[#6]-1(-[#6])-[#6])-[#7])-[#7]	anil_di_alk_A(478)
[#6]1(:[#6]:[#6](-[#35]):[#6]:[#6]:[#6]:1-[#8])-[#6]-[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6](-[#9]):[#6]:1	mannich_A(296)
[#8]-[#6]1:[#6](-[#6]-[#7]2-[#6]-[#6]-[#7](-[#6]-[#6]-2)-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#9]):[#6]:[#6](-[#35]):[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6](-[#6]-[#7]-[#6](=[#8])-[#6]-[#6](-[#6])(-[#6])-[#6])-[#6]1:[#6]:[#6]:[#6]2-[#8]-[#6]-[#8]-[#6]:2:[#6]:1	anil_di_alk_C(246)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]-[#7]2-[#6]-[#6]-[#7](-[#6]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3)-[#6]-[#6]-2):[#6](-[#8]):[#6]:1	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6](-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1-[#17])-[#6]1:[#6]:[#6](-[#17]):[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1-[#8]	mannich_A(296)
[#35]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]2-[#6](=[#8])-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]:2:[#7]:[#7]:1	keto_phenone_A(11)
[#6]-[#6]-[#8]-[#6](=[#8])-[#6]1(-[#6]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6]-[#6]-[#7](-[#6]-[#6]2:[#6]:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:2-[#8])-[#6]-[#6]-1	mannich_A(296)
[#6]-[#6]1:[#6]:[#6]:[#7]:[#6](-[#7]-[#6](-[#6]2:[#6]:[#6]:[#6]:[#6](-[#8]-[#6]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#6]:2)-[#6]2:[#6]:[#6]:[#6]3:[#6]:[#6]:[#6]:[#7]:[#6]:3:[#6]:2-[#8]):[#6]:1	mannich_A(296)
[#6]-[#6]1=[#6](-[#6]-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6](:[#6]:2)-[#7+](=[#8])-[#8-])-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6]-1=[#8]	quinone_A(370)
[#6]-[#6]1-[#6]-[#6]-[#7](-[#6]-[#6]2:[#6](-[#8]):[#6]:[#6]:[#6]3:[#6]:[#6](:[#6](=[#8]):[#8]:[#6]:2:3)-[#6]2:[#7]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3:[#16]:2)-[#6]-[#6]-1	mannich_A(296)
[#6]-[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]3:[#6](-[#7]):[#6]4:[#6](-[#6]):[#6]:[#6]:[#6](-[#6]):[#6]:4:[#7]:[#6]:3:[#7]:[#6]:2:[#6]:1	amino_acridine_A(1)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]:[#6](:[#6]:1)-[#6](=[#8])-[#7]-[#6](-[#6]1:[#6]:[#6]:[#6](-[#6]):[#6]:[#6]:1)-[#6]1:[#6]:[#6](-[#17]):[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1-[#8]	mannich_A(296)
[#6]-[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#7]-[#6]2:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3:[#7]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:2:3):[#6]:[#6]:1	amino_acridine_A(46)
[#6](-[#6]-[#6]1:[#6]:[#7H]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2)-[#7]-[#6]1:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:1:2	amino_acridine_A(46)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#6]-[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]-1)-[#6]1:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:1)-[#6]1-[#7]-[#6]-[#6]-[#6]2:[#6]-1:[#7H]:[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:2:1	indol_3yl_alk(461)
[#6]-[#6]-[#6]-[#8]-[#6]-[#6]1:[#6]:[#6](-[#6]-[#7]2-[#6]-[#6]-[#7](-[#6]-[#6]-2)-[#6]2:[#6]:[#6]:[#6]:[#6](-[#17]):[#6]:2):[#6](-[#8]):[#6]2:[#7]:[#6]:[#6]:[#6]:[#6]:1:2	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6](=[#8])-[#7]-[#6](-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1-[#17])-[#6]1:[#6]:[#6](-[#17]):[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:2:[#6]:1-[#8]	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6](:[#6]:[#6](-[#8]-[#6]):[#6]:1-[#8])-[#6]1:[#7]:[#6](-[#6]2:[#6]:[#6]:[#6](-[#16]-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3):[#6]:[#6]:2):[#6](:[#7H]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	imidazole_A(19)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#6]:[#6]2-[#6](=[#8])-[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:3-[#6]:2:[#7]:[#7]:1	keto_phenone_A(11)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]-[#7]2-[#6]-[#6]-[#6]-[#6](-[#6]-2)-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6](:[#6]:[#6]:2)-[#6](-[#9])(-[#9])-[#9]):[#6](-[#8]):[#6]:1	mannich_A(296)
[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1-[#7]-[#6]-[#6]1:[#6]:[#6](-[#6]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:[#6]:1-[#8])-[#6]1:[#8]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7]:1	mannich_A(296)
[#8]-[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1-[#6](-[#7]-[#6](=[#8])-[#6]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1)-[#6]1:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:1	mannich_A(296)
[#6]-[#7](-[#6])-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7]=[#6]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#7]1-[#6]-[#6]-[#8]-[#6]-[#6]-1	anil_di_alk_A(478)
[#6]1(-[#7](-[#6])-[#7]=[#8])=[#6](-[#7]-[#6]2-[#6]-[#6]-[#6]-[#6]-[#6]-2)-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6]-1=[#8]	quinone_A(370)
[#6]-[#6]-[#8]-[#6]1:[#6]:[#6]2-[#6]-[#6]-[#7]-[#6](-[#6]3:[#6]:[#6](-[#17]):[#6]:[#6]:[#6]:3-[#8])-[#6]:2:[#6]:[#6]:1-[#8]-[#6]-[#6]	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]=[#6]2-[#16]-[#6](=[#7]-[#6]-2=[#8])-[#7]-[#6]2:[#6]:[#6]:[#6](-[#9]):[#6]:[#6]:2):[#6](-[#8]-[#6]):[#6]:1	ene_five_het_B(90)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6]=[#6]2-[#16]-[#6](=[#7]-[#6]-2=[#8])-[#7]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:[#6]:1	ene_five_het_B(90)
[#6]-[#6]-[#8]-[#6]1:[#6]:[#6]:[#6]2:[#7]:[#6](-[#6]):[#6]:[#6](-[#7]-[#6]3:[#6]:[#6]:[#6](:[#6]:[#6]:3)-[#7](-[#6])-[#6]):[#6]:2:[#6]:1	anil_di_alk_A(478)
[#6]1(-[#7]-[#6]2:[#6]:[#6]:[#6](:[#6]:[#6]:2)-[#7]2-[#6]-[#6]-[#7](-[#6]-[#6]-2)-[#6]):[#6]2:[#6](:[#6]:[#6]:[#6](-[#8]-[#6]):[#6]:2):[#7]:[#6]:[#6]:1-[#6](-[#8]-[#6]-[#6])=[#8]	anil_di_alk_A(478)
[#8]-[#6]1:[#6]:[#6]:[#6](:[#6]:[#6]:1)-[#6]1:[#7]:[#6](-[#6]2:[#6]:[#6]:[#6]3:[#8]:[#6]4:[#6]:[#6]:[#6](:[#6]:[#6]:4:[#6]:3:[#6]:2)-[#6]2:[#7H]:[#6](:[#7]:[#6]:2-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2)-[#6]2:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:2):[#6](:[#7H]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	imidazole_A(19)
[#8]-[#6]1:[#6]:[#6]:[#6](-[#35]):[#6]:[#6]:1-[#6]-[#7]1-[#6]-[#6]-[#7](-[#6]-[#6]2:[#6]:[#6]:[#6](-[#17]):[#6]:[#6]:2)-[#6]-[#6]-1	mannich_A(296)
[#8]-[#6]1:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#6]:1-[#6]-[#7]-[#6]1:[#7]:[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2:[#7H]:1	mannich_A(296)
[#6]-[#8]-[#6]1:[#6]:[#6](:[#6]:[#6](-[#8]-[#6]):[#6]:1-[#8])-[#6]1:[#7]:[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6](:[#7H]:1)-[#6]1:[#6]:[#6]:[#6]:[#6]:[#6]:1	imidazole_A(19)
[#8]-[#6]1:[#6](:[#6]:[#6]:[#6]2:[#6]:[#6]:[#6]:[#7]:[#6]:1:2)-[#6](-[#7]-[#6]1:[#6]:[#6]:[#6]:[#6]:[#7]:1)-[#6]1:[#6]:[#6]:[#6]:[#6](-[#8]-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2):[#6]:1	mannich_A(296)
[#7]1-[#6](-[#6]2:[#6]:[#6]:[#6]:[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:2:3)-[#6]2-[#6]-[#6]=[#6]-[#6]-2-[#6]2:[#6]-1:[#6](-[#17]):[#6]:[#6]:[#6]:2-[#6](-[#8]-[#6])=[#8]	anil_alk_ene(51)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#7]-[#6]2:[#7]:[#6](-[#7]-[#7]=[#6]-[#6]3:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:3):[#7]:[#6](-[#7]-[#6]3:[#6]:[#6]:[#6](:[#6]:[#6]:3)-[#7+](=[#8])-[#8-]):[#7]:2):[#6]:[#6]:1	hzone_phenol_B(215)
