SMARTS	PAINS_Alerts
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6@H]2-[#6]-[#8]-[#6]3:[#6]4:[#6](:[#6]:[#6](-[#8]):[#6]:3-[#6]-2=[#8])-[#8]-[#6@](-[#6])(-[#6]-[#6]-[#6]=[#6](-[#6])-[#6])-[#6]=[#6]-4):[#6](-[#8]):[#6]:1-[#8]	catechol_A(92)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6@H]2-[#6]-[#8]-[#6]3:[#6]:[#6]4:[#6](:[#6](-[#8]):[#6]:3-[#6]-2=[#8])-[#6]=[#6]-[#6@@](-[#6])(-[#6]-[#6]-[#6]=[#6](-[#6])-[#6])-[#8]-4):[#6](-[#8]):[#6]:1-[#8]	catechol_A(92)
[#6]-[#8]-[#6]1:[#6]:[#6]:[#6](-[#6@H]2-[#6]-[#8]-[#6]3:[#6](:[#6]:[#6]:[#6]4:[#6]:3-[#6]=[#6]-[#6@@](-[#6])(-[#6]-[#6]-[#6]=[#6](-[#6])-[#6])-[#8]-4)-[#6]-2):[#6](-[#8]):[#6]:1-[#8]	catechol_A(92)
[#6]-[#7]1-[#6]2:[#6]:[#6]:[#6]:[#6]:[#6]:2-[#6](-[#6]2:[#6]3:[#7]:[#6]4:[#6]:[#6]:[#6]:[#6]:[#6]:4:[#6]-3:[#7](-[#6]):[#6]3:[#6]:[#6]:[#6]:[#6]:[#6]:2:3)=[#6]2-[#7]=[#6]3-[#6]-[#6]=[#6]-[#6]-[#6@H]-3-[#6@H]-1-2	dyes5A(27)
[#6]-[#6](-[#6])=[#6]-[#6]-[#6]1:[#6]:[#6](-[#6]=[#6]-[#6](=[#8])-[#6]2:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:2-[#8]):[#6]:[#6](-[#8]):[#6]:1-[#8]	catechol_A(92)
[#6]-[#6@H](-[#8])-[#6]-[#6]1:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:1-[#6](=[#8])-[#8]	catechol_A(92)
[#6]-[#6@@H]1-[#8]-[#6@@H](-[#8]-[#6]2:[#6]:[#6](-[#8]):[#6]3:[#6](=[#8]):[#6]:[#6](-[#6]4:[#6]:[#6]:[#6](-[#8]):[#6](-[#8]):[#6]:4):[#8]:[#6]:3:[#6]:2)-[#6@H](-[#8])-[#6@H](-[#8])-[#6@H]-1-[#8]	catechol_A(92)
[#6]=[#6]-[#6@@H]1-[#6]-[#7]2-[#6]-[#6]-[#6]3:[#6](:[#7H]:[#6]4:[#6]:[#6]:[#6](-[#8]):[#6]:[#6]:3:4)-[#6@@H]-2-[#6]-[#6@H]-1-[#6]-[#6]-[#8]-[#6](-[#6])=[#8]	indol_3yl_alk(461)
[#6]-[#6](-[#6])-[#6]1=[#6](-[#8])-[#6](=[#8])-[#6]2=[#6](-[#6]-1=[#8])-[#6@H](-[#8]-[#6]=[#8])-[#6]-[#6@H]1-[#6](-[#6])(-[#6])-[#6]-[#6]-[#6]-[#6@]-2-1-[#6]	quinone_A(370)
[#6]-[#6](=[#8])-[#8]-[#6@@H]1-[#6]-[#6@H]2-[#6](-[#6])(-[#6])-[#6]-[#6]-[#6]-[#6@]-2(-[#6])-[#6]2=[#6]-1-[#6](=[#8])-[#6](-[#6](-[#6])-[#6])=[#6](-[#8])-[#6]-2=[#8]	quinone_A(370)
