Name,Smiles,standard_smiles
"(2R,7S)-7-(2,3-dihydroxy-4-methoxyphenyl)-5-hydroxy-2-methyl-2-(4-methylpent-3-enyl)-7,8-dihydropyrano[3,2-g]chromen-6-one ",COc1ccc([C@H]2COc3cc4c(c(O)c3C2=O)C=C[C@@](C)(CCC=C(C)C)O4)c(O)c1O,COc1ccc(C2COc3cc4c(c(O)c3C2=O)C=C[C@@](C)(CCC=C(C)C)O4)c(O)c1O
"3-methoxy-6-[(3S,8R)-8-methyl-8-(4-methylpent-3-enyl)-3,4-dihydro-2H-pyrano[2,3-f]chromen-3-yl]benzene-1,2-diol",COc1ccc([C@H]2COc3c(ccc4c3C=C[C@@](C)(CCC=C(C)C)O4)C2)c(O)c1O,COc1ccc(C2COc3c(ccc4c3C=C[C@@](C)(CCC=C(C)C)O4)C2)c(O)c1O
"(1S,6R,13S)-6-(3-hydroxyprop-1-en-2-yl)-16,17-dimethoxy-2,7-dioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3(11),4(8),9,14,16,18-hexaen-12-one ",C=C(CO)[C@H]1Cc2c(ccc3c2O[C@H]2CCc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,C=C(CO)[C@H]1Cc2c(ccc3c2O[C@H]2CCc4cc(OC)c(OC)cc4C2C3=O)O1
"(1S,6R,13R)-13-hydroxy-6-(3-hydroxyprop-1-en-2-yl)-16,17-dimethoxy-2,7-dioxapentacyclo[11.8.0.03,11.04,8.014,19]henicosa-3(11),4(8),9,14,16,18-hexaen-12-one",C=C(CO)[C@H]1Cc2c(ccc3c2O[C@H]2CCc4cc(OC)c(OC)cc4[C@]2(O)C3=O)O1,C=C(CO)[C@H]1Cc2c(ccc3c2O[C@H]2CCc4cc(OC)c(OC)cc4[C@]2(O)C3=O)O1
Ancistrocladine,COc1cc(O)c(-c2c(C)cc(OC)c3c(OC)cccc23)c2c1[C@H](C)N[C@@H](C)C2,COc1cc(O)c(-c2c(C)cc(OC)c3c(OC)cccc23)c2c1[C@H](C)N[C@@H](C)C2
"(3S)-5-(4,5-dimethoxy-7-methylnaphthalen-1-yl)-6,8-dimethoxy-3-methyl-1,2,3,4-tetrahydroisoquinoline",COc1cc(OC)c(-c2ccc(OC)c3c(OC)cc(C)cc23)c2c1CN[C@@H](C)C2,COc1cc(OC)c(-c2ccc(OC)c3c(OC)cc(C)cc23)c2c1CN[C@@H](C)C2
"(1R,3S)-6,8-dimethoxy-1,2,3-trimethyl-5-(4,5,7-trimethoxy-2-methylnaphthalen-1-yl)-3,4-dihydro-1H-isoquinoline",COc1cc(OC)c2c(OC)cc(C)c(-c3c(OC)cc(OC)c4c3C[C@H](C)N(C)[C@@H]4C)c2c1,COc1cc(OC)c2c(OC)cc(C)c(-c3c(OC)cc(OC)c4c3C[C@H](C)N(C)[C@@H]4C)c2c1
"(1R,3S)-5-(4,5-dimethoxynaphthalen-1-yl)-6,8-dimethoxy-1,2,3-trimethyl-3,4-dihydro-1H-isoquinoline",COc1cc(OC)c2c(c1-c1ccc(OC)c3c(OC)cccc13)C[C@H](C)N(C)[C@@H]2C,COc1cc(OC)c2c(c1-c1ccc(OC)c3c(OC)cccc13)C[C@H](C)N(C)[C@@H]2C
"(1R,3S)-5-(4,5-dimethoxy-2-methylnaphthalen-1-yl)-6,8-dimethoxy-1,2,3-trimethyl-3,4-dihydro-1H-isoquinoline",COc1cc(OC)c2c(c1-c1c(C)cc(OC)c3c(OC)cccc13)C[C@H](C)N(C)[C@@H]2C,COc1cc(OC)c2c(c1-c1c(C)cc(OC)c3c(OC)cccc13)C[C@H](C)N(C)[C@@H]2C
Quindoline,c1ccc2nc3c(cc2c1)[nH]c1ccccc13,c1ccc2nc3c(cc2c1)[nH]c1ccccc13
"11-indolo[3,2-b]quinolin-10-yl-5-methylindolo[3,2-b]quinoline",Cn1c2c3ccccc3nc-2c(-n2c3ccccc3c3nc4ccccc4cc32)c2ccccc21,Cn1c2c3ccccc3nc-2c(-n2c3ccccc3c3nc4ccccc4cc32)c2ccccc21
"(5~{a}~{R})-10-methyl-5~{a}~{H}-indolo[3,2-b][1]benzazepin-12-ol",CN1C2=CC(O)=c3ccccc3=N[C@@H]2c2ccccc21,CN1C2=CC(=O)c3ccccc3N[C@@H]2c2ccccc21
isocryptolepine,Cn1cc2c3ccccc3nc-2c2ccccc21,Cn1cc2c3ccccc3nc-2c2ccccc21
NEOCRYPTOLEPINE,Cn1c2nc3ccccc3c-2cc2ccccc21,Cn1c2nc3ccccc3c-2cc2ccccc21
"11-[(5aS,5bS)-5-methyl-5a,5b,6,9-tetrahydroindolo[3,2-b]quinolin-11-yl]-5-methylindolo[3,2-b]quinoline",CN1c2ccccc2C(c2c3nc4ccccc4c-3n(C)c3ccccc23)=C2N=C3CC=CC[C@H]3[C@@H]21,CN1c2ccccc2C(c2c3nc4ccccc4c-3n(C)c3ccccc23)=C2N=C3CC=CC[C@H]3[C@@H]21
"(2Z)-2-[2-[(1R,2R,4aR,8aS)-5,5,8a-trimethylspiro[3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,2'-oxirane]-1-yl]ethylidene]butanedial ",CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C(\C=O)CC=O,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C(\C=O)CC=O
"(2Z)-2-[2-[(1S,4aR,8aS)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethylidene]butanedial ",C=C1CC[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)CC=O,C=C1CC[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)CC=O
"(Z)-4-[(1S,4aR,8aS)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-2-(2,2-diethoxyethyl)but-2-enal",C=C1CC[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)CC(OCC)OCC,C=C1CC[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)CC(OCC)OCC
"(3R,7S)-7-[(1S,4aR,8aS)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-3-hydroxy-4,7-dihydro-3H-dioxepine-5-carbaldehyde",C=C1CC[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1[C@@H]1C=C(C=O)C[C@H](O)OO1,C=C1CC[C@@H]2C(C)(C)CCC[C@]2(C)[C@H]1[C@@H]1C=C(C=O)C[C@H](O)OO1
"(3E)-3-[2-[(1R,2S,4aR,8aS)-5,5,8a-trimethylspiro[3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,2'-oxirane]-1-yl]ethylidene]oxolan-2-one",CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@@]1(CO1)[C@@H]2C/C=C1\CCOC1=O,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@@]1(CO1)[C@@H]2C/C=C1\CCOC1=O
"(3S)-3-(2,4-dihydroxyphenyl)-5,7-dihydroxy-6-(3-methylbut-2-enyl)-2,3-dihydrochromen-4-one",CC(C)=CCc1c(O)cc2c(c1O)C(=O)[C@@H](c1ccc(O)cc1O)CO2,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2
DTXSID50904221,COc1ccc([C@H]2Oc3cc(O)cc(O)c3C(=O)[C@@H]2[C@H]2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(OC)cc2)cc1,COc1ccc([C@H]2Oc3cc(O)cc(O)c3C(=O)C2C2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(OC)cc2)cc1
SIKOKIANIN C,COc1ccc([C@H]2Oc3cc(O)cc(O)c3C(=O)[C@@H]2[C@H]2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)cc2)cc1,COc1ccc([C@H]2Oc3cc(O)cc(O)c3C(=O)C2C2C(=O)c3c(O)cc(O)cc3O[C@@H]2c2ccc(O)cc2)cc1
"(4aS,6aR,7R,11aR,11bR)-4,4,7,11b-tetramethyl-1,2,3,4a,5,6,6a,7,11,11a-decahydronaphtho[2,1-f][1]benzofuran",C[C@H]1c2ccoc2C[C@@H]2[C@@H]1CC[C@H]1C(C)(C)CCC[C@]21C,C[C@H]1c2ccoc2C[C@@H]2[C@@H]1CC[C@H]1C(C)(C)CCC[C@]21C
"(4aR,6aR,7R,11aR,11bR)-4,4,7,11b-tetramethyl-2,3,5,6,6a,7,11,11a-octahydro-1H-naphtho[2,1-f][1]benzofuran-4a-ol",C[C@H]1c2ccoc2C[C@@H]2[C@@H]1CC[C@@]1(O)C(C)(C)CCC[C@]21C,C[C@H]1c2ccoc2C[C@@H]2[C@@H]1CC[C@@]1(O)C(C)(C)CCC[C@]21C
"methyl (4S,4aR,6aR,7R,11aR,11bR)-4,7,11b-trimethyl-1,2,3,4a,5,6,6a,7,11,11a-decahydronaphtho[2,1-f][1]benzofuran-4-carboxylate",COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H]3Cc4occc4[C@H](C)[C@H]3CC[C@H]21,COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H]3Cc4occc4[C@H](C)[C@H]3CC[C@H]21
"methyl (4S,4aS,6aR,7R,11aR,11bR)-4a-hydroxy-4,7,11b-trimethyl-2,3,5,6,6a,7,11,11a-octahydro-1H-naphtho[2,1-f][1]benzofuran-4-carboxylate",COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H]3Cc4occc4[C@H](C)[C@H]3CC[C@@]12O,COC(=O)[C@@]1(C)CCC[C@]2(C)[C@@H]3Cc4occc4[C@H](C)[C@H]3CC[C@@]12O
"(4S,4aS,6aR,7R,11aR,11bR)-4a-hydroxy-4,7,11b-trimethyl-2,3,5,6,6a,7,11,11a-octahydro-1H-naphtho[2,1-f][1]benzofuran-4-carboxylic acid",C[C@H]1c2ccoc2C[C@@H]2[C@@H]1CC[C@@]1(O)[C@@](C)(C(=O)O)CCC[C@]21C,C[C@H]1c2ccoc2C[C@@H]2[C@@H]1CC[C@@]1(O)[C@@](C)(C(=O)O)CCC[C@]21C
"(8S)-5-hydroxy-8-(4-methoxyphenyl)-2,2-dimethyl-10-(3-methylbut-2-enyl)-7,8-dihydropyrano[3,2-g]chromen-6-one",COc1ccc([C@@H]2CC(=O)c3c(O)c4c(c(CC=C(C)C)c3O2)OC(C)(C)C=C4)cc1,COc1ccc([C@@H]2CC(=O)c3c(O)c4c(c(CC=C(C)C)c3O2)OC(C)(C)C=C4)cc1
"1-(2,4-Dihydroxy-3,6-dimethoxyphenyl)-3-phenylprop-2-en-1-one",COc1cc(O)c(OC)c(O)c1C(=O)C=Cc1ccccc1,COc1cc(O)c(OC)c(O)c1C(=O)C=Cc1ccccc1
Spectrum_001933,COc1cc(O)c(C(=O)C=Cc2ccccc2)c(OC)c1,COc1cc(O)c(C(=O)C=Cc2ccccc2)c(OC)c1
"(3R)-5,7-dihydroxy-3-[(S)-hydroxy(phenyl)methyl]-6-methoxy-2,3-dihydrochromen-4-one",COc1c(O)cc2c(c1O)C(=O)[C@@H]([C@H](O)c1ccccc1)CO2,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2
"1-(2,4-dihydroxy-6-methoxyphenyl)-3-phenylprop-2-en-1-one",COc1cc(O)cc(O)c1C(=O)C=Cc1ccccc1,COc1cc(O)cc(O)c1C(=O)C=Cc1ccccc1
"2-Propen-1-one, 1-(2,6-dihydroxy-3,4-dimethoxyphenyl)-3-phenyl-, (E)-; (2E)-1-(2,6-Dihydroxy-3,4-dimethoxyphenyl)-3-phenyl-2-propen-1-one",COc1cc(O)c(C(=O)C=Cc2ccccc2)c(O)c1OC,COc1cc(O)c(C(=O)C=Cc2ccccc2)c(O)c1OC
35241-55-5,COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1,COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1
Dihydropashanone,COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1OC,COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1OC
"(13S)-2,3-dimethoxy-12-methyl-13H-[1,3]benzodioxolo[5,6-c]phenanthridin-13-ol",COc1cc2c(cc1OC)[C@H](O)N(C)c1c-2ccc2cc3c(cc12)OCO3,COc1cc2c(cc1OC)[C@H](O)N(C)c1c-2ccc2cc3c(cc12)OCO3
"[(1R,2R,6S,9R,12R,16S,17S,18R,19R)-18-acetyloxy-16-(furan-3-yl)-8,8,12,17-tetramethyl-4,11-dioxo-7-oxapentacyclo[10.7.0.02,6.02,9.013,17]nonadec-13-en-19-yl] acetate",CC(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(C)C(=CC[C@H]2c2ccoc2)[C@]2(C)C(=O)C[C@H]3C(C)(C)O[C@H]4CC(=O)C[C@]43[C@@H]12,CC(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(C)C(=CC[C@H]2c2ccoc2)[C@]2(C)C(=O)C[C@H]3C(C)(C)O[C@H]4CC(=O)C[C@]43[C@@H]12
"[(1R,2R,6S,9R,12R,13R,15R,17S,18R,19R,20R)-19-Acetyloxy-17-(furan-3-yl)-8,8,12,18-tetramethyl-4,11-dioxo-7,14-dioxahexacyclo[10.8.0.02,6.02,9.013,15.013,18]icosan-20-yl] acetate",CC(=O)O[C@@H]1[C@@H]2[C@@]34CC(=O)C[C@@H]3OC(C)(C)[C@@H]4CC(=O)[C@@]2(C)[C@@]23O[C@@H]2C[C@@H](c2ccoc2)[C@]3(C)[C@H]1OC(C)=O,CC(=O)O[C@@H]1[C@@H]2[C@@]34CC(=O)C[C@@H]3OC(C)(C)[C@@H]4CC(=O)[C@@]2(C)[C@@]23O[C@@H]2C[C@@H](c2ccoc2)[C@]3(C)[C@H]1OC(C)=O
"[(1R,2R,6S,9R,11R,12R,16S,17S,18R,19R)-18,19-diacetyloxy-16-(furan-3-yl)-8,8,12,17-tetramethyl-4-oxo-7-oxapentacyclo[10.7.0.02,6.02,9.013,17]nonadec-13-en-11-yl] acetate",CC(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(C)C(=CC[C@H]2c2ccoc2)[C@]2(C)[C@H](OC(C)=O)C[C@H]3C(C)(C)O[C@H]4CC(=O)C[C@]43[C@@H]12,CC(=O)O[C@H]1[C@H](OC(C)=O)[C@]2(C)C(=CC[C@H]2c2ccoc2)[C@]2(C)[C@H](OC(C)=O)C[C@H]3C(C)(C)O[C@H]4CC(=O)C[C@]43[C@@H]12
"2',3,4,4'-tetrahydroxy-5-prenylchalcone",CC(C)=CCc1cc(C=CC(=O)c2ccc(O)cc2O)cc(O)c1O,CC(C)=CCc1cc(C=CC(=O)c2ccc(O)cc2O)cc(O)c1O
5-deoxyabyssinin II,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O
" (2R,3R,4S,5S,6R)-2-[[(3S,8R,9R,10R,13R,14R,17R)-17-[(E,2S,5S)-5-ethyl-6-methylhept-3-en-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol  ",CC[C@H](/C=C/[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,CC[C@H](/C=C/[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C
"(Z)-3-[(3R,4aR,8aS)-3,5,5,8a-tetramethyl-6-oxo-4,4a-dihydro-1,2-benzodioxin-3-yl]prop-2-enoic acid ",CC1(C)C(=O)C=C[C@]2(C)OO[C@@](C)(/C=C\C(=O)O)C[C@H]12,CC1(C)C(=O)C=C[C@]2(C)OO[C@@](C)(/C=C\C(=O)O)C[C@H]12
"(4S,5R)-4-hydroxy-5-[(Z)-5-hydroxy-3-methyl-2-oxopent-3-enyl]-4,6,6-trimethylcyclohex-2-en-1-one ",C/C(=C/CO)C(=O)C[C@@H]1C(C)(C)C(=O)C=C[C@]1(C)O,C/C(=C/CO)C(=O)C[C@@H]1C(C)(C)C(=O)C=C[C@]1(C)O
"[(Z)-5-[(1R,2S)-2-hydroxy-2,6,6-trimethyl-5-oxocyclohex-3-en-1-yl]-3-methyl-4-oxopent-2-enyl] decanoate",CCCCCCCCCC(=O)OC/C=C(/C)C(=O)C[C@@H]1C(C)(C)C(=O)C=C[C@]1(C)O,CCCCCCCCCC(=O)OC/C=C(/C)C(=O)C[C@@H]1C(C)(C)C(=O)C=C[C@]1(C)O
3943-97-3,COC(=O)C=Cc1ccc(O)cc1,COC(=O)C=Cc1ccc(O)cc1
"[(1R,2S,6R,7S,12R)-2,6-dimethyl-12-propan-2-yl-13,14-dioxatetracyclo[10.2.2.01,10.02,7]hexadec-10-en-6-yl]methanol",CC(C)[C@@]12C=C3CC[C@H]4[C@](C)(CO)CCC[C@]4(C)[C@]3(CC1)OO2,CC(C)[C@@]12C=C3CC[C@H]4[C@](C)(CO)CCC[C@]4(C)[C@]3(CC1)OO2
"(4aR,9aR)-3,6,8-trihydroxy-1,1,7-tris(3-methylbut-2-enyl)-4a,9a-dihydroxanthene-2,9-dione",CC(C)=CCc1c(O)cc2c(c1O)C(=O)[C@H]1[C@@H](C=C(O)C(=O)C1(CC=C(C)C)CC=C(C)C)O2,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C1[C@@H](CC(=O)C(=O)C1(CC=C(C)C)CC=C(C)C)O2
"2,3-dihydroxy-6-[(2S)-2-hydroxypropyl]benzoic acid",C[C@H](O)Cc1ccc(O)c(O)c1C(=O)O,C[C@H](O)Cc1ccc(O)c(O)c1C(=O)O
hookerianamide H,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CC[C@H]4C(=O)C(NC=O)=CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C,C[C@@H]([C@H]1CC[C@H]2[C@@H]3CCC4C(=O)C(NC=O)=CC[C@]4(C)[C@H]3CC[C@]12C)N(C)C
5-hydroxy-3-methoxyxanthone,COc1ccc2c(=O)c3cccc(O)c3oc2c1,COc1ccc2c(=O)c3cccc(O)c3oc2c1
88331-62-8,O=C(c1cc(O)ccc1O)c1c(O)cccc1O,O=C(c1cc(O)ccc1O)c1c(O)cccc1O
3-hydroxy-5-methoxyxanthen-9-one,COc1cccc2c(=O)c3ccc(O)cc3oc12,COc1cccc2c(=O)c3ccc(O)cc3oc12
"labda-8(17),12-diene-15,16-dial",C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CC=O,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(/C=O)CC=O
"(4aS,6aS,7S,11aR,11bS)-7-(hydroxymethyl)-4,4,11b-trimethyl-1,2,3,4a,5,6,7,8,11,11a-decahydrocyclohepta[a]naphthalene-6a,9-dicarbaldehyde",CC1(C)CCC[C@]2(C)[C@H]3CC=C(C=O)C[C@H](CO)[C@]3(C=O)CC[C@@H]12,CC1(C)CCC[C@]2(C)[C@H]3CC=C(C=O)C[C@H](CO)[C@]3(C=O)CC[C@@H]12
luteolin-7-O-alpha-L-rhamnoside,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@H](O)[C@H]1O,C[C@@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@H](O)[C@H]1O
"(4aS,6aR,7R,11aR,11bS)-7-(2-hydroxyethyl)-4,4,11b-trimethyl-1,2,3,4a,5,6,7,8,11,11a-decahydrocyclohepta[a]naphthalene-6a,9-dicarbaldehyde",CC1(C)CCC[C@]2(C)[C@H]3CC=C(C=O)C[C@H](CCO)[C@]3(C=O)CC[C@@H]12,CC1(C)CCC[C@]2(C)[C@H]3CC=C(C=O)C[C@H](CCO)[C@]3(C=O)CC[C@@H]12
Xanthoxoline,COc1cc2[nH]c3ccccc3c(=O)c2c(O)c1OC,COc1cc2[nH]c3ccccc3c(=O)c2c(O)c1OC
"(E)-4-[(1S,4aS,8aS)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-2-formylbut-2-enoic acid  ",C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)C(=O)O,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1C/C=C(\C=O)C(=O)O
"2-[2-[(1S,4aS,8aS)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]ethylidene]propanedial",C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC=C(C=O)C=O,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1CC=C(C=O)C=O
"2-[[(1S,4aS,8aS)-5,5,8a-trimethyl-2-methylidene-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]methyl]furan-3-carbaldehyde",C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1Cc1occc1C=O,C=C1CC[C@H]2C(C)(C)CCC[C@]2(C)[C@H]1Cc1occc1C=O
"methyl 2-[(1R,5S)-1-[(2E)-3,7-dimethylocta-2,6-dienyl]-5-hydroxy-2-oxocyclohex-3-en-1-yl]acetate",COC(=O)C[C@@]1(C/C=C(\C)CCC=C(C)C)C[C@H](O)C=CC1=O,COC(=O)C[C@@]1(C/C=C(\C)CCC=C(C)C)C[C@H](O)C=CC1=O
16betaH-Kauran-16-ol,CC1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@@](C)(O)C3,CC1(C)CCC[C@]2(C)[C@@H]1CC[C@@]13C[C@@H](CC[C@H]12)[C@@](C)(O)C3
"(1R,4S,5R,9S,10S,13R,15S)-15-acetyloxy-5,9-dimethyl-14-methylidenetetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylic acid",C=C1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1OC(C)=O,C=C1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1OC(C)=O
Grandifloric acid,C=C1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1O,C=C1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1O
"(1S,4S,5R,9S,10S,13S,14S,16S)-16-hydroxy-5,9,14-trimethyltetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylic acid",C[C@H]1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1[C@@H]3O,C[C@H]1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O)[C@@H]2CC[C@@H]1[C@@H]3O
"(1R,4S,5R,9S,10S,13R,14R,15S)-15-hydroxy-5,9,14-trimethyltetracyclo[11.2.1.01,10.04,9]hexadecane-5-carboxylic acid",C[C@@H]1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1O,C[C@@H]1[C@@H]2CC[C@H]3[C@]4(C)CCC[C@@](C)(C(=O)O)[C@H]4CC[C@]3(C2)[C@H]1O
"2-[(2S,3S,12bS)-3-ethenyl-9-hydroxy-1,2,3,4,6,7,12,12b-octahydroindolo[2,3-a]quinolizin-2-yl]ethyl acetate",C=C[C@@H]1CN2CCc3c([nH]c4ccc(O)cc34)[C@@H]2C[C@H]1CCOC(C)=O,C=C[C@@H]1CN2CCc3c([nH]c4ccc(O)cc34)C2C[C@H]1CCOC(C)=O
"(3aS,4aS,8aS,9aR)-4a-methyl-3,8-dimethylidene-4,8a,9,9a-tetrahydro-3aH-benzo[f][1]benzofuran-2,7-dione",C=C1C(=O)C=C[C@]2(C)C[C@H]3C(=C)C(=O)O[C@@H]3C[C@H]12,C=C1C(=O)C=C[C@]2(C)C[C@H]3C(=C)C(=O)O[C@@H]3C[C@H]12
"[(1~{S},8~{S},10~{S})-6-(acetoxymethyl)-1,10-dimethyl-5-oxo-4,14-dioxatricyclo[9.2.1.0^{3,7}]tetradeca-2,6,11-trien-8-yl] 2-methylprop-2-enoate",C=C(C)C(=O)O[C@H]1C[C@H](C)C2=CC[C@@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2,C=C(C)C(=O)O[C@H]1C[C@H](C)C2=CC[C@@](C)(/C=C3/OC(=O)C(COC(C)=O)=C31)O2
"[(1S,8S,10S)-6-(acetyloxymethyl)-1,10-dimethyl-5-oxo-4,14-dioxatricyclo[9.2.1.03,7]tetradeca-2,6,11-trien-8-yl] (E)-4-acetyloxy-3-methylbut-2-enoate",CC(=O)OCC1=C2/C(=C\[C@]3(C)CC=C(O3)[C@@H](C)C[C@@H]2OC(=O)/C=C(\C)COC(C)=O)OC1=O,CC(=O)OCC1=C2/C(=C\[C@]3(C)CC=C(O3)[C@@H](C)C[C@@H]2OC(=O)/C=C(\C)COC(C)=O)OC1=O
"[(3aR,4S,10Z,11aR)-6-(acetyloxymethyl)-10-formyl-3-methylidene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-4-yl] 2-(hydroxymethyl)prop-2-enoate",C=C(CO)C(=O)O[C@H]1C/C(COC(C)=O)=C\CC/C(C=O)=C\[C@H]2OC(=O)C(=C)[C@H]12,C=C(CO)C(=O)O[C@H]1C/C(COC(C)=O)=C\CC/C(C=O)=C\[C@H]2OC(=O)C(=C)[C@H]12
"[(3aR,4S,6R,7R,7aR)-6-(acetyloxymethyl)-3-methylidene-2-oxo-7-(3-oxoprop-1-en-2-yl)-6-prop-2-enyl-4,5,7,7a-tetrahydro-3aH-1-benzofuran-4-yl] 2-(hydroxymethyl)prop-2-enoate",C=CC[C@@]1(COC(C)=O)C[C@H](OC(=O)C(=C)CO)[C@H]2C(=C)C(=O)O[C@@H]2[C@H]1C(=C)C=O,C=CC[C@@]1(COC(C)=O)C[C@H](OC(=O)C(=C)CO)[C@H]2C(=C)C(=O)O[C@@H]2[C@H]1C(=C)C=O
"[(4aR,5S,6S,7S,8aS)-5-hydroxy-6-(3-methoxy-3-oxoprop-1-en-2-yl)-4-methylidene-3-oxo-8a-prop-2-enyl-1,4a,5,6,7,8-hexahydroisochromen-7-yl] 2-(hydroxymethyl)prop-2-enoate",C=CC[C@@]12COC(=O)C(=C)[C@@H]1[C@H](O)[C@H](C(=C)C(=O)OC)[C@@H](OC(=O)C(=C)CO)C2,C=CC[C@@]12COC(=O)C(=C)[C@@H]1[C@H](O)[C@H](C(=C)C(=O)OC)[C@@H](OC(=O)C(=C)CO)C2
