Name,Smiles,standard_smiles
"(3E)-3-[2-[(1R,2R,4aR,8aS)-5,5,8a-trimethylspiro[3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,2'-oxirane]-1-yl]ethylidene]oxolan-2-one",CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C1\CCOC1=O,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C1\CCOC1=O
"2-[(E)-2-[(1R,2S,4aS,8aS)-5,5,8a-trimethylspiro[3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,2'-oxirane]-1-yl]ethenyl]-4-[(1S)-2-[(1R,2R,4aR,8aS)-5,5,8a-trimethylspiro[3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,2'-oxirane]-1-yl]-1-hydroxyethyl]benzaldehyde",CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C[C@H](O)c1ccc(C=O)c(/C=C/[C@H]2[C@@]3(CC[C@H]4C(C)(C)CCC[C@@]42C)CO3)c1,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C[C@H](O)c1ccc(C=O)c(/C=C/[C@H]2[C@@]3(CC[C@H]4C(C)(C)CCC[C@@]42C)CO3)c1
" (4aR,6aS,7R,11aR,11bS)-7-hydroxy-4,4,11b-trimethyl-1,2,3,4a,5,6,7,8,11,11a-decahydrocyclohepta[a]naphthalene-6a,9-dicarbaldehyde",CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@@]1(C=O)[C@H](O)CC(C=O)=CC[C@H]21,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@@]1(C=O)[C@H](O)CC(C=O)=CC[C@H]21
"(2E)-2-[2-[(1R,2R,4aR,8aS)-5,5,8a-trimethylspiro[3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,2'-oxirane]-1-yl]ethylidene]butanedial",CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C(/C=O)CC=O,CC1(C)CCC[C@@]2(C)[C@@H]1CC[C@]1(CO1)[C@@H]2C/C=C(/C=O)CC=O
"[(2S,3S)-5,7-dihydroxy-2-(4-hydroxyphenyl)-4-oxo-2,3-dihydrochromen-3-yl] acetate ",CC(=O)O[C@@H]1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1
"(2S,3S)-3,4',5,7-Tetrahydroxyflavanone",O=C1c2c(O)cc(O)cc2O[C@@H](c2ccc(O)cc2)[C@@H]1O,O=C1C(O)c2c(O)cc(O)cc2OC1c1ccc(O)cc1
"(3S)-3-[(1S)-2-[(1R,2S,3R,4aS,6S,8aS)-2,3,6-trihydroxy-2-(hydroxymethyl)-5,5,8a-trimethyl-3,4,4a,6,7,8-hexahydro-1H-naphthalen-1-yl]-1-hydroxyethyl]oxolan-2-one",CC1(C)[C@H]2C[C@@H](O)[C@@](O)(CO)[C@H](C[C@H](O)[C@@H]3CCOC3=O)[C@@]2(C)CC[C@@H]1O,CC1(C)[C@H]2C[C@@H](O)[C@@](O)(CO)[C@H](C[C@H](O)C3CCOC3=O)[C@@]2(C)CC[C@@H]1O
"methyl (E)-4-[(1R,2R,3S,4aS,6S,8aS)-3,6-dihydroxy-5,5,8a-trimethylspiro[3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,2'-oxirane]-1-yl]-2-(2-hydroxyethyl)but-2-enoate  ",COC(=O)/C(=C/C[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@H]2C[C@H](O)[C@]12CO2)CCO,COC(=O)/C(=C/C[C@@H]1[C@@]2(C)CC[C@H](O)C(C)(C)[C@H]2C[C@H](O)[C@]12CO2)CCO
1119-38-6,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C
"(8S,9S,10R,13R,14R,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-1,2,6,7,8,9,11,12,14,15,16,17-dodecahydrocyclopenta[a]phenanthren-3-one",CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C)C(C)C
"methyl (E)-4-[(1R,2R,4aS,6S,8aS)-6-hydroxy-5,5,8a-trimethylspiro[3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,2'-oxirane]-1-yl]-2-[(2S)-oxiran-2-yl]but-2-enoate ",COC(=O)/C(=C/C[C@H]1[C@]2(CC[C@@H]3C(C)(C)[C@@H](O)CC[C@@]31C)CO2)[C@H]1CO1,COC(=O)/C(=C/C[C@H]1[C@]2(CC[C@@H]3C(C)(C)[C@@H](O)CC[C@@]31C)CO2)[C@H]1CO1
" methyl (E)-4-[(1R,2R,4R,4aS,6S,8aS)-4,6-dihydroxy-5,5,8a-trimethylspiro[3,4,4a,6,7,8-hexahydro-1H-naphthalene-2,2'-oxirane]-1-yl]-2-[(2S)-oxiran-2-yl]but-2-enoate  ",COC(=O)/C(=C/C[C@H]1[C@@]2(CO2)C[C@@H](O)[C@@H]2C(C)(C)[C@@H](O)CC[C@@]21C)[C@H]1CO1,COC(=O)/C(=C/C[C@H]1[C@@]2(CO2)C[C@@H](O)[C@@H]2C(C)(C)[C@@H](O)CC[C@@]21C)[C@H]1CO1
"(3S,8R,9R,10R,12R,13S,14R,17R)-17-[(2R,5R)-5-ethyl-6-methylheptan-2-yl]-10,12-dimethyl-1,2,3,4,7,8,9,11,12,13,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-ol  ",CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3C[C@@H](C)[C@H]21)C(C)C,CC[C@H](CC[C@@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@@H]3C[C@@H](C)[C@H]21)C(C)C
"(2R,3R,4S,5S,6R)-2-[[(3S,8R,9R,10R,13R,14R,17R)-17-[(2S,5S)-5-ethyl-6-methylheptan-2-yl]-10,13-dimethyl-2,3,4,7,8,9,11,12,14,15,16,17-dodecahydro-1H-cyclopenta[a]phenanthren-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol  ",CC[C@@H](CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C,CC[C@@H](CC[C@H](C)[C@H]1CC[C@@H]2[C@H]3CC=C4C[C@@H](O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)CC[C@]4(C)[C@@H]3CC[C@@]21C)C(C)C
"[(3aR,4R,10Z,11aR)-10-(acetyloxymethyl)-6-formyl-3-methylidene-2-oxo-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-4-yl] (2S)-2-methylbutanoate",C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)C[C@@H](OC(=O)[C@@H](C)CC)[C@@H]12,C=C1C(=O)O[C@@H]2/C=C(/COC(C)=O)CC/C=C(/C=O)C[C@@H](OC(=O)C(C)CC)[C@@H]12
