Uniprot	Name	Gene_ID	Protein_Classification	Organism	PDB_IDs	DisGeNET_0.06	ChEMBL_First_Publication	Activity_Threshold	Actives	Orthologue_Actives	Inactives	Orthologue_Inactives	Sphere_Exclusion_Inactives	Ratio	Model_ID
Q8IL32	HSP90	811999	N/A	Plasmodium falciparum 3D7	1Y6Z 3IED	N/A	N/A	10	788	0	0	0	7880	10.0	Q8IL32,SE_10
P05227	Histidine-rich protein	N/A	N/A	Plasmodium falciparum	1L8M	N/A	1999	100	85	0	0	0	1000	11.8	P05227,SE_100
Q8IL11	M17 leucyl aminopeptidase	812021	N/A	Plasmodium falciparum 3D7	3KQX 3KQZ 3KR4 3KR5 3T8W 4K3N 4R6T 4R76 4R7M	N/A	N/A	0.1	14	0	1000	0	0	71.4	Q8IL11_0.1
Q8I5C5	Macrophage migration inhibitory factor homologue	811336	N/A	Plasmodium falciparum (isolate 3D7)	2WKF	N/A	2012	100	29	0	0	0	1000	34.5	Q8I5C5,SE_100
P13922	Dihydrofolate reductase	N/A	N/A	Plasmodium falciparum K1	1J3I 1J3J 1J3K 3DG8 3DGA	N/A	1992	0.1	89	0	0	0	1000	11.2	P13922,SE_0.1
Q25856	Glucose-6-phosphate 1-dehydrogenase	N/A	N/A	Plasmodium falciparum	N/A	N/A	2012	100	39	0	0	0	1000	25.6	Q25856,SE_100
Q9NBD4	Cysteine protease falcipain-2	N/A	N/A	Plasmodium falciparum	N/A	N/A	2008	100	20	0	0	0	1000	50.0	Q9NBD4,SE_100
Q8IEK1	M1-family aminopeptidase	813945	N/A	Plasmodium falciparum 3D7	N/A	N/A	N/A	100	637	0	6370	0	0	10.0	Q8IEK1_100
Q9N6S8	Falcipain 2	N/A	N/A	Plasmodium falciparum	1YVB 2GHU 3BPF 3PNR	N/A	1997	0.1	38	0	0	0	1000	26.3	Q9N6S8,SE_0.1
Q9N6S8	Falcipain 2	N/A	N/A	Plasmodium falciparum	1YVB 2GHU 3BPF 3PNR	N/A	1997	100	294	0	0	0	2940	10.0	Q9N6S8,SE_100
O96935	Zinc aminopeptidase	N/A	N/A	Plasmodium falciparum FcB1/Columbia	3EBG 3EBH 3EBI 3Q43 3Q44 3T8V 4J3B 4K5L 4K5M 4K5N 4K5O 4K5P 4R5T 4R5V 4R5X	N/A	2003	10	58	0	0	0	1000	17.2	O96935,SE_10
P13922	Dihydrofolate reductase	N/A	N/A	Plasmodium falciparum K1	1J3I 1J3J 1J3K 3DG8 3DGA	N/A	1992	10	163	0	0	0	1630	10.0	P13922,SE_10
