Smiles,standard_smiles,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,npl_score,sa_score,rotatable_bonds,pfizer_rule,gsk_rule,golden_rule,lipinski_rule,qed,syba_score
OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,342.297,-5.395599999999993,11.0,8.0,2.0,0.2378914345193498,9.0,189.53,0.1203958323225379,0.509667032957077,0.4274802535772323,0.0001846413528255,0.0135463110404089,0.016720288596116,0.0014135687320958,0.0134136902372119,0.0007669674077988,0.1556437738006934,1.4604468474388454e-05,0.0036705098114907,0.0189194423146545,0.1200582642108201,0.0357381320558488,0.0200839573517441,0.0292529104277491,0.0005186602364119,0.0020621818257495,0.0369315203279256,0.1680635079741478,0.0001043474960852,0.1066562329418957,0.0013110194762703,0.0377929717302322,0.0009855954278464,0.0001809240544389,0.0015004399348981,0.0239092763280496,0.3197234272956848,0.0893080716952681,-6.302705846474437,56.26224031187608,10.01759685368486,10.911429364640124,-22.30635469217348,0.9414696160749918,-1.5443626405903372,16.523118278145137,0.5533585455541463,-8.241254684869418,52.15199689802249,5.060100814269097,90.73284218689416,95.2888716556805,9.848778596355176,15.102753005040713,93.95114385420706,90.18999612252811,37.68902675455603,31.36874757658007,15.354788677782086,3.9162466072120976,19.930205506010083,5.816207832493214,11.20589375727026,7.250872431174874,5.971306708026367,17.836370686312524,5.467235362543621,1.2795657231485071,18.06901899961225,23.187281892206283,4.459092671578131,66.80884063590538,58.00697944939899,5.777433113609926,21.675067855758044,69.63939511438542,74.2535866614967,9.616130283055448,14.424195424583171,5.389685924777045,25.51376502520357,23.226056611089568,3.140752229546336,16.013958898797984,51.803024428072895,37.37882900348973,28.69329197363319,7.599844901124467,67.50678557580457,40.519581233036064,55.56417215975184,0.8530438154323381,1.2795657231485071,8.375339278790229,4.536642109344707,96.89802248933697,2.6366808840635905,2.142922942325087,4.478479999959962,13,0.0,2.0,1.0,2.0,0.2378914345193498,-0.7137100404981567
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,284.267,2.879800000000001,5.0,2.0,4.0,0.7560099167404621,0.0,79.9,0.4757354319095611,0.3002854138612747,0.5075072258710861,0.9882673025131226,0.7582118153572083,0.1200277097523212,0.5946285605430603,0.2364577338099479,0.5494083434343338,0.5217625319957733,0.8880803346633911,0.0150574841769412,0.0235440315678715,0.8311902165412903,0.9998250961303712,0.0290412545204162,0.1130986616015434,0.9086999535560608,0.4432310163974762,0.6236352145671844,0.7481970071792603,0.0705965245142579,0.9209572315216064,0.7066123962402344,0.7606215834617615,0.6438859939575196,0.2205836653709411,0.8357398748397827,0.3002058774232864,0.5928848147392273,0.6306632578372955,-4.770476518630004,109.58854782585756,26.54616191433976,-14.492477219434267,-11.128194732242154,2.099011358854703,3.1434430280646786,95.609101120615,-4.400066558044751,-7.089073834581923,35.63396665374176,60.10081426909655,59.11205893757271,60.85692128732067,63.803799922450565,82.86157425358667,22.48933695230709,53.23768902675456,80.96161302830555,18.34044203179527,19.891430787126797,99.18573090345096,93.21442419542458,41.837921675067854,92.55525397440869,69.79449398991858,87.12679333074836,53.23768902675456,94.61031407522296,6.281504459092671,21.63629313687476,74.6025591314463,82.16362931368748,75.95967429236138,87.6308646762311,99.10818146568435,95.92865451725476,98.0224893369523,97.51841799146956,87.86351298953083,71.6556804963164,83.98604110120202,94.7654129507561,99.3408297789841,92.71035284994184,96.31640170608765,90.42264443582783,65.91702210158977,69.44552151996898,63.43544009305933,92.82667700659172,58.58860023264831,13.377278014734394,34.97479643272586,24.85459480418767,83.63706863125242,83.79216750678557,24.04032570763862,4.2652190771616905,1.123217995048329,2.1311137638480755,5,0.0,2.0,2.0,4.0,0.7560099167404621,77.13224567490701
COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,270.284,3.1073000000000013,4.0,1.0,4.0,0.9105940495449673,1.0,55.76,0.4493898630142212,0.699168586730957,0.758154821395874,0.9391961693763732,0.8715802073478699,0.2514899164438248,0.5914719223976135,0.3354382008314133,0.400078672170639,0.5662955641746521,0.6194224417209625,0.0126571008004248,0.0217251954600214,0.4965833604335785,0.9999790906906127,0.0167535177897661,0.0459021281450986,0.5984558939933777,0.2014948695898056,0.2358985811471939,0.5444340586662293,0.0429656259715557,0.9646944642066956,0.5789730727672577,0.4249590396881103,0.3164721459150314,0.0861614093184471,0.5695833384990692,0.1816096693277359,0.4287178039550781,0.3179183095693588,-4.6283869698507205,127.08777347168405,47.28311662693699,-13.46568682327647,-8.804327787473543,2.2936946807532004,3.298375519306531,96.34913690703132,-4.4670359887807605,4.830714356456717,32.221791392012406,63.28034121752617,46.47150058162078,36.68088406359054,63.803799922450565,99.6510275300504,54.80806514152773,34.703373400542844,79.52694842962389,46.413338503295854,44.280728964715,96.62659945715392,96.16130283055448,71.50058162078325,92.55525397440869,76.851492826677,82.97789841023652,57.07638619620008,84.21868941450174,5.428460643660333,20.16285381930981,53.7417603722373,94.06746801085691,62.03955021326095,70.60876308646762,94.84296238852268,85.45948041876696,94.37766576192324,95.424583171772,81.93098100038775,85.45948041876696,79.10042652190772,79.41062427297402,96.93679720822024,83.17177200465296,87.9410624272974,84.02481582008531,50.75610701822412,52.1132221791392,72.08220240403257,96.4327258627375,75.61070182241178,14.501744862349748,58.51105079488174,35.24621946490888,86.54517254749904,84.95540907328422,23.03218301667313,73.40054284606437,1.32922233622221,2.590407530278407,4,2.0,2.0,2.0,4.0,0.9105940495449671,41.60715130262052
COc1cc2ccc(=O)oc2cc1OC,COc1cc2ccc(=O)oc2cc1OC,206.197,1.8102,4.0,0.0,4.0,0.7029061202023811,0.0,48.67,0.1750508971512317,0.9629140615463256,0.9340134382247924,0.8690958738327026,0.1565715059638023,0.4240858912467956,0.0320906562730669,0.3820335865020752,0.0082893293816596,0.5166088759899139,0.0524107694625854,0.0277270892634987,0.0099102485924959,0.9301857233047486,0.999857759475708,0.0044013652950525,0.0720059908926487,0.2053311556577682,0.0127717069350183,0.0084942976944148,0.0762367002665996,0.0043729066150262,0.9609119057655334,0.0933655112981796,0.0482047494500875,0.0942347444593906,0.0052382684778422,0.0100512346252799,0.0109593489207327,0.1582868799567222,0.1064002007246017,-4.136112917737991,72.41638487787722,36.85938250101915,-6.72734464946879,-8.432393399817439,2.4933322764174357,1.6225459758382563,84.78402840293259,-2.407640660117546,-1.0042626517447162,18.456766188445133,42.92361380379992,46.47150058162078,11.768127181077936,63.803799922450565,75.30050407134549,22.48933695230709,29.778984102365257,48.08065141527724,79.4881737107406,84.29623885226832,94.02869329197364,57.77433113609926,89.06552927491276,47.80922838309422,79.25552539744086,22.60566110895696,52.65606824350523,47.537805350911206,11.942613416052732,11.477316789453276,85.57580457541683,83.24932144241954,29.391236913532374,81.81465684373788,81.93098100038775,41.10120201628538,31.523846452113222,43.31136099263281,48.62349747964327,84.02481582008531,50.52345870492439,29.662659945715397,87.59208995734781,31.32997285769678,33.462582396277625,39.70531213648701,14.6568437378829,30.903450949980613,96.85924777045366,78.71267933307483,68.0496316401706,24.58317177200465,62.11709965102753,47.77045366421093,52.73361768127181,63.28034121752617,62.31097324544397,28.460643660333464,0.5466079659075332,1.8577463056171037,4,1.0,2.0,2.0,4.0,0.7029061202023811,43.31703429039859
COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,298.29400000000004,3.182800000000002,5.0,1.0,4.0,0.8039282567987951,0.0,68.9,0.4214965462684631,0.4005516111850739,0.58937908411026,0.9869014382362366,0.786075496673584,0.1690364778041839,0.5837006330490112,0.3282476723194122,0.457832783460617,0.543887448310852,0.8909909129142761,0.0200947479810565,0.0193876525387167,0.8614253640174866,0.9997913718223572,0.0258698077872395,0.1053691744804382,0.87296462059021,0.460771644115448,0.5238808870315552,0.6617138147354126,0.0625298837199807,0.9396905183792116,0.7987606525421143,0.6800129294395447,0.6278701424598694,0.1667336940765381,0.7803505778312683,0.2818722039461135,0.4360024929046631,0.6832787454128265,-4.72080013900177,115.5771393812536,42.0354299395077,-14.47993065398038,-9.96089475267818,2.1589044298428406,3.473462184781784,97.45182435281582,-4.986541979603699,-4.705999389498922,39.860411012020165,64.52113222179139,59.11205893757271,36.68088406359054,63.803799922450565,89.72469949592866,22.48933695230709,45.40519581233036,77.58821248545948,24.544397053121365,24.738270647537806,99.10818146568435,94.02869329197364,54.94377665761923,92.47770453664212,76.34742148119426,84.6839860411012,55.40907328421869,94.68786351298954,8.56921287320667,18.417991469561844,77.47188832880961,80.4575416828228,73.01279565723148,86.89414501744862,98.79798371461808,96.3939511438542,97.4020938348197,96.66537417603722,86.73904614191547,76.580069794494,88.13493602171384,91.8185343156262,99.3020550601008,90.5389685924777,94.88173710740595,89.6083753392788,51.29895308259015,71.3067080263668,66.11089569600621,94.4552151996898,72.46994959286545,13.41605273361768,46.64598681659558,27.995347033734006,88.9492051182629,87.04924389298178,14.424195424583171,9.693679720822024,0.8922449909693593,2.059186880759958,6,2.0,2.0,2.0,4.0,0.8039282567987951,75.37926689599755
O=C(O)C=Cc1ccc(O)cc1,O=C(O)C=Cc1ccc(O)cc1,164.16,1.49,2.0,2.0,4.0,0.65083387330713,0.0,57.53,0.0294926881790161,0.5081734538078309,0.6976296782493592,0.0200114778243005,0.0283051162958145,0.3938859447836876,0.0529943661764264,0.0513333316892385,0.0190195564180612,0.1656455099582672,0.0014628804376116,0.1267399132251739,0.0699698090553283,0.6796053051948547,0.986837077140808,0.011355962161906,0.1096311025321483,0.0141029943712055,0.0010035090323071,0.045705490373075,0.1377356201410293,0.0220909184310585,0.1410920212045311,0.0064661526819691,0.1514548242092132,0.0147579140029847,0.0158326164353638,0.0092058406211435,0.0076886450173333,0.4040615528821945,0.0102711888961493,-5.184090044565331,28.610753641670044,10.006883000430298,-0.145305088473745,-12.227451967568427,1.7088382357778555,-0.2745556721391725,85.97006100692042,-1.8859327754713704,8.756840103823322,11.632415664986429,38.4257464133385,16.38231872818922,60.85692128732067,63.803799922450565,67.1190383869717,22.48933695230709,35.80845288871656,11.748739821636294,31.21364870104692,36.1768127181078,41.10120201628538,29.430011632415663,86.9716944552152,54.59480418766964,34.27685149282668,33.927879022877086,19.34858472276076,19.73633191159364,44.35827840248158,43.31136099263281,63.70686312524234,39.51143854207057,51.41527723924001,87.35944164404808,40.75222954633579,15.393563396665376,74.79643272586274,67.66188445133773,72.89647150058163,16.673129119813883,18.030244280728965,54.20705699883676,62.73749515316014,52.927491275688254,32.68708801861187,33.927879022877086,47.84800310197751,8.452888716556805,37.611477316789454,42.45831717720046,40.519581233036064,36.68088406359054,26.25048468398604,10.58549825513765,22.21791392012408,65.56804963164016,71.0352849941838,88.9492051182629,0.8414023648592499,1.783127575393852,3,1.0,2.0,1.0,4.0,0.65083387330713,24.244861402480115
CC(C)=CCOc1ccc2ccc(=O)oc2c1,CC(C)=CCOc1ccc2ccc(=O)oc2c1,230.263,3.1380000000000017,3.0,0.0,4.0,0.6003303852676992,0.0,39.44,0.232598277926445,0.8920753717422485,0.7562324404716492,0.9789188146591188,0.8237276077270508,0.3771269530057907,0.4239719867706298,0.4781886994838714,0.1411397516727447,0.635875940322876,0.0973460279405117,0.13044144064188,0.0382036536931991,0.7970718383789063,0.9999057054519652,0.0191200653091073,0.2083703517913818,0.58949214220047,0.1102104648947715,0.1672273963689804,0.568403422832489,0.0347296800464391,0.9834552645683288,0.1491890400648117,0.2566174328327179,0.2026095598936081,0.1163194626569747,0.1911599338054657,0.0608384761959314,0.3318813145160675,0.2396245032548904,-4.305790507605704,92.26950732341216,67.38732002503568,-1.5983255601029058,-7.190355606951025,2.0914877673467944,3.0584142706608253,103.32865800240818,-4.023509091650324,0.4984058428773769,22.45056223342381,63.5129895308259,31.17487398216363,11.768127181077936,63.803799922450565,60.72120977122916,22.48933695230709,22.21791392012408,57.3090345094998,66.38231872818922,43.931756494765416,98.52656068243505,94.88173710740595,85.80845288871656,87.66963939511439,84.7227607599845,68.20473051570376,65.06397828615742,55.0601008142691,45.13377278014735,31.17487398216363,71.26793330748352,85.73090345094998,65.56804963164016,92.32260566110897,94.64908879410623,74.56378441256301,92.43892981775882,95.73478092283833,79.13920124079101,93.75727025979062,56.84373788290035,67.04148894920512,93.98991857309036,86.42884839084917,72.3536254362156,68.01085692128733,39.04614191547111,46.18069018999612,91.12058937572702,88.01861186506397,86.27374951531601,33.501357115160914,73.63319115936409,24.27297402093835,82.04730515703761,95.03683598293912,31.252423419930206,41.023652578518806,0.9304309694749235,2.23122427414825,5,2.0,2.0,2.0,4.0,0.6003303852676992,81.05273953684066
CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,406.4780000000002,5.497200000000006,5.0,2.0,3.0,0.6586884080364415,1.0,75.99,0.4130297273397446,0.2649993032217025,0.6976588726043701,0.50059272646904,0.7939279675483704,0.203171893954277,0.8123706817626953,0.1028760381042957,0.1216950960457325,0.7376033425331116,0.4391605913639068,0.2294704288244247,0.0747589623555541,0.7233835697174072,0.9987469792366028,0.0309135396033525,0.0243570089340209,0.4748652964830399,0.3059588462114334,0.2369875192642211,0.4292302072048187,0.2849829524755478,0.83526531457901,0.912688410282135,0.7563734531402588,0.1827012069523334,0.676490318775177,0.8850799441337586,0.6097494482994079,0.4354130804538726,0.5147998809814454,-4.882373780838757,54.125207935390335,52.30708917422428,18.40486219781092,-6.855512330075047,3.400168253171504,3.7811979371280033,103.05315556772592,-6.130841855698285,4.495746353961263,66.73129119813882,91.43078712679332,59.11205893757271,60.85692128732067,20.918960837533927,68.32105467235363,54.80806514152773,50.67855758045754,77.2004652966266,16.47925552539744,36.1768127181078,82.90034897246996,94.1062427297402,62.97014346645987,96.89802248933697,49.55409073284218,65.8006979449399,78.67390461419154,77.93718495540908,63.16401706087631,44.59092671578131,65.91702210158977,63.5129895308259,76.92904226444358,50.7948817371074,92.32260566110897,91.00426521907715,94.41644048080651,93.60217138425746,97.01434664598682,58.12330360604886,94.64908879410623,94.7266382318728,93.1756494765413,98.44901124466848,97.4020938348197,97.7510663047693,51.26017836370686,64.63745637844126,56.30089181853432,65.64559906940674,78.75145405195812,65.41295075610702,76.5412950756107,90.65529274912755,93.33074835207444,94.64908879410623,4.459092671578131,71.53935633966654,2.797843778069072,3.5817596801172336,9,1.0,0.0,1.0,3.0,0.6586884080364415,-4.30299331196765
O=C(O)C=Cc1ccccc1,O=C(O)C=Cc1ccccc1,148.161,1.7844,1.0,1.0,4.0,0.6489204335813592,0.0,37.3,0.0141927493736147,0.8048981666564942,0.9168343782424928,0.0151772988727316,0.019249477982521,0.4537124842405319,0.020244725048542,0.0231920158490538,0.005280979629606,0.0878252066671848,0.0001541106350487,0.2610993221402168,0.1437337823212146,0.8545112490653992,0.9953172326087952,0.005748036969453,0.0652266100049018,0.0041261462727561,0.0002661974736838,0.0057049921480938,0.0703396536409854,0.021227503567934,0.3469987235963344,0.0036853717814665,0.0920532457530498,0.0070784519892185,0.0062511464580893,0.0015606050495989,0.0022806747001595,0.5072766721248627,0.0030298730824142,-4.53697414626765,-5.00054815896043,4.5426528585213966,-10.78167785040515,-8.668575377854147,1.5980618334736474,-0.3890815881830468,92.79295716115624,-2.2382326413008937,4.343294191399947,9.034509499806129,42.57464133385033,6.649864288483909,36.68088406359054,63.803799922450565,66.77006591702211,22.48933695230709,19.852656068243505,5.312136487010469,56.30089181853432,78.98410236525785,38.154323381155486,24.62194649088794,90.849166343544,41.17875145405196,17.09965102753005,18.06901899961225,8.103916246607213,10.120201628538194,67.58433501357115,59.05389685924777,76.50252035672742,49.24389298177588,34.858472276076,79.75959674292362,22.877084141139974,7.9488173710740595,23.962776269872045,39.58898797983715,72.3148507173323,27.41372625048468,12.873206669251648,42.264443582784025,50.445909267157816,34.858472276076,16.440480806514152,19.930205506010083,58.6273749515316,2.9856533540131838,77.82086079875921,11.942613416052732,33.966653741760375,18.37921675067856,59.75184179914696,8.181465684373789,20.78324932144242,78.59635517642496,65.56804963164016,70.6863125242342,0.4041079857604,1.535426639026758,2,1.0,2.0,1.0,4.0,0.6489204335813592,26.964378535830303
COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,374.34500000000014,2.546960000000001,8.0,3.0,4.0,0.4227508428339619,0.0,130.36,0.0680221803486347,0.1223761186003685,0.5711239457130433,0.7065037250518799,0.3633531719446182,0.1700562924146652,0.6508662223815918,0.0576802100986242,0.0804639756679534,0.4625075697898865,0.3819475263357162,0.0853701098822057,0.0192211678251624,0.8836454629898072,0.989165437221527,0.0139855035580694,0.026272864639759,0.0651137590408325,0.0607287012040615,0.1891521766781806,0.2671825230121613,0.0554312337189912,0.67355397939682,0.3670049488544464,0.071449763327837,0.0450283616781234,0.0644063673913478,0.5563956797122955,0.2443236961960792,0.4352715313434601,0.4088077127933502,-5.161834787581633,78.47960282642033,53.0364566961111,26.16589828787871,-8.394380361662918,1.835806970594446,1.6514956609908986,93.99259310157606,-4.669084319111292,9.363109510403252,59.32531989143079,53.81930981000388,82.35750290810391,77.25862737495153,63.803799922450565,36.60333462582396,22.48933695230709,80.69018999612253,25.24234199302055,7.871267933307483,23.303606048856143,89.37572702597906,76.73516867002714,55.253974408685536,93.87359441644048,36.83598293912369,58.39472663823187,48.00310197751066,75.76580069794494,32.95851105079488,18.30166731291198,79.60449786739046,41.25630089181853,57.23148507173323,53.39278790228771,65.21907716169058,64.67623109732455,93.33074835207444,86.23497479643272,85.07173322993408,44.35827840248158,69.56184567661884,36.91353237689027,79.21675067855757,78.75145405195812,87.51454051958123,88.17371074059713,51.26017836370686,58.898797983714616,39.00736719658782,81.69833268708801,79.13920124079101,73.01279565723148,62.46607212097712,13.803799922450562,53.431562621171,80.96161302830555,19.03838697169445,90.15122140364484,0.9037382841860888,2.8195075436365045,11,0.0,2.0,2.0,4.0,0.42275084283396197,31.592765698681337
