Compound_names,Smiles,chemical_class,np_classifier_pathway,np_classifier_superclass,np_classifier_class,Canonical_smiles,standard_inchi,standard_inchi_key,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,NP_likeness,SA_score,Pfizer,GSK,Golden_Triangle,Rotatable_bonds
sucrose,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Organooxygen compounds,Carbohydrates,Saccharides,Disaccharides,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,342.297,-5.39559999999999,11,8,2,0.23789143451935,9,189.53,0.120395812019706,0.509667062759399,0.42748027741909,0.0001846413518251,0.0135463114129379,0.0167202928685583,0.0014135685749351,0.0134136926324572,0.0007669665616049,0.155643776827492,1.46044460553441E-05,0.0036705095786601,0.0189194383099675,0.120058272778988,0.0357381273061037,0.0200839621946215,0.0292529007419943,0.0005186596339626,0.0020621808595024,0.0369315087795257,0.168063445389271,0.0001043474331027,0.106656201649457,0.0013110193540342,0.0377929573878645,0.0009855950496785,0.0001809240733564,0.0015004389977548,0.0239092741627246,0.319723471999168,0.0893080529756844,-6.30270568038145,56.2622428281279,10.0175957642427,10.911440213581,-22.3063557843214,0.941469661864802,-1.54436258531575,16.5231142111971,0.5533586582537,-8.24125515310419,52.1519968980225,5.0601008142691,90.7328421868942,95.2888716556805,9.84877859635518,15.1027530050407,93.9511438542071,90.1899961225281,37.689026754556,31.3687475765801,15.3547886777821,3.9162466072121,19.9302055060101,5.8549825513765,11.2058937572703,7.28964715005816,5.93253198914308,17.8363706863125,5.42846064366033,1.27956572314851,18.0690189996123,23.1872818922063,4.45909267157813,66.8088406359054,57.9682047305157,5.73865839472664,21.6362931368748,69.6393951143854,74.2148119426134,9.57735556417216,14.3854207056999,5.38968592477705,25.4749903063203,23.2260566110896,3.14075222954634,15.9751841799147,51.8030244280729,37.3788290034897,28.6932919736332,7.59984490112447,67.5455602946879,40.5195812330361,55.6029468786351,0.81426909654905,1.27956572314851,8.37533927879023,4.49786739046142,96.898022489337,2.63668088406359,2.14292294232509,4.47847999995996,0,2,1,13
acacetin,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,Flavonoids,Shikimates and Phenylpropanoids,Flavonoids,Flavones,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,"InChI=1S/C16H12O5/c1-20-11-4-2-9(3-5-11)14-8-13(19)16-12(18)6-10(17)7-15(16)21-14/h2-8,17-18H,1H3",DANYIYRPLHHOCZ-UHFFFAOYSA-N,284.267,2.8798,5,2,4,0.756009916740462,0,79.9,0.475735378265381,0.300285395979881,0.507507255673409,0.988267302513123,0.758211755752564,0.120027752965689,0.594628405570984,0.236457766592503,0.549408107995987,0.521762531995773,0.888080322742462,0.0150574838975444,0.0235440189018845,0.83119033575058,0.999825096130371,0.0290412593632936,0.113098646700382,0.908700037002564,0.44323103427887,0.623635077476502,0.748196923732758,0.0705965707078576,0.920957291126251,0.706612479686737,0.760621750354767,0.643886029720306,0.220583572983742,0.835739803314209,0.300205832719803,0.592884784936905,0.630663347244263,-4.77047663415318,109.588520020923,26.5461791905963,-14.4924666597258,-11.1281966669926,2.09901166275115,3.14344282565721,95.6091009185652,-4.40006624818146,-7.08907336067476,35.6339666537418,60.1008142690966,59.1120589375727,60.8569212873207,63.8037999224506,82.8615742535867,22.4893369523071,53.2376890267546,80.9616130283056,18.3404420317953,19.8914307871268,99.185730903451,93.2144241954246,41.8379216750679,92.5552539744087,69.7944939899186,87.1267933307484,53.2376890267546,94.610314075223,6.28150445909267,21.6362931368748,74.6025591314463,82.1636293136875,75.9596742923614,87.6308646762311,99.1081814656844,95.9286545172547,98.0224893369523,97.5184179914696,87.8635129895308,71.6556804963164,83.986041101202,94.7654129507561,99.3408297789841,92.7103528499418,96.3164017060877,90.4226444358278,65.9170221015898,69.445521519969,63.4354400930593,92.8266770065917,58.5886002326483,13.3772780147344,34.9747964327259,24.8545948041877,83.6370686312524,83.7921675067856,24.0403257076386,4.26521907716169,1.12321799504833,2.13111376384808,0,2,2,5
Pinostrobin,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,Flavonoids,Shikimates and Phenylpropanoids,Flavonoids,Flavanones,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,"InChI=1S/C16H14O4/c1-19-11-7-12(17)16-13(18)9-14(20-15(16)8-11)10-5-3-2-4-6-10/h2-8,14,17H,9H2,1H3/t14-/m0/s1",ORJDDOBAOGKRJV-AWEZNQCLSA-N,270.284,3.1073,4,1,4,0.910594049544967,1,55.76,0.449389779567719,0.699168562889099,0.758154821395874,0.939196169376373,0.871580135822296,0.251489898562431,0.591471886634827,0.335438174009323,0.400078636407852,0.566295558214188,0.61942235827446,0.0126570950262248,0.021725193504244,0.496583330631256,0.999979090690613,0.0167535132262855,0.0459021057933568,0.598455864191055,0.201494833827019,0.235898581147194,0.544434010982513,0.0429656138643622,0.964694488048554,0.578973001241684,0.424959003925324,0.316472113132477,0.0861614033579826,0.569583290815353,0.181609603762627,0.428717815876007,0.317918288707733,-4.62838684074458,127.087781919161,47.2831162980803,-13.4656821862611,-8.80432760108562,2.29369458335586,3.298375448508,96.3491365418818,-4.46703567903361,4.83071419401095,32.2217913920124,63.2803412175262,46.4715005816208,36.6808840635905,63.8037999224506,99.6510275300504,54.8080651415277,34.7033734005428,79.5269484296239,46.4133385032959,44.280728964715,96.6265994571539,96.1613028305545,71.5005816207833,92.5552539744087,76.851492826677,82.9778984102365,57.0763861962001,84.2186894145017,5.42846064366033,20.1628538193098,53.7417603722373,94.0674680108569,62.039550213261,70.6087630864676,94.8429623885227,85.459480418767,94.3776657619232,95.424583171772,81.9309810003878,85.459480418767,79.1004265219077,79.410624272974,96.9367972082202,83.171772004653,87.9410624272974,84.0248158200853,50.7561070182241,52.1132221791392,72.0822024040326,96.4327258627375,75.6107018224118,14.5017448623497,58.5110507948817,35.2462194649089,86.545172547499,84.9554090732842,23.0321830166731,73.4005428460644,1.32922233622221,2.59040753027841,2,2,2,4
Scoparone,COc1cc2ccc(=O)oc2cc1OC,Coumarins and derivatives,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,COc1cc2ccc(=O)oc2cc1OC,"InChI=1S/C11H10O4/c1-13-9-5-7-3-4-11(12)15-8(7)6-10(9)14-2/h3-6H,1-2H3",GUAFOGOEJLSQBT-UHFFFAOYSA-N,206.197,1.8102,4,0,4,0.702906120202381,0,48.67,0.17505094408989,0.962914061546326,0.93401346206665,0.869096159934998,0.1565714225173,0.424085956811905,0.0320906056091189,0.38203352689743,0.0082893125712871,0.516608947515488,0.052410739287734,0.0277270954102277,0.0099102357402443,0.930185842514038,0.999857759475708,0.0044013685546815,0.0720059618353843,0.205331200361252,0.0127716929651796,0.0084942879620939,0.0762366585433483,0.0043729066615924,0.96091194152832,0.0933655135333538,0.0482047576457262,0.0942347303032875,0.005238260468468,0.0100512200966477,0.010959340725094,0.158286888897419,0.106400179862976,-4.13611291700525,72.4163573975996,36.8594048372476,-6.72733560405065,-8.4323951486868,2.49333233686246,1.62254573969418,84.7840299622522,-2.40764038914945,-1.00426695953437,18.4567661884451,42.9236138037999,46.4715005816208,11.7681271810779,63.8037999224506,75.3005040713455,22.4893369523071,29.7789841023653,48.0806514152772,79.4881737107406,84.2962388522683,94.0286932919736,57.7743311360993,89.0655292749128,47.8092283830942,79.2555253974409,22.605661108957,52.6560682435052,47.5378053509112,11.9426134160527,11.4773167894533,85.5758045754168,83.2493214424195,29.3912369135324,81.8146568437379,81.9309810003878,41.1012020162854,31.5238464521132,43.3113609926328,48.6234974796433,84.0248158200853,50.5234587049244,29.6626599457154,87.5920899573478,31.3299728576968,33.4625823962776,39.705312136487,14.6568437378829,30.9034509499806,96.8592477704537,78.7126793330748,68.0496316401706,24.5831717720047,62.1170996510275,47.7704536642109,52.7336176812718,63.2803412175262,62.310973245444,28.4606436603335,0.546607965907533,1.8577463056171,1,2,2,4
5128-44-9,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,Flavonoids,Shikimates and Phenylpropanoids,Flavonoids,Flavones,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,"InChI=1S/C17H14O5/c1-20-11-5-3-10(4-6-11)15-9-14(19)17-13(18)7-12(21-2)8-16(17)22-15/h3-9,18H,1-2H3",LZERJKGWTQYMBB-UHFFFAOYSA-N,298.294,3.1828,5,1,4,0.803928256798795,0,68.9,0.421496534347534,0.400551581382752,0.589379113912582,0.986901462078094,0.786075413227081,0.169036531448364,0.583700478076935,0.32824769616127,0.457832503318787,0.543887460231781,0.890990936756134,0.0200947515200823,0.0193876398727297,0.861425566673279,0.999791371822357,0.0258698033168911,0.105369180440903,0.872964715957642,0.460771679878235,0.52388077378273,0.66171373128891,0.0625299263745546,0.93969053030014,0.798760676383972,0.680013191699982,0.627870148420334,0.16673358976841,0.780350494384766,0.28187213242054,0.436002480983734,0.683278834819794,-4.72080018472091,115.577115202111,42.0354529204426,-14.4799213699618,-9.96089677612305,2.15890488231841,3.47346182617601,97.4518225059056,-4.98654124739957,-4.70600053653812,39.8604110120202,64.5211322217914,59.1120589375727,36.6808840635905,63.8037999224506,89.7246994959287,22.4893369523071,45.4051958123304,77.5882124854595,24.5443970531214,24.7382706475378,99.1081814656844,94.0286932919736,54.9437766576192,92.4777045366421,76.3474214811943,84.6839860411012,55.4090732842187,94.6878635129895,8.56921287320667,18.4179914695618,77.4718883288096,80.4575416828228,73.0127956572315,86.8941450174486,98.7979837146181,96.3939511438542,97.4020938348197,96.6653741760372,86.7390461419155,76.580069794494,88.1349360217138,91.8185343156262,99.3020550601008,90.5389685924777,94.881737107406,89.6083753392788,51.2989530825902,71.3067080263668,66.1108956960062,94.4552151996898,72.4699495928655,13.4160527336177,46.6459868165956,27.995347033734,88.9492051182629,87.0492438929818,14.4241954245832,9.69367972082202,0.892244990969359,2.05918688075996,2,2,2,6
4-hydroxy cinnamic acid,O=C(O)C=Cc1ccc(O)cc1,Cinnamic acids and derivatives,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,O=C(O)C=Cc1ccc(O)cc1,"InChI=1S/C9H8O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-6,10H,(H,11,12)",NGSWKAQJJWESNS-UHFFFAOYSA-N,164.16,1.49,2,2,4,0.65083387330713,0,57.53,0.0294926714152097,0.508173513412476,0.697629773616791,0.0200114898849278,0.028305098414421,0.393885992467403,0.0529943315312266,0.0513333167880773,0.0190195340663194,0.165645483136177,0.0014628798613557,0.126739983260632,0.0699697382748127,0.679605609178543,0.986837077140808,0.0113559575518593,0.10963112488389,0.0141029989346861,0.0010035078681539,0.0457054516300559,0.137735562026501,0.0220909199677407,0.141092108376324,0.0064661498880013,0.151454867422581,0.0147579154931008,0.0158326061442494,0.0092058369889855,0.0076886412454769,0.40406160056591,0.01027118768543,-5.18409003944142,28.6107382108782,10.0069002192202,-0.145301601446448,-12.227453979074,1.70883822467545,-0.274555558249447,85.9700712042036,-1.88593329684132,8.756842908306,11.6324156649864,38.4257464133385,16.3823187281892,60.8569212873207,63.8037999224506,67.1190383869717,22.4893369523071,35.8084528887166,11.7487398216363,31.2136487010469,36.1768127181078,41.1012020162854,29.4300116324157,86.9716944552152,54.5948041876696,34.2768514928267,33.9278790228771,19.3485847227608,19.7363319115936,44.3582784024816,43.3113609926328,63.7068631252423,39.5114385420706,51.41527723924,87.3594416440481,40.7522295463358,15.3935633966654,74.7964327258627,67.6618844513377,72.8964715005816,16.6731291198139,18.030244280729,54.2070569988368,62.7374951531601,52.9274912756883,32.6870880186119,33.9278790228771,47.8480031019775,8.45288871655681,37.6114773167895,42.4583171772005,40.5195812330361,36.6808840635905,26.250484683986,10.5854982551377,22.2179139201241,65.5680496316402,71.0352849941838,88.9492051182629,0.84140236485925,1.78312757539385,1,2,1,3
7-Prenyloxycoumarin,CC(C)=CCOc1ccc2ccc(=O)oc2c1,Coumarins and derivatives,Shikimates and Phenylpropanoids,Coumarins,Simple coumarins,CC(C)=CCOc1ccc2ccc(=O)oc2c1,"InChI=1S/C14H14O3/c1-10(2)7-8-16-12-5-3-11-4-6-14(15)17-13(11)9-12/h3-7,9H,8H2,1-2H3",SMHJTSOVVRGDEO-UHFFFAOYSA-N,230.263,3.138,3,0,4,0.600330385267699,0,39.44,0.232598270475864,0.892075419425964,0.756232535839081,0.978918838500977,0.823727607727051,0.37712707221508,0.423971796035767,0.478188747167587,0.14113954603672,0.635875976085663,0.09734598249197,0.130441495776176,0.0382036305963993,0.797072100639343,0.999905705451965,0.0191200718283653,0.208370336890221,0.589492249488831,0.110210447013378,0.167227268218994,0.56840341091156,0.0347296990454196,0.983455312252045,0.149189010262489,0.256617516279221,0.202609512209892,0.116319367289543,0.191159746050835,0.0608384549617767,0.331881278753281,0.239624527096748,-4.30579058146491,92.269486113111,67.3873402529048,-1.5983054240128,-7.19035776510392,2.09148789341979,3.05841391130808,103.328655348655,-4.0235088380732,0.498403324879259,22.4505622334238,63.5129895308259,31.1748739821636,11.7681271810779,63.8037999224506,60.7212097712292,22.4893369523071,22.2179139201241,57.3090345094998,66.3823187281892,43.9317564947654,98.5265606824351,94.881737107406,85.8084528887166,87.6696393951144,84.7227607599845,68.2047305157038,65.0639782861574,55.0601008142691,45.1337727801473,31.1748739821636,71.2679333074835,85.73090345095,65.5680496316402,92.322605661109,94.6490887941062,74.563784412563,92.4389298177588,95.7347809228383,79.139201240791,93.7572702597906,56.8437378829004,67.0414889492051,93.9899185730903,86.4288483908492,72.3536254362156,68.0108569212873,39.0461419154711,46.1806901899961,91.120589375727,88.018611865064,86.273749515316,33.5013571151609,73.6331911593641,24.2729740209384,82.0473051570376,95.0368359829391,31.2524234199302,41.0236525785188,0.930430969474924,2.23122427414825,2,2,2,5
lupinifolin,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,Flavonoids,Shikimates and Phenylpropanoids,Flavonoids,Flavanones,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,"InChI=1S/C25H26O5/c1-14(2)5-10-18-23-17(11-12-25(3,4)30-23)22(28)21-19(27)13-20(29-24(18)21)15-6-8-16(26)9-7-15/h5-9,11-12,20,26,28H,10,13H2,1-4H3/t20-/m0/s1",PDTJZCUQXSFLDW-FQEVSTJZSA-N,406.478,5.49720000000001,5,2,3,0.658688408036442,1,75.99,0.413029587268829,0.264999315142632,0.697658896446228,0.500593018531799,0.793927919864655,0.203171940147877,0.812370622158051,0.102876039594412,0.121695014834404,0.737603306770325,0.43916050195694,0.229470464587212,0.0747589824721217,0.723383748531342,0.998746979236603,0.0309135321527719,0.0243570148944854,0.474865451455116,0.305958902835846,0.236987468600273,0.429230213165283,0.284983080625534,0.835265409946442,0.912688410282135,0.756373631954193,0.182701282203197,0.676490211486816,0.885079920291901,0.609749388694763,0.435413032770157,0.514800035953522,-4.88237371093027,54.1251834006651,52.307084093014,18.4048972506477,-6.85551473341786,3.40016833269004,3.78119736318356,103.053153599521,-6.13084179942539,4.49574192495221,66.7312911981388,91.4307871267933,59.1120589375727,60.8569212873207,20.9189608375339,68.3210546723536,54.8080651415277,50.6785575804575,77.2004652966266,16.4792555253974,36.1768127181078,82.9003489724699,94.1062427297402,62.9701434664599,96.898022489337,49.5540907328422,65.8006979449399,78.6739046141915,77.9371849554091,63.1640170608763,44.5909267157813,65.9170221015898,63.5129895308259,76.9290422644436,50.7948817371074,92.322605661109,91.0042652190772,94.4164404808065,93.6021713842575,97.0143466459868,58.1233036060489,94.6490887941062,94.7266382318728,93.1756494765413,98.4490112446685,97.4020938348197,97.7510663047693,51.2601783637069,64.6374563784413,56.3008918185343,65.6455990694067,78.7514540519581,65.412950756107,76.5412950756107,90.6552927491276,93.3307483520744,94.6490887941062,4.45909267157813,71.5393563396665,2.79784377806907,3.58175968011723,1,0,1,9
"2-Propenoic acid, 3-phenyl-",O=C(O)C=Cc1ccccc1,Cinnamic acids and derivatives,Shikimates and Phenylpropanoids,Phenylpropanoids (C6-C3),Cinnamic acids and derivatives,O=C(O)C=Cc1ccccc1,"InChI=1S/C9H8O2/c10-9(11)7-6-8-4-2-1-3-5-8/h1-7H,(H,10,11)",WBYWAXJHAXSJNI-UHFFFAOYSA-N,148.161,1.7844,1,1,4,0.648920433581359,0,37.3,0.0141927476972341,0.804898262023926,0.916834485530853,0.0151773198507726,0.0192494636401534,0.453712543845177,0.020244708424434,0.0231920033693313,0.0052809705026447,0.0878251919522881,0.0001541104546049,0.261099451780319,0.143733697757125,0.854511439800263,0.995317232608795,0.0057480362709611,0.0652266042307019,0.0041261460864916,0.0002661970895132,0.0057049860944971,0.0703396402299404,0.0212275067344307,0.346998881548643,0.0036853693600278,0.0920532383024692,0.0070784491021186,0.0062511380761861,0.0015606036875396,0.0022806725581176,0.507276743650436,0.0030298721045255,-4.53697412669471,-5.00056583785474,4.54266780176694,-10.7816691773047,-8.66857775471389,1.59806178797689,-0.389081531450148,92.7929690698169,-2.2382325921901,4.34329395586616,9.03450949980613,42.5746413338503,6.64986428848391,36.6808840635905,63.8037999224506,66.7700659170221,22.4893369523071,19.8526560682435,5.31213648701047,56.3008918185343,78.9841023652579,38.1543233811555,24.6219464908879,90.849166343544,41.178751454052,17.0996510275301,18.0690189996123,8.10391624660721,10.1202016285382,67.5843350135712,59.0538968592478,76.5025203567274,49.2438929817759,34.858472276076,79.7595967429236,22.87708414114,7.94881737107406,23.962776269872,39.5889879798371,72.3148507173323,27.4137262504847,12.8732066692516,42.264443582784,50.4459092671578,34.858472276076,16.4404808065142,19.9302055060101,58.6273749515316,2.98565335401318,77.8208607987592,11.9426134160527,33.9666537417604,18.3792167506786,59.751841799147,8.18146568437379,20.7832493214424,78.596355176425,65.5680496316402,70.6863125242342,0.4041079857604,1.53542663902676,1,2,1,2
Atranorin,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,Depsides and depsidones,Polyketides,Aromatic polyketides,Depsides,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,"InChI=1S/C19H18O8/c1-8-5-12(21)11(7-20)17(23)15(8)19(25)27-13-6-9(2)14(18(24)26-4)16(22)10(13)3/h5-7,21-23H,1-4H3",YLOYKYXNDHOHHT-UHFFFAOYSA-N,374.345,2.54696,8,3,4,0.422750842833962,0,130.36,0.0680221527814865,0.122376123070717,0.571123969554901,0.706503760814667,0.363353145122528,0.170056301355362,0.650866234302521,0.0576802123337984,0.0804639488458633,0.462507563829422,0.381947487592697,0.0853700879961252,0.0192211609333753,0.883645474910736,0.989165437221527,0.0139855016954243,0.0262728665024042,0.0651137545704841,0.06072868257761,0.189152155816555,0.267182494699955,0.0554312296211719,0.673553991317749,0.367004910111427,0.0714497491717338,0.0450283497571945,0.0644063632935285,0.556395649909973,0.244323644042015,0.435271495580673,0.408807703852654,-5.16183466938125,78.4796061847018,53.036456411886,26.1658962453791,-8.39438072702509,1.83580699326889,1.65149557539015,93.9925917995012,-4.66908406578741,9.36310976072291,59.3253198914308,53.8193098100039,82.3575029081039,77.2586273749515,63.8037999224506,36.603334625824,22.4893369523071,80.6901899961225,25.2423419930206,7.87126793330748,23.3036060488561,89.3757270259791,76.7351686700271,55.2539744086855,93.8735944164405,36.8359829391237,58.3947266382319,48.0031019775107,75.7658006979449,32.9585110507949,18.301667312912,79.6044978673905,41.2563008918185,57.2314850717332,53.3927879022877,65.2190771616906,64.6762310973246,93.3307483520744,86.2349747964327,85.0717332299341,44.3582784024816,69.5618456766188,36.9135323768903,79.2167506785576,78.7514540519581,87.5145405195812,88.1737107405971,51.2601783637069,58.8987979837146,39.0073671965878,81.698332687088,79.139201240791,73.0127956572315,62.4660721209771,13.8037999224506,53.431562621171,80.9616130283056,19.0383869716945,90.1512214036448,0.903738284186089,2.8195075436365,0,2,2,11
