Compound_names,Smiles,chemical_class,np_classifier_pathway,np_classifier_superclass,np_classifier_class,Canonical_smiles,standard_inchi,standard_inchi_key,molecular_weight,logP,hydrogen_bond_acceptors,hydrogen_bond_donors,Lipinski,QED,stereo_centers,tpsa,AMES,BBB_Martins,Bioavailability_Ma,CYP1A2_Veith,CYP2C19_Veith,CYP2C9_Substrate_CarbonMangels,CYP2C9_Veith,CYP2D6_Substrate_CarbonMangels,CYP2D6_Veith,CYP3A4_Substrate_CarbonMangels,CYP3A4_Veith,Carcinogens_Lagunin,ClinTox,DILI,HIA_Hou,NR-AR-LBD,NR-AR,NR-AhR,NR-Aromatase,NR-ER-LBD,NR-ER,NR-PPAR-gamma,PAMPA_NCATS,Pgp_Broccatelli,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,Skin_Reaction,hERG,Caco2_Wang,Clearance_Hepatocyte_AZ,Clearance_Microsome_AZ,Half_Life_Obach,HydrationFreeEnergy_FreeSolv,LD50_Zhu,Lipophilicity_AstraZeneca,PPBR_AZ,Solubility_AqSolDB,VDss_Lombardo,molecular_weight_drugbank_approved_percentile,logP_drugbank_approved_percentile,hydrogen_bond_acceptors_drugbank_approved_percentile,hydrogen_bond_donors_drugbank_approved_percentile,Lipinski_drugbank_approved_percentile,QED_drugbank_approved_percentile,stereo_centers_drugbank_approved_percentile,tpsa_drugbank_approved_percentile,AMES_drugbank_approved_percentile,BBB_Martins_drugbank_approved_percentile,Bioavailability_Ma_drugbank_approved_percentile,CYP1A2_Veith_drugbank_approved_percentile,CYP2C19_Veith_drugbank_approved_percentile,CYP2C9_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2C9_Veith_drugbank_approved_percentile,CYP2D6_Substrate_CarbonMangels_drugbank_approved_percentile,CYP2D6_Veith_drugbank_approved_percentile,CYP3A4_Substrate_CarbonMangels_drugbank_approved_percentile,CYP3A4_Veith_drugbank_approved_percentile,Carcinogens_Lagunin_drugbank_approved_percentile,ClinTox_drugbank_approved_percentile,DILI_drugbank_approved_percentile,HIA_Hou_drugbank_approved_percentile,NR-AR-LBD_drugbank_approved_percentile,NR-AR_drugbank_approved_percentile,NR-AhR_drugbank_approved_percentile,NR-Aromatase_drugbank_approved_percentile,NR-ER-LBD_drugbank_approved_percentile,NR-ER_drugbank_approved_percentile,NR-PPAR-gamma_drugbank_approved_percentile,PAMPA_NCATS_drugbank_approved_percentile,Pgp_Broccatelli_drugbank_approved_percentile,SR-ARE_drugbank_approved_percentile,SR-ATAD5_drugbank_approved_percentile,SR-HSE_drugbank_approved_percentile,SR-MMP_drugbank_approved_percentile,SR-p53_drugbank_approved_percentile,Skin_Reaction_drugbank_approved_percentile,hERG_drugbank_approved_percentile,Caco2_Wang_drugbank_approved_percentile,Clearance_Hepatocyte_AZ_drugbank_approved_percentile,Clearance_Microsome_AZ_drugbank_approved_percentile,Half_Life_Obach_drugbank_approved_percentile,HydrationFreeEnergy_FreeSolv_drugbank_approved_percentile,LD50_Zhu_drugbank_approved_percentile,Lipophilicity_AstraZeneca_drugbank_approved_percentile,PPBR_AZ_drugbank_approved_percentile,Solubility_AqSolDB_drugbank_approved_percentile,VDss_Lombardo_drugbank_approved_percentile,NP_likeness,SA_score,Pfizer,GSK,Golden_Triangle,Rotatable_bonds
Punicalagin,O=C1O[C@@H]2[C@@H](OC(=O)c3cc(O)c(O)c(O)c3-c3c1cc(O)c(O)c3O)[C@@H](O)O[C@@H]1COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]21,Tannins,Shikimates and Phenylpropanoids,Phenolic acids (C6-C1),Gallotannins,O=C1O[C@@H]2[C@@H](OC(=O)c3cc(O)c(O)c(O)c3-c3c1cc(O)c(O)c3O)[C@@H](O)O[C@@H]1COC(=O)c3cc(O)c(O)c(O)c3-c3c(O)c(O)c4oc(=O)c5c(c(O)c(O)c6oc(=O)c3c4c65)-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]21,"InChI=1S/C48H28O30/c49-10-1-6-17(31(59)27(10)55)19-23-21-22-24(47(70)76-38(21)35(63)33(19)61)20(34(62)36(64)39(22)75-46(23)69)18-9(4-13(52)28(56)32(18)60)43(66)74-37-14(5-72-42(6)65)73-48(71)41-40(37)77-44(67)7-2-11(50)25(53)29(57)15(7)16-8(45(68)78-41)3-12(51)26(54)30(16)58/h1-4,14,37,40-41,48-64,71H,5H2/t14-,37-,40+,41-,48+/m1/s1",ZJVUMAFASBFUBG-OGJBWQGYSA-N,1084.722,1.9586,30,17,1,0.0339150345476189,5,518.76,0.198573394864798,0.0089771571103483,0.240386399626732,0.032314119208604,0.0269344250671565,0.0191426420584321,0.0543341272510588,0.0026568157976726,0.0088620464899577,0.269688688218594,0.0227382142795249,0.0779176250565797,0.0998505502939224,0.991354072093964,0.341545091569424,0.124131216108799,0.0495813585817813,0.276732738316059,0.376970231533051,0.0766668207943439,0.113596772402525,0.0616276824846863,0.25614347755909,0.458759325742722,0.6979496717453,0.213519713282585,0.130500750243664,0.816629362106323,0.763341021537781,0.524148482084274,0.716906082630157,-6.17079663749235,-23.6270154165096,29.1828404398347,116.688351845605,-13.5329181626414,3.60816635643884,1.24580815584223,86.3922550103244,-2.73012723462901,9.86572682028468,96.7429236138038,44.9786739046142,99.3020550601008,98.58472276076,2.90810391624661,2.36525785188057,83.9666537417604,98.4877859635518,51.8417991469562,0,5.58355951919349,46.9174098487786,28.7708414113998,6.74680108569213,54.9825513765025,0.155098875533152,23.419930205506,30.2442807289647,39.5502132609539,30.2442807289647,51.1826289259403,99.3408297789841,13.6099263280341,91.8185343156262,72.9740209383482,86.0798759208996,93.9899185730903,84.9554090732842,61.3416052733618,86.4676231097325,23.691353237689,73.478092283831,92.5164792555254,94.3388910430399,87.7084141139977,95.8898797983714,99.1469561845677,60.294687863513,73.3617681271811,9.69367972082202,4.84683986041101,61.2252811167119,96.8592477704537,16.7506785575805,94.1062427297402,46.2194649088794,66.3823187281892,56.1845676618845,91.0818146568437,0.903147764108244,7.4223105421,0,1,1,17
"(5aR,7S,9aS,9bS)-9b-hydroxy-7,9a-dimethyl-6-methylidene-1,5,5a,7,8,9-hexahydrobenzo[e][2]benzofuran-3-one",C=C1[C@H]2CC=C3C(=O)OC[C@]3(O)[C@@]2(C)CC[C@@H]1C,Prenol lipids,Terpenoids,Sesquiterpenoids,Coloratane sesquiterpenoids,C=C1[C@H]2CC=C3C(=O)OC[C@]3(O)[C@@]2(C)CC[C@@H]1C,"InChI=1S/C15H20O3/c1-9-6-7-14(3)11(10(9)2)4-5-12-13(16)18-8-15(12,14)17/h5,9,11,17H,2,4,6-8H2,1,3H3/t9-,11+,14-,15+/m0/s1",OUBGLUCJLDERNN-OCVOHJKQSA-N,248.322,2.213,3,1,4,0.527895997899208,4,46.53,0.555925589799881,0.892658233642578,0.888016474246979,0.022910108603537,0.159705321490765,0.068304031714797,0.0374015387147665,0.103238102793694,0.0141513112932443,0.460773265361786,0.207265597581863,0.0309820437803864,0.295443207025528,0.220259961485863,0.9999666929245,0.0252081580460071,0.0889482572674751,0.0135054125683382,0.168886575102806,0.0553270287811756,0.179561747610569,0.019307879731059,0.947665190696716,0.0956354156136512,0.218184266984463,0.0113006896339356,0.0708375211805105,0.0875076560303568,0.0505341798067092,0.7920245885849,0.103488691151142,-4.37498299349922,59.1486492045299,17.8992483110784,-19.5885002104063,-6.92961619198473,3.01413644698534,2.18448250263155,79.3857224178555,-3.35479945081179,3.20785550379303,26.8127181077937,48.58472276076,31.1748739821636,36.6808840635905,63.8037999224506,50.6785575804575,80.1085692128732,28.266770065917,86.002326483133,66.4986428848391,69.8332687088019,43.0011632415665,58.006979449399,24.7770453664211,49.7867390461419,49.6316401706088,30.0504071345483,47.8092283830942,66.4598681659558,13.183404420318,76.037223730128,34.587049243893,91.7797595967429,72.6250484683986,85.0717332299341,39.8216362931369,82.241178751454,78.867778208608,76.851492826677,70.7638619620008,78.9453276463746,50.6785575804575,63.4354400930593,57.5416828227995,80.1861186506398,61.7681271810779,65.1803024428073,83.2493214424195,30.4381543233812,88.1349360217138,69.8332687088019,50.329585110508,8.56921287320667,75.7658006979449,79.3330748352074,64.0170608763087,55.8355951919349,43.7766576192323,62.2721985265607,3.78324424057734,4.7461421823881,1,2,2,3
" (1R,5aR,7S,9aS,9bS)-1,9b-dihydroxy-7,9a-dimethyl-6-methylidene-1,5,5a,7,8,9-hexahydrobenzo[e][2]benzofuran-3-one",C=C1[C@H]2CC=C3C(=O)O[C@@H](O)[C@]3(O)[C@@]2(C)CC[C@@H]1C,Prenol lipids,Terpenoids,Sesquiterpenoids,Coloratane sesquiterpenoids,C=C1[C@H]2CC=C3C(=O)O[C@@H](O)[C@]3(O)[C@@]2(C)CC[C@@H]1C,"InChI=1S/C15H20O4/c1-8-6-7-14(3)10(9(8)2)4-5-11-12(16)19-13(17)15(11,14)18/h5,8,10,13,17-18H,2,4,6-7H2,1,3H3/t8-,10+,13+,14-,15-/m0/s1",CLMMNIDCMQCWFF-MHRRYADESA-N,264.321,1.5314,4,2,4,0.514166913636936,5,66.76,0.331206595897675,0.858884584903717,0.827687728404999,0.0084019169909879,0.0438488241285085,0.0417274888604879,0.009800246101804,0.0451347833499312,0.0170166232623159,0.373984116315842,0.0338195776566863,0.0208920278586447,0.317910531163216,0.414821839332581,0.999724662303924,0.0643885929137468,0.191100440919399,0.01219454316888,0.121986259520054,0.0244259238243103,0.184278547018766,0.0163660212419927,0.797627878189087,0.0640097811818122,0.217495220899582,0.0071927871555089,0.0292115299031138,0.103183726221323,0.0777601707726717,0.691484826803207,0.0537099927663803,-4.69826300337475,53.6779223808622,3.47986119506076,-13.4793301279626,-9.13916693713062,2.97063859627776,1.38234851256625,68.157408162339,-2.69246307703127,3.15031685347557,30.7095773555642,39.0073671965878,46.4715005816208,60.8569212873207,63.8037999224506,48.7785963551764,83.9666537417604,44.3195036835983,69.5618456766188,62.2334238076774,55.6417215975184,31.6013958898798,35.9053896859248,15.4323381155487,29.740209383482,31.4850717332299,32.299340829779,39.2787902287708,42.6134160527336,9.03450949980613,77.4718883288096,48.6234974796433,77.6269872043428,87.2431174873982,91.7409848778597,38.2318728189221,76.8902675455603,59.0926715781311,77.6269872043428,68.5537029856534,54.0131834044203,46.1419154711128,63.3578906552928,50.7561070182241,64.9864288483908,63.9007367196588,72.1597518417992,75.0290810391625,22.5668863900737,67.7394338891043,65.412950756107,32.6870880186119,14.4629701434665,55.4090732842187,77.3555641721598,48.6234974796433,41.1399767351687,56.9988367584335,62.039550213261,3.12673227059617,4.89207194179327,1,2,2,4
"(1S,4S,4aR,6S,8aS)-1,4-dihydroxy-6,8a-dimethyl-5-methylidene-4a,6,7,8-tetrahydro-4H-naphthalene-1,2-dicarbaldehyde ",C=C1[C@@H](C)CC[C@@]2(C)[C@@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,Prenol lipids,Terpenoids,Sesquiterpenoids,Coloratane sesquiterpenoids,C=C1[C@@H](C)CC[C@@]2(C)[C@@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,"InChI=1S/C15H20O4/c1-9-4-5-14(3)13(10(9)2)12(18)6-11(7-16)15(14,19)8-17/h6-9,12-13,18-19H,2,4-5H2,1,3H3/t9-,12-,13-,14-,15+/m0/s1",LFSPEOPTWSAZEP-XOKYVNOHSA-N,264.321,1.0248,4,2,4,0.576705169351786,5,74.6,0.61322825551033,0.867257416248322,0.824944829940796,0.0024988122400827,0.0140129563165828,0.114371575415134,0.0039186143490951,0.05284114331007,0.0015856703103054,0.428999137878418,0.0080474041169509,0.0646526787430048,0.142303864657879,0.203456143289804,0.999111449718475,0.116749510169029,0.194368904829025,0.0052928717690519,0.0589148703962564,0.010845510661602,0.100557760894299,0.0086409765295684,0.555997091531754,0.0286159290000796,0.0697292923927307,0.0078924395842477,0.0078106992878019,0.0284346371889114,0.0527790872380137,0.562731277942657,0.0362403955310583,-4.6149138089598,37.5851042678304,-5.42705458476407,8.8331597128869,-11.2056643411692,2.68368446443687,0.546145436251522,47.7920306279862,-2.25074779634678,-2.08623641366697,30.7095773555642,32.9197363319116,46.4715005816208,60.8569212873207,63.8037999224506,57.6192322605661,83.9666537417604,49.3020550601008,88.56145792943,63.125242341993,55.0601008142691,18.844513377278,20.2016285381931,40.5583559519194,20.1628538193098,35.0135711516092,8.95696006203955,44.6297014346646,30.7483520744475,25.7851880573866,58.9763474214812,33.2299340829779,67.0802636680884,91.5083365645599,91.9348584722761,26.0178363706863,64.2109344707251,37.689026754556,55.6804963164017,58.8987979837146,36.8359829391237,35.8666149670415,36.2155874369911,52.3846452113222,39.5889879798371,46.5296626599457,65.9170221015898,63.1640170608763,18.2241178751454,72.9352462194649,51.2214036448236,21.403644823575,52.4234199302055,34.1217526172935,60.6048856145793,35.2462194649089,20.5118262892594,65.2966265994572,20.589375727026,3.17551592507233,5.03876298251725,1,2,2,6
Cinnamolide,CC1(C)CCC[C@]2(C)[C@H]3COC(=O)C3=CC[C@@H]12,Lactones,Terpenoids,Sesquiterpenoids,Drimane sesquiterpenoids,CC1(C)CCC[C@]2(C)[C@H]3COC(=O)C3=CC[C@@H]12,"InChI=1S/C15H22O2/c1-14(2)7-4-8-15(3)11-9-17-13(16)10(11)5-6-12(14)15/h5,11-12H,4,6-9H2,1-3H3/t11-,12-,15+/m0/s1",UMUMRNRVJNFLPT-SLEUVZQESA-N,234.339,3.3221,2,0,4,0.600945435887108,3,26.3,0.231145390868187,0.988486659526825,0.911426591873169,0.016570817772299,0.582980504631996,0.222366069257259,0.050576788559556,0.246693296730518,0.0423793382477015,0.682552480697632,0.0485749116167426,0.099604845046997,0.052521027624607,0.314536428451538,0.999879598617554,0.0005386649718275,0.0082633386366069,0.014713727729395,0.0639477007091045,0.0385959409177303,0.110869251191616,0.0049301640130579,0.991187262535095,0.119964898377657,0.171755827963352,0.001073468697723,0.0886356875300407,0.254408143460751,0.0050566949299536,0.925442683696747,0.344682760536671,-4.29681890099299,74.3153718356533,42.8272861937843,-7.94517731875775,-2.35816840490972,1.87766470087337,3.16384221436331,86.9228687903785,-4.33940619166527,-1.35124328077236,23.3036060488561,66.6537417603722,16.3823187281892,11.7681271810779,63.8037999224506,60.7599844901125,75.436215587437,13.0670802636681,57.1539356339667,90.6552927491276,77.0841411399767,39.0073671965878,87.3206669251648,66.1496704148895,54.0519581233036,70.4536642109345,47.8480031019775,70.7250872431175,46.6072120977123,37.0298565335401,37.689026754556,41.1399767351687,84.2186894145017,6.55292749127569,21.2097712291586,41.4113997673517,65.5292749127569,70.8026366808841,60.2559131446297,50.2132609538581,98.1775882124855,53.702985653354,57.0376114773168,24.6219464908879,83.3656455990694,76.0759984490112,28.3830942225669,95.3082590151221,54.4397053121365,91.5858860023265,79.6432725862738,73.2066692516479,22.3730127956572,97.0918960837534,15.1609150833656,84.2186894145017,67.5067855758046,25.0872431174874,25.8627374951532,3.27079024947271,3.99070742089695,2,2,2,3
"methyl (5aS,7S,9aS,9bR)-6,6,9a-trimethyl-3-oxo-5,5a,7,8,9,9b-hexahydro-1H-benzo[e]isobenzofuran-7-carboxylate",COC(=O)[C@H]1CC[C@]2(C)[C@H]3COC(=O)C3=CC[C@H]2C1(C)C,Prenol lipids,Terpenoids,Sesquiterpenoids,Drimane sesquiterpenoids,COC(=O)[C@H]1CC[C@]2(C)[C@H]3COC(=O)C3=CC[C@H]2C1(C)C,"InChI=1S/C17H24O4/c1-16(2)11(15(19)20-4)7-8-17(3)12-9-21-14(18)10(12)5-6-13(16)17/h5,11-13H,6-9H2,1-4H3/t11-,12+,13+,17-/m1/s1",CIXCKWJWPAIIEX-ZOPJHEKZSA-N,292.375,2.7212,4,0,4,0.697313968429338,4,52.6,0.583020907640457,0.990449631214142,0.921867406368256,0.0076857911422848,0.510382483899593,0.134951376914978,0.0581775709055364,0.143001508712769,0.0085883584804832,0.807215309143066,0.172895652893931,0.0482213968411088,0.0612544804811477,0.36094925403595,0.999964284896851,0.0008128116212901,0.0077866110950708,0.0140575942583382,0.0324668362736702,0.0237531369552016,0.0752347283065319,0.0025439000106416,0.994218003749847,0.121428789198399,0.128165970742702,0.0019826650852337,0.0482029717415571,0.0437007701024413,0.0075461456552147,0.847463703155518,0.320536942780018,-4.18070923629833,80.2208112933802,54.5479926028315,-13.0220931347138,-4.70098227063423,2.30329733355114,2.70290641107002,84.6048687461159,-3.7800118979703,0.650209247376882,38.2318728189221,57.6192322605661,46.4715005816208,11.7681271810779,63.8037999224506,74.6801085692129,80.1085692128732,32.299340829779,87.1655680496316,91.7022101589763,80.8065141527724,30.7483520744475,84.3737882900349,46.3745637844126,56.2233423807677,57.8131058549826,22.9934082977898,88.7941062427297,63.7456378441256,19.6975571927104,40.8685537029857,44.280728964715,91.3532376890268,9.07328421868941,20.1628538193098,40.6359053896859,54.2458317177201,58.1233036060489,42.7297402093835,38.8134936021714,99.1469561845677,53.8580845288872,50.3683598293912,32.2217913920124,74.29236138038,52.3846452113222,33.6564559906941,88.9104303993796,52.4621946490888,95.6572314850717,82.5126017836371,80.0697944939899,15.1996898022489,90.2287708414114,35.8666149670415,74.0597130670803,63.1640170608763,36.1768127181078,42.3419930205506,2.80332344585768,4.22289196651686,1,2,2,5
Mukaadial,CC1(C)CCC[C@@]2(C)[C@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,Organooxygen compounds,Terpenoids,Sesquiterpenoids,Coloratane sesquiterpenoids,CC1(C)CCC[C@@]2(C)[C@H]1[C@@H](O)C=C(C=O)[C@]2(O)C=O,"InChI=1S/C15H22O4/c1-13(2)5-4-6-14(3)12(13)11(18)7-10(8-16)15(14,19)9-17/h7-9,11-12,18-19H,4-6H2,1-3H3/t11-,12-,14-,15+/m0/s1",AMHCJQBKGMEAAJ-NZBPQXDJSA-N,266.337,1.2488,4,2,4,0.737617412428056,4,74.6,0.72071527838707,0.93643970489502,0.859497845172882,0.0023204681405331,0.103135535120964,0.213944064080715,0.0164484840352088,0.0658929161727428,0.0013712296116864,0.641576182842255,0.0259716931730508,0.195694623887539,0.121276671439409,0.223664863407612,0.999426424503326,0.0249782374128699,0.078230296075344,0.0157142494339495,0.159289757907391,0.0269960718229413,0.112464749068022,0.0330031741410493,0.774631989002228,0.0682408556342124,0.150870122015476,0.0202769932802766,0.0348428068682551,0.200525179505348,0.0844366336241364,0.675860571861267,0.083168751001358,-4.41262051611457,46.5361152140033,-0.305948174162796,19.3407969898152,-10.1676625135983,2.40868728825605,0.775666913031296,49.6033515116948,-2.51109692002656,-3.26045533768133,31.2524234199302,35.4788677782086,46.4715005816208,60.8569212873207,63.8037999224506,80.4187669639395,80.1085692128732,49.3020550601008,92.6715781310586,73.5556417215975,62.3497479643273,18.301667312912,50.3683598293912,64.7150058162078,37.689026754556,39.4726638231873,8.33656455990694,65.9170221015898,40.3257076386196,57.8906552927491,55.719271035285,34.8196975571927,71.8495540907328,72.4311748739822,83.4044203179527,43.0011632415665,81.1167119038387,61.8069018999612,60.9926328034122,78.4024815820085,51.7642497091896,46.9174098487786,53.974408685537,68.0884063590539,68.1271810779372,72.9352462194649,73.478092283831,73.5556417215975,27.3749515316014,85.8084528887166,59.2477704536642,28.3443195036836,66.4210934470725,44.7072508724312,42.3419930205506,38.4257464133385,21.7526172935246,60.6824350523459,15.3547886777821,3.32732514248522,4.61611848798977,1,2,2,7
futronolide,CC1(C)CCC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,Dihydrofurans,Terpenoids,Sesquiterpenoids,Drimane sesquiterpenoids,CC1(C)CCC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,"InChI=1S/C15H22O3/c1-14(2)5-4-6-15(3)11(14)7-10(16)9-8-18-13(17)12(9)15/h10-11,16H,4-8H2,1-3H3/t10-,11+,15+/m1/s1",XELPMDBBGYBGEI-ZETOZRRWSA-N,250.338,2.437,3,1,4,0.671641463087224,3,46.53,0.251236818730831,0.96288378238678,0.830673944950104,0.0097870668396353,0.357119628041983,0.160945785790682,0.0625058375298976,0.194146884232759,0.0420974940061569,0.654146862030029,0.198026648908854,0.0513589445501565,0.14033200070262,0.128037641197443,0.999846076965332,0.002269000688102,0.0130719726905226,0.0202220138162374,0.133329343050718,0.0394284544512629,0.0666067786514759,0.0103138333652168,0.976165544986725,0.207225415110588,0.116936015337706,0.0027658249717205,0.0744498446583747,0.322946739196777,0.0212471690028905,0.80362685918808,0.32266608774662,-4.21948483613601,63.4971965347685,21.7252624593002,4.39001047738579,-6.21762214076202,2.38125999181341,2.44176499508649,71.7907374517159,-3.43636947715456,0.667441654632313,27.2198526560682,51.9968980224893,31.1748739821636,36.6808840635905,63.8037999224506,70.3373400542846,75.436215587437,28.266770065917,60.4110120201629,79.4881737107406,56.2233423807677,33.6952307095774,76.2698720434277,53.3152384645211,57.1539356339667,65.1803024428073,47.7316789453277,67.5067855758046,65.7619232260566,20.8220240403257,58.6273749515316,24.3505234587049,82.9003489724699,18.4567661884451,31.5626211709965,47.111283443195,78.5575804575417,71.2291585886002,37.3400542846064,61.3803799922451,90.4226444358278,61.9232260566111,48.5071733229934,36.4870104691741,80.884063590539,79.1004265219077,49.9806126405584,84.2962388522683,52.7336176812718,94.3776657619232,72.8189220628151,54.6723536254362,45.2113222179139,81.3493602171384,40.5971306708026,68.7475765800698,45.8317177200465,42.4583171772005,42.4195424583172,3.18305481828607,4.12042627740677,1,2,2,4
"(4R,5aS,7R,9aS)-4-hydroxy-7,9a-dimethyl-6-methylidene-4,5,5a,7,8,9-hexahydro-3H-benzo[g][2]benzofuran-1-one  ",C=C1[C@H](C)CC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,Prenol lipids,Terpenoids,Sesquiterpenoids,Coloratane sesquiterpenoids,C=C1[C@H](C)CC[C@]2(C)C3=C(COC3=O)[C@H](O)C[C@@H]12,"InChI=1S/C15H20O3/c1-8-4-5-15(3)11(9(8)2)6-12(16)10-7-18-14(17)13(10)15/h8,11-12,16H,2,4-7H2,1,3H3/t8-,11+,12-,15+/m1/s1",YIADAXTULGQCOZ-JDSYJXLJSA-N,248.322,2.213,3,1,4,0.527895997899208,4,46.53,0.301597136259079,0.891969048976898,0.815663683414459,0.0180619194172322,0.0797275155782699,0.0717360999435186,0.0277324052061885,0.108654773980379,0.0142352643888443,0.516559904813767,0.130063466727734,0.0243701478466391,0.194876854121685,0.141191944479942,0.999953770637512,0.0151426116935908,0.0514281269162893,0.0106515632709488,0.100131115317345,0.0191571151837706,0.07901440449059,0.0087212754413485,0.947988140583038,0.131347160041332,0.118493174016476,0.0028293002629652,0.0673822022974491,0.0686026491224765,0.0301718504168093,0.781358957290649,0.116824441403151,-4.27064637732593,56.4951959266537,10.0177768207213,-7.42352480443974,-6.79158890602552,2.61848360064609,2.13585320348173,74.7159389292965,-3.12227352447053,1.2045705847466,26.8321054672354,48.58472276076,31.1748739821636,36.6808840635905,63.8037999224506,50.6785575804575,80.1085692128732,28.266770065917,66.5374176037224,66.3435440093059,53.5866614967042,40.0930593253199,45.7153935633967,26.0178363706863,45.9480418766964,51.1826289259403,30.0891818534316,52.6560682435052,59.0926715781311,10.6242729740209,65.7231485071733,26.0953858084529,89.6471500581621,59.2477704536642,73.9433889104304,36.2931368747577,73.0903450949981,52.1519968980225,44.7848003101978,59.0538968592478,79.139201240791,54.7111283443195,48.8173710740597,36.6421093447073,79.3718495540907,57.9682047305157,55.9519193485847,82.0085304381543,32.2605661108957,92.4389298177588,67.7782086079876,40.5583559519194,23.3811554866227,77.2392400155099,56.1070182241179,62.9701434664599,49.0887941062427,48.4296238852268,47.0725087243118,3.03913080445469,4.64276792807099,1,2,2,3
Tovopyrifolin C,COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,Benzopyrans,Shikimates and Phenylpropanoids,Xanthones,Plant xanthones,COc1c(O)cc2oc3c(O)cccc3c(=O)c2c1O,"InChI=1S/C14H10O6/c1-19-14-8(16)5-9-10(12(14)18)11(17)6-3-2-4-7(15)13(6)20-9/h2-5,15-16,18H,1H3",JAOZFCHZESUBKS-UHFFFAOYSA-N,274.228,2.0716,6,3,4,0.587244832136179,0,100.13,0.730976128578186,0.282177701592445,0.374164126813412,0.943678903579712,0.326658815145493,0.0637887608259916,0.267466169595718,0.0785514190793037,0.273428957164288,0.487681072950363,0.624357998371124,0.0129703863058239,0.0258508637547493,0.908808898925781,0.999727785587311,0.0432129874825477,0.0289656288921833,0.903689897060394,0.221575853228569,0.509844571352005,0.370668202638626,0.067894247919321,0.76759250164032,0.520500159263611,0.778090369701386,0.269984202086926,0.263542398810387,0.828847396373749,0.477499210834503,0.864878153800964,0.375646445155144,-4.88144576391711,92.1447647684368,10.2734781595466,12.8818236626818,-11.4923985254853,2.50796982565972,1.8459971104245,88.3526166966016,-3.94275960280327,0.761663818863391,33.2687088018612,46.7623109732454,69.5036835982939,77.2586273749515,63.8037999224506,59.0538968592478,22.4893369523071,67.3904614191547,93.0205506010081,17.4098487785964,12.4854594804188,96.8204730515704,74.5250096936797,22.9934082977898,80.612640558356,42.6909654905002,77.4331136099263,50.1357115160915,84.2186894145017,5.5447848003102,23.148507173323,82.4350523458705,77.7045366421094,82.7064753780535,57.5416828227995,99.0694067468011,87.0880186118651,97.4020938348197,91.663435440093,87.6308646762311,51.1050794881737,76.308646762311,95.3470337340054,96.0837533927879,93.7960449786739,96.2000775494378,95.424583171772,90.5389685924777,56.533540131834,56.3008918185343,87.9022877084141,40.7910042652191,58.5110507948817,31.8340442031795,48.6234974796433,56.9212873206669,70.2985653354013,33.113609926328,42.9236138037999,1.65496801306782,2.51837593525158,0,2,2,5
