decile,auc_mean_seed_mean,auc_sd_seed_mean,n_seeds,n_mean_per_fold_seed,n_pos_mean_per_fold_seed,nn_tanimoto_mean,arm,split
1,0.7339115760564612,0.018751499760570802,5,401.04,227.12,0.30554252982139585,ChemBERTa,scaffold
2,0.7428168734372651,0.007842360322125794,5,400.44,268.92,0.3482418775558472,ChemBERTa,scaffold
3,0.7693449090500056,0.014334953319110008,5,397.0,281.08,0.3732073616981506,ChemBERTa,scaffold
4,0.7656960845722564,0.016776010264140485,5,394.64,293.64,0.3949551856517792,ChemBERTa,scaffold
5,0.7711665219517484,0.018984818314670433,5,400.52,307.56,0.41602646589279174,ChemBERTa,scaffold
6,0.7733836267855468,0.0047406852362763974,5,395.92,315.44,0.4374446058273315,ChemBERTa,scaffold
7,0.7720149483622587,0.01175031936296974,5,398.52,318.44,0.4606346356868744,ChemBERTa,scaffold
8,0.7883452001184995,0.019786533913861818,5,398.68,320.32,0.4901360476016998,ChemBERTa,scaffold
9,0.8117069947768041,0.01127278329275451,5,386.88,303.12,0.5333315193653106,ChemBERTa,scaffold
10,0.8803310338180402,0.02741765291504347,5,393.56,308.56,0.6308315086364746,ChemBERTa,scaffold
