smiles,admetai_logS,admetai_cyp3a4,admetai_herg,admetai_bbb,swissadme_logS,swissadme_bbb,swissadme_cyp3a4,swissadme_herg,admetlab3_logS,admetlab3_bbb,admetlab3_cyp3a4,admetlab3_herg
Cc1ccc(CN2CCN(Cc3ccccc3)CC2)cc1O,0.6208045429349617,0.0034011928,,,-4.055,1.0,0.255,0.151,-4.055,1.0,0.255,0.151
Cc1ccccc1CN1CCN(Cc2cccc(O)c2)CC1,0.6731981534641113,0.0061453106,,,-4.055,1.0,0.255,0.151,-4.055,1.0,0.255,0.151
Cc1cc(CN2CCN(Cc3ccccc3)CC2)ccc1O,0.6343978922558517,0.0028852634,,,-4.055,1.0,0.255,0.151,-4.055,1.0,0.255,0.151
COc1ccc(CN2CCN(Cc3ccccc3C)CC2)cc1O,0.5574665300757112,0.04479858,,,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Oc1cccc(CN2CCN(Cc3ccc(Cl)cc3)CC2)c1,0.5598170140605672,0.012349894,,,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
Cc1ccc(CN2CCN(Cc3ccc(O)cc3)CC2)c(C)c1,0.542412883722101,0.015797233,,,-4.337,1.0,0.332,0.166,-4.337,1.0,0.332,0.166
COc1ccc(CN2CCN(Cc3ccc(C)c(O)c3)CC2)cc1,0.620194927801601,0.04261115,,,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Cc1ccc(CN2CCN(Cc3cccc(O)c3)CC2)c(C)c1,0.508703785811887,0.0364625,,,-4.337,1.0,0.332,0.166,-4.337,1.0,0.332,0.166
Oc1ccc(CN2CCN(Cc3ccccc3)CC2)cc1Cl,0.7025359694905863,0.0023021267,,,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
Oc1ccc(CN2CCN(Cc3ccccc3Cl)CC2)cc1,0.6703717712610533,0.010016682,,,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1cccc(CN2CCN(Cc3ccc(C)c(O)c3)CC2)c1,0.5764037086570751,0.030270597,,,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Cc1ccc(CN2CCN(Cc3cc(O)ccc3C)CC2)cc1,0.5887499344395896,0.012723817,,,-4.337,1.0,0.332,0.166,-4.337,1.0,0.332,0.166
Oc1cccc(CN2CCN(Cc3ccccc3Cl)CC2)c1,0.6158956323771589,0.0041913097,,,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1ccc(CN2CCN(Cc3ccc(O)c(C)c3)CC2)cc1,0.482648868295469,0.029356234,,,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Oc1ccc(CN2CCN(Cc3ccccc3)CC2)c(Cl)c1,0.7079514414100267,0.0020713718,,,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1ccc(CN2CCN(Cc3cccc(O)c3C)CC2)cc1,0.4760353517454733,0.05116359,,,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
Oc1ccc(CN2CCN(Cc3cccc(Cl)c3)CC2)cc1,0.616732248678234,0.003688603,,,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1ccc([C@@H]2CC(=O)c3c(O)cc(OC)cc3O2)cc1,0.4961910888314501,0.8756547,,,-4.207,1.0,0.279,0.156,-4.207,1.0,0.279,0.156
Oc1ccc(CN2CCN(Cc3ccc(Cl)cc3)CC2)cc1,0.6197026113997037,0.0077856253,,,-4.399,1.0,0.341,0.168,-4.399,1.0,0.341,0.168
COc1cccc(CN2CCN(Cc3ccc(O)c(C)c3)CC2)c1,0.463518046225133,0.026875092,,,-4.181,1.0,0.257,0.151,-4.181,1.0,0.257,0.151
