method,seed,smiles,mds_x,mds_y
mcts,0,CC(C)(c1cncnc1)C(C)(CN)c1ccsc1,-0.53697,0.16206
mcts,1,CC(N)C(N)(Cc1ccncc1)c1ccsc1,-0.35472,0.33911
mcts,2,NC(=O)CC(c1ccncc1)C12CCCCN1CCC2,-0.05409,-0.69363
mcts,3,CC(C)(c1ccsc1)C(C)(CN)c1ccncc1,-0.41653,0.12569
mcts,4,CC(C)(c1cnsc1)C(C)(C(=O)O)c1ccccc1,0.432,0.00668
mcts,5,COC(C)(c1cnccn1)C(C)(O)c1ccccc1,0.10531,0.50114
mcts,6,CC(C(=O)O)(c1ccccc1)C12CCCCN1CCC2,0.62897,-0.22244
mcts,7,CC(CC(C)(C)c1cnsc1)C(C)(O)c1ccncc1,0.07031,0.04439
mcts,8,CCC(C(=O)O)C(c1ccncc1)(c1ccncc1)C(C)(C)C,-0.08024,-0.35249
mcts,9,CCC(c1cnsc1)(C(C)(C)C)C(C)(N)Cc1cnoc1,0.41454,-0.38979
mcts,10,CC(C)(C)C(C)(c1cnsc1)C(C(=O)O)c1ccncc1,0.1899,-0.14395
mcts,11,CC(C)(C)C(O)(Cc1ccoc1)c1cnsc1,0.32921,0.28717
mcts,12,CC(C(C)(C)C)C(C)(C)C(C)(C(N)=O)c1ccncc1,0.08314,-0.4648
mcts,13,CCC(C)(CO)C(c1ccsc1)(c1cnccn1)C(C)(C)C,-0.54013,-0.0652
mcts,14,CC(C)(C)C(C)(O)C(c1cncnc1)c1ccsc1,-0.48793,-0.27441
mcts,15,CC(O)C(c1ccncc1)(c1cncnc1)C(C)(C)C,-0.26055,-0.37085
mcts,16,CC1(C(O)(c2ccccc2)c2cnsc2)CCOC1,0.56865,0.1839
mcts,17,O=C(O)CC(c1ccoc1)c1ccsc1,-0.18802,0.63311
mcts,18,CC(C)CC(N)(c1ccncc1)c1ccsc1,-0.26079,0.15055
mcts,19,CC(C)(O)C(C)(OCc1ccoc1)c1ccccc1,0.35795,0.54376
random,0,CC(O)(c1cncnc1)C1(c2ccccc2)CCSC1,-0.30839,-0.24255
random,1,CC(C)(C)C(c1cncnc1)N(C(N)=O)C(C)(C)c1cnccn1,0.48181,0.30159
random,2,CC(C(=O)O)(c1ccccc1)C1(c2cnoc2)CCOC1,-0.11323,-0.56411
random,3,CC(N)(c1ccsc1)C1(c2cnsc2)CCSC1,-0.38067,0.08581
random,4,CCC(c1cncnc1)(c1cnccn1)C(C)(N)C(C)(C)C,0.11134,0.56065
random,5,CC(C)(C)C(O)(Cc1cnsc1)c1cnsc1,-0.54199,0.31901
random,6,CC(C(=O)O)(c1ccccc1)C12CCCCN1CCC2,0.09538,-0.594
random,7,CC(C)(C)CC(C)(O)C1(C(C)(C)c2cncnc2)CCSC1,-0.57378,-0.09796
random,8,NC(Cc1ccoc1)(c1cnccn1)C1CCOC1,0.36612,0.55974
random,9,CC(C)(C)C(C)(c1cnoc1)C(C)(N)c1ccsc1,-0.03426,0.34158
random,10,CC1(C(C)(Cc2cnccn2)c2ccsc2)CCCNC1,-0.1813,0.56092
random,11,CC(O)(CC1(c2ccccc2)CCSC1)c1cncnc1,-0.43023,-0.23057
random,12,CN(C)C(C(C(=O)O)c1ccoc1)(C(C)(C)C)C(C)(C)C,0.65585,0.00661
random,13,CC(O)(c1ccncc1)C1(c2ccccc2)CCSC1,-0.33888,-0.35981
random,14,CC(C)(c1ccsc1)C(CC(=O)O)c1ccsc1,0.16639,0.11059
random,15,NC(=O)C(Cc1cnoc1)(c1ccncc1)C12CCCCN1CCC2,0.08661,-0.3608
random,16,CC(C)(c1ccncc1)C(C)(CO)c1cnsc1,-0.37411,0.38453
random,17,CC(C)(C)C(CN(C(N)=O)c1ccccc1)c1cncnc1,0.37072,-0.02498
random,18,CN(c1ccc2ccccc2n1)C(CC(=O)O)C(C)(C)C,0.40235,-0.45462
random,19,CN(C)C(c1ccccc1)(C(C)(C)C)C1(N)CC1c1ccccc1,0.54027,-0.30164
greedy,0,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,1,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,2,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,3,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,4,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,5,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,6,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,7,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,8,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,9,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,10,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,11,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,12,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,13,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,14,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,15,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,16,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,17,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,18,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
greedy,19,CN(c1ccc2ccccc2n1)C(C(=O)O)C(C)(C)C,0.0,0.0
ga,0,CC(C)(C)CC1(Nc2ccc3ccccc3n2)CC1(C)N,-0.4544,0.25562
ga,1,CN(CC(=O)O)c1ccc2ccccc2n1,0.12048,0.44511
ga,2,CCC(C)(C)Nc1ccc2ccccc2n1,-0.33102,0.42533
ga,3,O=C(O)CC(c1ccncc1)c1ccsc1,0.59511,0.15713
ga,4,CC(O)(c1cnsc1)C1(Cc2ccsc2)CCOC1,0.07291,-0.53136
ga,5,CN(CC(=O)O)c1ccc2ccccc2n1,0.12048,0.44511
ga,6,CN(CC(=O)O)c1ccc2ccccc2n1,0.12048,0.44511
