GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
951,44187493.1,4980.83,3490.24,7365278.09,319.02,-108.05,-2450.54,-20298.61,1343.84,15376.24,-3766.89,167.96,51555424.16,-3598.93,51551825.23
961,44125235.96,5246.35,3510.95,7276035.15,312.13,-116.31,-2433.11,-20348.01,1356.43,15440.4,-3727.28,172.16,51404239.94,-3555.12,51400684.82
971,44132575.02,5473.41,3500.25,7283991.78,304.87,-115.69,-2421.32,-20145.59,1352.44,15395.91,-3887.46,179.06,51419911.09,-3708.4,51416202.7
981,44109127.16,5538.0,3529.38,7283303.87,310.96,-104.37,-2406.1,-20235.9,1376.27,15416.34,-3845.99,174.77,51395855.61,-3671.22,51392184.39
991,44392958.17,4781.24,3517.16,7358232.57,289.04,-117.48,-2417.79,-20203.39,1336.47,15332.37,-3774.08,174.83,51753708.36,-3599.24,51750109.12
1001,44544451.21,4604.78,3507.23,7366262.36,286.22,-116.58,-2414.29,-20310.18,1365.04,15380.95,-3740.42,171.39,51913016.74,-3569.03,51909447.71

Ligand Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,6.31,20.82,8.42,0.0,0.0,0.0,-2.92,0.43,7.34,-5.21,-7.98,2.51,35.2,-5.47,29.72
11,12.71,19.62,13.12,0.0,0.0,0.0,-2.91,0.9,8.74,-6.11,-7.91,2.63,46.07,-5.28,40.79
21,4.91,19.94,9.18,0.0,0.0,0.0,-1.76,1.55,7.9,-5.05,-8.77,2.77,36.66,-6.0,30.66
31,7.78,19.51,9.24,0.0,0.0,0.0,-1.49,2.03,7.27,-6.01,-8.67,2.81,38.32,-5.86,32.46
41,8.71,17.44,10.74,0.0,0.0,0.0,-1.17,2.48,7.42,-6.38,-9.23,2.78,39.23,-6.44,32.79
51,5.22,20.1,9.43,0.0,0.0,0.0,-1.38,0.05,8.5,-2.4,-9.43,2.71,39.53,-6.72,32.81
61,4.51,16.96,8.75,0.0,0.0,0.0,-0.85,1.33,9.19,-3.34,-9.93,2.68,36.56,-7.25,29.31
71,8.44,17.68,13.57,0.0,0.0,0.0,-1.69,-0.39,5.93,-2.12,-9.98,2.81,41.42,-7.17,34.25
81,5.85,16.36,14.29,0.0,0.0,0.0,-1.76,-0.58,6.25,-1.63,-9.77,2.78,38.78,-7.0,31.78
91,5.64,17.68,8.32,0.0,0.0,0.0,-1.21,0.05,7.38,-3.7,-9.0,2.74,34.16,-6.26,27.9
101,7.4,17.3,9.28,0.0,0.0,0.0,-0.78,-1.23,7.17,-1.79,-9.39,2.72,37.35,-6.67,30.68
111,6.7,18.12,8.75,0.0,0.0,0.0,-1.07,1.46,7.42,-4.31,-9.14,2.74,37.09,-6.4,30.69
121,7.23,18.14,11.86,0.0,0.0,0.0,-1.31,-0.43,9.06,-2.71,-9.06,2.72,41.84,-6.34,35.49
131,7.57,19.37,8.41,0.0,0.0,0.0,0.62,-2.96,7.03,-1.94,-7.64,2.73,38.11,-4.92,33.19
141,6.88,18.97,18.01,0.0,0.0,0.0,-1.24,2.3,4.66,-5.35,-9.24,2.78,44.24,-6.46,37.78
151,6.49,15.74,9.8,0.0,0.0,0.0,-1.54,0.13,5.87,-5.97,-7.6,2.77,30.52,-4.82,25.69
161,3.98,20.31,9.1,0.0,0.0,0.0,-1.18,2.24,7.72,-5.46,-8.68,2.72,36.7,-5.96,30.74
171,6.24,16.56,7.9,0.0,0.0,0.0,-1.58,1.8,8.33,-5.4,-8.46,2.65,33.86,-5.81,28.05
181,5.1,20.47,10.13,0.0,0.0,0.0,-2.1,1.17,7.6,-5.38,-8.44,2.71,36.98,-5.73,31.24
191,4.23,17.66,9.21,0.0,0.0,0.0,-1.54,0.61,7.17,-6.03,-7.75,2.73,31.31,-5.02,26.3
201,11.31,16.3,12.53,0.0,0.0,0.0,-0.91,0.22,7.41,-6.52,-7.4,2.74,40.35,-4.66,35.69
211,8.69,23.3,15.88,0.0,0.0,0.0,-1.4,1.24,6.51,-2.34,-10.88,2.71,51.88,-8.17,43.71
221,5.46,17.74,12.8,0.0,0.0,0.0,-1.02,-0.46,8.49,-1.99,-9.99,2.65,41.02,-7.33,33.68
231,10.41,15.62,8.18,0.0,0.0,0.0,-1.66,0.18,6.82,-5.68,-7.64,2.76,33.86,-4.87,28.99
241,7.36,14.93,8.31,0.0,0.0,0.0,-1.81,0.93,6.03,-2.84,-10.11,2.75,32.91,-7.36,25.56
251,9.27,17.4,8.84,0.0,0.0,0.0,-0.92,2.16,7.12,-4.58,-9.69,2.74,39.29,-6.96,32.34
261,6.67,18.87,13.32,0.0,0.0,0.0,-1.38,-1.1,7.72,-2.43,-8.82,2.67,41.66,-6.15,35.51
271,8.21,20.9,8.28,0.0,0.0,0.0,0.37,-0.1,7.47,-2.0,-9.89,2.73,43.13,-7.16,35.97
281,6.75,16.61,8.92,0.0,0.0,0.0,-1.51,-1.87,8.94,-1.03,-8.68,2.7,36.81,-5.98,30.83
291,8.01,22.01,8.05,0.0,0.0,0.0,-1.83,-0.14,7.36,-2.96,-9.29,2.68,40.5,-6.61,33.89
301,9.96,20.89,8.49,0.0,0.0,0.0,-2.18,-1.27,6.46,-1.35,-9.17,2.76,41.0,-6.41,34.59
311,5.7,16.56,8.75,0.0,0.0,0.0,-1.7,-0.27,8.16,-2.62,-9.67,2.76,34.57,-6.92,27.65
321,9.69,18.44,8.53,0.0,0.0,0.0,-1.46,-0.59,7.09,-2.08,-9.5,2.73,39.62,-6.76,32.85
331,10.29,18.25,9.51,0.0,0.0,0.0,-1.83,-0.59,6.86,-3.34,-8.75,2.78,39.16,-5.97,33.19
341,4.93,22.17,9.31,0.0,0.0,0.0,-1.7,1.02,6.31,-2.23,-10.49,2.73,39.82,-7.76,32.06
351,6.63,23.66,9.09,0.0,0.0,0.0,-0.73,-0.56,8.19,-3.39,-8.39,2.71,42.89,-5.67,37.21
