GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
181,0.0,0.0,0.0,0.0,0.0,0.0,-21.39,2.92,-0.0,0.0,6.01,-3.68,-18.46,2.33,-16.13
191,-0.0,-0.0,0.0,0.0,0.0,0.0,-22.36,-3.35,-0.0,-0.0,10.48,-3.54,-25.71,6.94,-18.77
201,0.0,-0.0,0.0,0.0,0.0,0.0,-22.71,-4.88,0.0,0.0,11.75,-3.67,-27.58,8.08,-19.51
211,0.0,0.0,-0.0,0.0,0.0,0.0,-26.08,-7.59,-0.0,0.0,16.55,-3.97,-33.67,12.57,-21.1
221,0.0,-0.0,0.0,0.0,0.0,0.0,-20.92,1.43,-0.0,0.0,5.38,-3.31,-19.5,2.06,-17.43
231,0.0,-0.0,0.0,0.0,0.0,0.0,-20.79,-0.61,-0.0,-0.0,7.83,-3.51,-21.4,4.32,-17.08
241,-0.0,-0.0,-0.0,0.0,0.0,0.0,-23.5,0.33,0.0,0.0,7.28,-3.68,-23.17,3.6,-19.58
251,0.0,0.0,0.0,0.0,0.0,0.0,-21.24,1.92,0.0,0.0,6.49,-3.7,-19.33,2.79,-16.53
261,-0.0,-0.0,-0.0,0.0,0.0,0.0,-19.51,-12.89,0.0,0.0,20.76,-3.57,-32.4,17.19,-15.21
271,-0.0,0.0,0.0,0.0,0.0,0.0,-26.17,-12.83,-0.0,0.0,20.85,-4.23,-39.0,16.62,-22.39
281,0.0,-0.0,0.0,0.0,0.0,0.0,-25.24,-13.15,-0.0,-0.0,21.5,-4.17,-38.39,17.33,-21.06
291,-0.0,0.0,-0.0,0.0,0.0,0.0,-23.37,-8.76,0.0,-0.0,16.34,-4.0,-32.14,12.34,-19.8
301,0.0,0.0,-0.0,0.0,0.0,0.0,-25.96,-12.37,-0.0,0.0,19.88,-4.3,-38.33,15.57,-22.76
311,0.0,-0.0,0.0,0.0,0.0,0.0,-25.86,-7.28,0.0,0.0,15.43,-4.06,-33.14,11.37,-21.77
321,-0.0,-0.0,0.0,0.0,0.0,0.0,-24.02,-5.59,0.0,0.0,13.87,-3.87,-29.61,10.0,-19.61
331,-0.0,-0.0,0.0,0.0,0.0,0.0,-21.54,-0.69,-0.0,-0.0,8.66,-3.54,-22.23,5.12,-17.11
341,0.0,-0.0,-0.0,0.0,0.0,0.0,-20.9,-4.84,-0.0,0.0,13.01,-3.3,-25.74,9.71,-16.03
351,-0.0,-0.0,-0.0,0.0,0.0,0.0,-22.92,-6.02,0.0,0.0,14.45,-3.42,-28.94,11.03,-17.9
361,-0.0,0.0,-0.0,0.0,0.0,0.0,-24.44,-8.17,-0.0,-0.0,16.67,-3.82,-32.62,12.86,-19.76
371,0.0,0.0,-0.0,0.0,0.0,0.0,-23.7,2.94,-0.0,-0.0,5.34,-3.43,-20.77,1.91,-18.86
381,0.0,-0.0,0.0,0.0,0.0,0.0,-23.58,0.16,0.0,-0.0,7.8,-3.57,-23.42,4.23,-19.19
391,-0.0,0.0,0.0,0.0,0.0,0.0,-21.21,-6.09,-0.0,-0.0,14.79,-3.94,-27.3,10.85,-16.45
401,0.0,0.0,0.0,0.0,0.0,0.0,-26.52,-2.4,-0.0,-0.0,9.5,-3.83,-28.92,5.67,-23.25
411,0.0,0.0,0.0,0.0,0.0,0.0,-24.08,-4.81,-0.0,-0.0,12.68,-3.8,-28.89,8.88,-20.01
421,0.0,0.0,0.0,0.0,0.0,0.0,-24.81,-6.6,-0.0,0.0,14.33,-3.73,-31.41,10.6,-20.81
431,-0.0,0.0,0.0,0.0,0.0,0.0,-27.55,-3.91,0.0,0.0,12.71,-4.03,-31.46,8.68,-22.78
441,-0.0,0.0,-0.0,0.0,0.0,0.0,-21.16,-5.34,-0.0,0.0,12.95,-3.84,-26.5,9.11,-17.39
451,-0.0,-0.0,0.0,0.0,0.0,0.0,-18.97,-0.52,-0.0,-0.0,6.85,-3.12,-19.49,3.73,-15.76
461,0.0,0.0,-0.0,0.0,0.0,0.0,-19.62,-1.69,-0.0,0.0,8.86,-3.46,-21.31,5.39,-15.92
471,0.0,-0.0,-0.0,0.0,0.0,0.0,-23.47,-0.56,0.0,-0.0,8.75,-3.5,-24.03,5.26,-18.77
481,0.0,-0.0,-0.0,0.0,0.0,0.0,-26.36,1.39,-0.0,0.0,8.18,-4.0,-24.97,4.18,-20.78
491,-0.0,0.0,-0.0,0.0,0.0,0.0,-26.68,-2.7,-0.0,-0.0,11.18,-4.08,-29.39,7.11,-22.28
501,0.0,0.0,0.0,0.0,0.0,0.0,-23.67,-1.36,0.0,-0.0,10.13,-4.13,-25.02,6.0,-19.02
511,0.0,0.0,0.0,0.0,0.0,0.0,-25.44,0.84,0.0,0.0,8.66,-4.09,-24.6,4.57,-20.03
521,-0.0,0.0,-0.0,0.0,0.0,0.0,-20.92,-0.39,0.0,-0.0,7.94,-3.52,-21.31,4.42,-16.89
531,0.0,-0.0,-0.0,0.0,0.0,0.0,-23.8,-1.08,-0.0,-0.0,8.63,-3.95,-24.87,4.68,-20.19
541,0.0,0.0,-0.0,0.0,0.0,0.0,-27.72,-0.54,0.0,0.0,10.21,-4.4,-28.26,5.81,-22.45
551,-0.0,0.0,-0.0,0.0,0.0,0.0,-25.65,-1.18,0.0,-0.0,9.66,-4.3,-26.83,5.36,-21.47
561,-0.0,0.0,-0.0,0.0,0.0,0.0,-25.56,3.3,-0.0,0.0,5.65,-4.26,-22.26,1.39,-20.87
571,-0.0,-0.0,-0.0,0.0,0.0,0.0,-23.64,1.79,-0.0,-0.0,7.19,-4.07,-21.85,3.12,-18.73
581,-0.0,0.0,0.0,0.0,0.0,0.0,-25.25,-2.28,0.0,0.0,10.21,-4.3,-27.53,5.91,-21.62
591,-0.0,-0.0,-0.0,0.0,0.0,0.0,-21.23,-0.83,0.0,-0.0,8.69,-3.38,-22.06,5.31,-16.75
601,-0.0,-0.0,-0.0,0.0,0.0,0.0,-24.02,0.34,0.0,0.0,7.73,-3.77,-23.68,3.96,-19.72
611,0.0,-0.0,-0.0,0.0,0.0,0.0,-27.92,1.87,0.0,-0.0,7.45,-4.24,-26.04,3.21,-22.84
621,-0.0,-0.0,-0.0,0.0,0.0,0.0,-27.27,2.06,0.0,0.0,9.75,-4.55,-25.21,5.2,-20.01
631,0.0,-0.0,0.0,0.0,0.0,0.0,-21.01,-1.18,0.0,0.0,8.9,-3.68,-22.19,5.22,-16.96
641,0.0,-0.0,0.0,0.0,0.0,0.0,-26.12,0.57,-0.0,0.0,9.93,-4.44,-25.54,5.48,-20.06
651,0.0,-0.0,-0.0,0.0,0.0,0.0,-26.27,-0.9,0.0,0.0,8.95,-3.98,-27.18,4.97,-22.2
661,-0.0,-0.0,-0.0,0.0,0.0,0.0,-20.72,-2.31,-0.0,-0.0,10.86,-3.62,-23.04,7.24,-15.79
