smiles,mpo,syba,sa,rrs,pns,hypervolume,seed
CCOC(Nc1ccc2ccccc2n1)C(=O)OCC(=O)N(CC(=O)NC(C)CC)c1cncc(-c2ccccc2)c1,0.1775,138.3094,3.0000,0.1778,1.0000,1.0628,2
CCOC(Nc1ccc2ccccc2n1)C(=O)OCC(=O)N(CC(=O)NC(C)CCCC(N)=O)c1cncc(-c2ccccc2)c1,0.1238,147.7047,3.0000,0.1771,1.0000,1.0628,2
CCOC(Nc1ccc2ccccc2n1)C(=O)OC(C(=O)N(CC(=O)NC(C)CCc1ccccc1)c1cncc(-c2ccccc2)c1)N1CCOCC1,0.0998,179.2850,3.0000,0.1574,1.0000,1.0628,2
CCOC(Nc1ccc2ccccc2n1)C(=O)OCC(=O)N(CC(=O)NC(C)CCc1ccco1)c1cncc(-c2ccccc2)c1,0.1148,179.2482,3.0000,0.1700,1.0000,1.0628,2
CC(=O)OCC(=O)N(CC(N)=O)c1cncc(-c2ccccc2)c1,0.4636,111.7022,3.0000,0.1818,1.0000,1.0628,2
CCCCCCC(=O)OCC(=O)N(CC(N)=O)c1cncc(-c2ccccc2)c1,0.4636,111.7022,3.0000,0.1818,1.0000,1.0628,2
CCCCC(=O)OCC(=O)N(CC(=O)Nc1ccncc1)c1cncc(-c2ccccc2)c1,0.4749,139.7245,3.0000,0.1566,1.0000,1.0628,2
O=C(CN(C(=O)COC(=O)CNc1ccc2ccccc2n1)c1cncc(-c2ccccc2)c1)Nc1ccccn1,0.2482,169.0754,3.0000,0.1429,1.0000,1.0628,2
CCC(CC(=O)OCC(=O)N(CC(=O)Nc1ccncc1)c1cncc(-c2ccccc2)c1)c1ccccc1,0.2704,151.1843,3.0000,0.1625,1.0000,1.0628,2
CCCCC(=O)OCC(=O)N(CC(=O)N(CC(N)=O)c1ccncc1)c1cncc(-c2ccccc2)c1,0.3754,120.8016,3.0000,0.1728,1.0000,1.0628,2
CCCCC(=O)OCC(=O)N(CC(=O)N(CC(N)=O)c1ccncc1)c1cncc(-c2ccccc2)c1,0.3754,120.8016,3.0000,0.1728,1.0000,1.0628,2
CCOCC(=O)OCC(=O)N(CC(=O)NCC(C)C)c1cncc(-c2ccccc2)c1,0.5534,121.1357,3.0000,0.1600,1.0000,1.0628,2
CCOCC(=O)OCC(=O)N(CC(=O)NCC(C)C)c1cncc(-c2ccccc2)c1,0.5534,121.1357,3.0000,0.1600,1.0000,1.0628,2
CCOCC(=O)OCC(=O)N(CC(=O)NCC(C)C)c1cncc(-c2ccccc2)c1,0.5534,121.1357,3.0000,0.1600,1.0000,1.0628,2
CCCC(=O)OCC(=O)N(CC(=O)Nc1ccccn1)c1cncc(-c2ccccc2)c1,0.5198,124.7030,3.0000,0.1707,1.0000,1.0628,2
CCN(C(=O)NOC(=O)Cc1ccsc1)c1ccccc1,0.8834,78.2768,3.0000,0.1538,1.0000,1.0628,3
CCCC(C(C)c1ccoc1)N(C(N)=O)c1ccccc1,0.8673,53.2018,3.0000,0.1905,1.0000,1.0628,3
CC(C)CC(C)(C)CNC(=O)N(c1ccccc1)c1cnccn1,0.8559,98.0674,3.0000,0.1791,1.0000,1.0628,3
CCC(O)C(C)(OC1CCOC1)N(CC(CNc1ccc2ccccc2n1)Cc1ccccc1)C(=O)N(c1ccccc1)c1cnccn1,0.1245,140.3028,3.0000,0.1682,0.0000,1.0628,3
CNC(OC(c1ccccc1)C(C)CN(C(=O)N(c1ccccc1)c1cnccn1)C(C)O)C(C)O,0.3494,47.8932,3.0000,0.1974,1.0000,1.0628,3
CCCCCCC(C(=O)OCCc1cccs1)c1ccccc1,0.4192,113.3824,3.0000,0.1875,1.0000,1.0628,4
CC(C)CNC(=O)Nc1ccccc1-c1ccno1,0.8860,75.1425,3.0000,0.0121,1.0000,1.0628,4
CC(CC(c1ccncn1)C(C)C)OC(=O)C(Nc1ccc2ccccc2n1)c1ccccc1,0.3155,116.8583,3.0000,0.1842,1.0000,1.0628,4
CC(C)CC(C(=O)O)(c1ccccc1)c1ccco1,0.8893,49.5175,3.0000,0.1964,1.0000,1.0628,4
CCCCCCCC(C)(C)C(CNN)C(C(=O)Oc1ccccn1)c1ccccc1,0.2040,63.9938,3.0000,0.1972,1.0000,1.0628,4
CCCCC(C(C)(CCC(=O)N(CCCC)c1cccnc1)CNc1ccc2ccccc2n1)C(C(=O)Oc1ccccn1)(c1ccccc1)c1cccs1,0.0823,182.5843,3.0000,0.1316,1.0000,1.0628,4
CC(C)(C)C(CC(=O)O)C(C(=O)Oc1ccccn1)c1ccccc1,0.5575,48.7998,3.0000,0.1972,1.0000,1.0628,4
CC(C)(CCNN)CC(C(=O)Oc1ccccn1)c1ccccc1,0.4426,60.1538,3.0000,0.1970,1.0000,1.0628,4
CC(CNc1ccc2ccccc2n1)(Cc1cccs1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.2037,138.9276,3.0000,0.1685,1.0000,1.0628,4
CNNC(CC(C)(C)C)(C(=O)Oc1ccccn1)c1ccccc1,0.6306,56.7846,3.0000,0.1967,1.0000,1.0628,4
CC(O)CC(C)(C)C(CC(=O)O)C(C(=O)Oc1ccccn1)c1ccccc1,0.6396,52.6035,3.0000,0.1970,1.0000,1.0628,4
CC(=O)NCC(C)(C)C(OC(C)=O)C(C(=O)Oc1ccccn1)c1ccccc1,0.6873,72.1697,3.0000,0.1912,1.0000,1.0628,4
CC(C)(Cc1ccccn1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.5667,79.7951,3.0000,0.1875,1.0000,1.0628,4
CC(C)(Cc1ccccn1)CC(C(=O)Oc1ccccn1)c1ccccc1,0.5667,79.7951,3.0000,0.1875,1.0000,1.0628,4
