smiles,mpo,syba,sa,rrs,pns,hypervolume,seed
CCC(CC(C)(CCOC(c1ccoc1)c1cnccn1)NN(c1ccccc1)C(CC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1CC1)(N(C)N)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)Nc1ccc2ccccc2n1,0.0092,195.9843,3.0000,0.0950,0.0000,0.6380,3
CCNN(C)C(OC(=O)C(NC(N)=O)NC1CC1)(N(COC(c1ccco1)C(CC)N(NC(CCOCc1cnccn1)(CNc1ccc2ccccc2n1)CC(CC)Nc1ccc2ccccc2n1)c1ccccc1)c1ccc2ccccc2n1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1,0.0081,208.9761,3.0000,0.0877,0.0000,0.6380,3
CCC(CC(CNc1ccc2ccccc2n1)(NN(c1ccccc1)C(CC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)NC1(CC)CC1)(N(C)N)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)C(COCc1cnccn1)C1CCOC1)Nc1ccc2ccccc2n1,0.0081,199.3858,3.0000,0.0929,0.0000,0.6380,3
CCC(CC(CCOCc1cnccn1)(CNc1ccc2ccccc2n1)NN(c1ccccc1)C(CC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(N)=O)N(c1ccccn1)C1(CC)CC1)(N(N)Cc1cccnc1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)Nc1ccc2ccccc2n1,0.0068,230.0802,3.0000,0.0934,0.0000,0.6380,3
CCC(CC(CCOCc1cnccn1)(CNc1ccc2ccccc2n1)NN(c1ccccc1)C(CC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(=O)NCCO)NC1(CC)CC1)(N(N)Cc1cccnc1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)Nc1ccc2ccccc2n1,0.0058,234.2308,3.0000,0.0919,0.1524,0.6380,3
CCC(CC(CCOCc1cnccn1)(CNc1ccc2ccccc2n1)NN(c1ccccc1)C(CC)C(OCN(c1ccc2ccccc2n1)C(OC(=O)C(NC(=O)Nc1cnccn1)NC1(CC)CC1)(N(N)Cc1cccnc1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)c1ccco1)Nc1ccc2ccccc2n1,0.0061,232.2651,3.0000,0.0879,0.5952,0.6380,3
CCCNC(=O)NC(NC1CC1)C(=O)OC(N(C)N)(N(COC(c1ccco1)C(CC)(N1CCNCC1)N(NC(CCOCc1cnccn1)(CNc1ccc2ccccc2n1)CC(CC)Nc1ccc2ccccc2n1)c1ccccc1)c1ccc2ccccc2n1)C(c1ccccc1)(c1ccsc1)C(C1CCC(c2ccco2)O1)C(c1ccccc1)c1ccsc1,0.0058,205.8382,3.0000,0.0947,0.1524,0.6380,3
CCCNC(=O)NC(NC1CC1)C(=O)OC(N(C)N)(N(COC(c1ccco1)C(CC)(N(NC(CCOCc1cnccn1)(CC(CC)Nc1ccc2ccccc2n1)C(Nc1ccc2ccccc2n1)Nc1ccc2ccccc2n1)c1ccccc1)N1CCNCC1NC(C)=O)c1ccc2ccccc2n1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1,0.0056,185.0459,3.0000,0.0960,0.1524,0.6380,3
CCCN(CCO)C(=O)NC(NC1CC1)(C(=O)OC(N(C)N)(N(COC(c1ccco1)C(CC)(N1CCNC(c2ccccc2)C1)N(NC(CCOCc1cnccn1)(CNc1ccc2ccccc2n1)CC(CC)Nc1ccc2ccccc2n1)c1ccccc1)c1ccc2ccccc2n1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1)C1CCCS1,0.0058,216.0862,3.0000,0.0927,0.4857,0.6380,3
CCCCCCNN(C)C(OC(=O)C(NC(N)=O)NC1CC1)(N(COC(c1ccco1)C(CC)(c1ccccc1)N(NC(CCOC(NC)c1cnccn1)(CNc1ccc2ccccc2n1)CC(CC)Nc1ccc2ccccc2n1)c1ccccc1)c1ccc2ccccc2n1)C(c1ccccc1)(c1ccsc1)C(C1CCCO1)C(c1ccccc1)c1ccsc1,0.0076,210.6459,3.0000,0.0978,0.0000,0.6380,3
