partition,model,descriptor_mode,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
novel_202,GIN,native,0,0,0.9188435961477187,0.778151297598725,0.9115994090316438,0.8738680465717982,0.6729127645599794,3871
novel_202,GIN,native,0,1,0.9060376010034714,0.8477450521252934,0.9338681815366294,0.8449197860962567,0.7495410896091244,4018
novel_202,GIN,native,0,2,0.9217049590345501,0.7527109356043543,0.8456580503179371,0.8010130246020261,0.6285704986886907,3787
novel_202,GIN,native,0,3,0.9204062764158918,0.8141450412228999,0.9294895583519845,0.8648335745296671,0.6384853475955622,4298
novel_202,GIN,native,0,4,0.911551674548239,0.7720510763069978,0.9262922293240745,0.9179791976225854,0.6489820921713243,3862
novel_202,GIN,native,1,0,0.9161259640403512,0.8756035610475993,0.9365200307430344,0.8834632034632035,0.8027475685432812,4061
novel_202,GIN,native,1,1,0.920361695856927,0.7523142096094059,0.8527003294417423,0.7568038319181363,0.6891235384109612,3698
novel_202,GIN,native,1,2,0.918739746960606,0.7724169536449466,0.9344772078939653,0.8941584731058415,0.6679242119382964,4136
novel_202,GIN,native,1,3,0.9101527946530938,0.7442195301960051,0.9045969990742517,0.9073223453120778,0.6109658019970228,4241
novel_202,GIN,native,1,4,0.914536391787313,0.8144020927971376,0.9033274259883033,0.8478759034020801,0.6589510971585153,3700
novel_202,GIN,native,2,0,0.9225232834518396,0.7549159079341226,0.8632854506810942,0.8440518906983163,0.6466710396029453,4699
novel_202,GIN,native,2,1,0.9051892073443797,0.9199053290664481,0.9587060362720379,0.9109168681420866,0.8137577213259548,3675
novel_202,GIN,native,2,2,0.9170603755376924,0.8087027492002514,0.9161751972921024,0.8520524017467249,0.7175851395327948,3876
novel_202,GIN,native,2,3,0.9205412345962105,0.7698643286542295,0.8899938505043957,0.8388174377818607,0.6403179498495177,3898
novel_202,GIN,native,2,4,0.9283494007840729,0.7817644157781387,0.9459842622247892,0.9182855380820228,0.6338131972885186,3688
novel_202,GIN,native,3,0,0.9282537636292713,0.791275138678353,0.9115958761455035,0.8302430243024302,0.7139670338596846,3881
novel_202,GIN,native,3,1,0.916449754640495,0.8445308548574246,0.949408300520484,0.886335403726708,0.7315297299518161,4091
novel_202,GIN,native,3,2,0.9213916263396094,0.764416813082849,0.8877361501135523,0.8228945216680295,0.6405211230536132,4094
novel_202,GIN,native,3,3,0.925177062949452,0.7992366360599873,0.9141287523238553,0.8770451968248826,0.7016553074866914,3915
novel_202,GIN,native,3,4,0.9119033799586393,0.8516448790872501,0.9174123674278465,0.8763288447909284,0.7572460577884481,3855
novel_202,GIN,native,4,0,0.9072107647743309,0.7420612504498172,0.9053526254868248,0.8553459119496856,0.5773900981647461,3657
novel_202,GIN,native,4,1,0.9172078414855794,0.7801578241102365,0.9353711803706477,0.9003856041131105,0.6629874421678784,3686
novel_202,GIN,native,4,2,0.919997276003688,0.8128561899350248,0.8763654354438157,0.8360250807524225,0.6945397797926394,3656
novel_202,GIN,native,4,3,0.9110046238820038,0.7817111249848812,0.8729091330726084,0.8325046612802983,0.7062121361692743,4553
novel_202,GIN,native,4,4,0.9102037144116422,0.7898721848850399,0.9306942355566593,0.8900362824448786,0.6429121999869696,4284
