smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
Cc1cc2oc(-c3ccc(O)cc3)cc(=O)c2c(O)c1C,1.1,-7.2,-11.2,9.2,A
COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc(O)c1OC,15.7,-7.3,-9.5,8.4,A
COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(OC)c3o2)cc1O,2.9,-7.1,-9.3,8.2,A
COc1cc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc(OC)c1O,11.6,-7.3,-9.9,8.6,A
CC(C)OC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,-1.8,-7.2,-10.5,8.85,A
CC(C)(C)OC(=O)COc1cc(O)c2c(=O)cc(-c3ccccc3)oc2c1,-2.2,-7.2,-10.4,8.8,A
CC(=O)Nc1nnc(SCc2c(F)cccc2Cl)s1,-7.5,-6.1,-8.2,7.85,B
CC(=O)Nc1nnc(SCc2cc(F)ccc2F)s1,-7.3,-6.3,-8.3,7.800000000000001,B
CC(=O)Nc1nnc(SCc2ccc(F)c(F)c2)s1,-7.0,-6.4,-8.3,7.65,B
CC(=O)Nc1nnc(SCc2ccc(F)cc2F)s1,-7.1,-6.3,-8.3,7.7,B
CC(=O)Nc1nnc(SCc2cccc(F)c2F)s1,-7.4,-6.4,-8.4,7.9,B
CCOc1ccc2nc(C)cc(Nc3ccc(F)cc3F)c2c1,-3.6,-7.0,-9.3,8.15,A
CCOc1ccc2nc(C(=O)OC)cc(Nc3ccc(C)c(C)c3)c2c1,0.7,-7.1,-8.6,7.85,B
CCOc1ccc2nc(C(=O)OC)cc(Nc3ccc(C)c(F)c3)c2c1,-0.4,-7.2,-8.5,7.85,B
CCOc1ccc2nc(C(=O)OC)cc(Nc3ccc(F)c(F)c3)c2c1,-2.4,-7.2,-8.3,7.75,B
CCOc1ccc2nc(C(=O)OC)cc(Nc3ccc(F)c(Cl)c3)c2c1,-0.7,-7.0,-8.7,7.85,B
COC(=O)c1ccc2nc(C)cc(Nc3ccc(O)cc3)c2c1,-4.3,-7.0,-9.2,8.1,A
COC(=O)c1ccc2nc(C)cc(Nc3cccc(O)c3)c2c1,-4.9,-7.1,-9.9,8.5,A
COC(=O)c1ccc2nc(C)cc(Nc3cccc(Cl)c3)c2c1,-3.7,-7.1,-10.0,8.55,A
CCc1ccc2nc(C(=O)OC)cc(Nc3ccc(C)c(C)c3)c2c1,0.2,-7.1,-8.9,8.0,A
CCOC(=O)c1ccc2nccc(Nc3ccc(NC(C)=O)cc3)c2c1,0.1,-7.0,-9.7,8.35,A
CCc1ccc2nc(C(=O)OC)cc(Nc3ccc(C)c(F)c3)c2c1,-1.3,-7.0,-8.9,7.95,B
CCOC(=O)c1ccc2nccc(Nc3ccc(S(C)(=O)=O)cc3)c2c1,-0.4,-7.0,-9.4,8.2,A
CCOC(=O)c1ccc2nccc(Nc3ccc(C)c(O)c3)c2c1,-4.8,-7.0,-9.7,8.35,A
CCOC(=O)c1ccc2nccc(Nc3ccc(C)c(CO)c3)c2c1,-1.4,-7.0,-9.9,8.45,A
CCOC(=O)c1ccc2nccc(Nc3ccc(CO)c(C)c3)c2c1,-3.1,-7.0,-10.2,8.6,A
CCOC(=O)c1ccc2nccc(Nc3ccc(O)c(F)c3)c2c1,-4.5,-7.1,-9.6,8.35,A
CC(C)C(O)CCNCc1c[nH]c2ccccc12,-7.2,-5.7,-8.3,7.75,B
CC(C)[C@@H](O)C(=O)NCCCc1c[nH]c2ccccc12,-7.0,-5.2,-9.0,8.0,A
CC(C)[C@H](O)C(=O)NCCCc1c[nH]c2ccccc12,-7.1,-5.6,-9.1,8.1,A
CC(C)[C@@H](O)COC(=O)CCc1c[nH]c2ccccc12,-7.1,-5.8,-8.8,7.95,B
CC(C)[C@H](O)COC(=O)CCc1c[nH]c2ccccc12,-7.2,-5.6,-8.7,7.949999999999999,B
CC(C)C(O)COC(=O)CCc1c[nH]c2ccccc12,-7.1,-5.6,-8.8,7.95,B
C[C@@H](OC(=O)CCCc1c[nH]c2ccccc12)C(F)F,-7.2,-5.3,-8.7,7.949999999999999,B
C[C@H](OC(=O)CCCc1c[nH]c2ccccc12)C(N)=O,-7.7,-5.7,-8.7,8.2,A
C[C@@H](OC(=O)CCCc1c[nH]c2ccccc12)C(N)=O,-7.6,-6.1,-8.9,8.25,A
COc1cc(NC[C@H](C)O)c2ncccc2c1,-7.9,-6.0,-7.7,7.800000000000001,B
COc1ccc2nccc(NC(C)CCCN)c2c1,-7.4,-5.7,-8.3,7.8500000000000005,B
COc1ccc2cccc(NC(C)CCCN)c2n1,-7.8,-5.3,-8.4,8.1,A
C[C@@H](CCO)Nc1cc(F)cc2cccnc12,-7.7,-5.2,-7.8,7.75,B
C[C@H](CCO)Nc1cc(F)cc2cccnc12,-7.7,-5.6,-8.0,7.85,B
COc1cc(N[C@H](C)CCCC(F)(F)F)cc2cccnc12,-7.2,-5.8,-9.1,8.15,A
COc1ccc2nccc(NC(C)CCN)c2c1,-7.5,-5.7,-8.0,7.75,B
COc1ccc2cccnc2c1N[C@@H](C)CCO,-7.1,-5.6,-7.3,7.199999999999999,B
COc1ccc2cccnc2c1N[C@H](C)CCO,-7.3,-5.5,-7.4,7.35,B
Cc1cc(N[C@@H](C)CCO)cc2cccnc12,-7.1,-5.9,-8.6,7.85,B
Cc1cc(N[C@H](C)CCO)c2cccnc2c1C,-7.2,-5.5,-7.6,7.4,B
COc1cc(NC[C@H](C)O)cc2cccnc12,-7.7,-5.9,-8.3,8.0,A
COC[C@@H](C)Nc1ccc(C)c2ncccc12,-7.1,-5.3,-8.4,7.75,B
Cc1ccc(N[C@@H](C)CCO)c2ncccc12,-7.1,-5.2,-8.9,8.0,A
