smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
Cc1ccc(N[C@H](C)CCO)c2ncccc12,-7.8,-5.4,-9.0,8.4,A
Cc1cnc2ccccc2c1NC(C)CCCN,-7.6,-5.7,-8.1,7.85,B
Cc1cc(N[C@H](C)CCO)c2cccc(F)c2n1,-7.6,-5.7,-8.0,7.8,B
Cc1cc(N[C@@H](C)CCO)c2cccc(F)c2n1,-7.2,-5.6,-8.3,7.75,B
COc1cc(N[C@H](C)CCO)nc2ccccc12,-7.1,-6.0,-8.3,7.7,B
Cc1cc(N[C@@H](C)CCCO)c2cc(F)ccc2n1,-7.2,-6.1,-8.0,7.6,B
Cc1cc(N[C@H](C)CCCO)c2cc(F)ccc2n1,-7.1,-6.0,-8.1,7.6,B
Cc1cnc2ccccc2c1NC(C)CCCO,-7.6,-5.7,-7.9,7.75,B
COC[C@@H](C)Nc1ccnc2cc(Cl)ccc12,-7.2,-5.1,-7.5,7.35,B
Cc1cc(N[C@H](C)CC(N)=O)c2cccc(F)c2n1,-7.5,-6.1,-9.2,8.35,A
Cc1cc(N[C@@H](C)CC(N)=O)c2cccc(F)c2n1,-7.5,-6.0,-8.1,7.8,B
Cc1cc(N[C@@H](C)C[C@@H](C)O)c2cccc(F)c2n1,-7.2,-5.8,-8.6,7.9,B
Cc1cc(N[C@H](C)CCO)c2cc(F)ccc2n1,-7.5,-5.8,-8.1,7.8,B
Cc1cc(N[C@@H](C)CCO)c2cc(F)ccc2n1,-7.5,-5.7,-8.0,7.75,B
Cc1cc(N[C@H](C)CCO)nc2ccccc12,-7.8,-6.0,-8.7,8.25,A
Cc1cc(N[C@@H](C)CCO)nc2ccccc12,-7.4,-6.1,-8.9,8.15,A
Cc1cc(N[C@H](C)CC(N)=O)c2cc(F)ccc2n1,-8.0,-6.2,-8.3,8.15,A
Cc1cc(N[C@@H](C)CC(N)=O)c2cc(F)ccc2n1,-8.0,-6.1,-8.1,8.05,A
COc1cc(O[C@@H](C)CON)nc2ccccc12,-7.1,-5.9,-8.3,7.7,B
COc1cc(O[C@H](C)CON)nc2ccccc12,-7.0,-5.5,-7.9,7.45,B
Cc1cc(N[C@@H](C)C[C@H](C)O)c2cc(F)ccc2n1,-7.2,-6.3,-8.6,7.9,B
Cc1cc(N[C@@H](C)C[C@@H](C)O)c2cc(F)ccc2n1,-7.7,-6.4,-7.9,7.800000000000001,B
Cc1cc(N[C@H](C)C[C@H](C)O)c2cc(F)ccc2n1,-7.0,-6.0,-8.2,7.6,B
Cc1cc(N[C@@H](C)CC(F)(F)F)c2cc(F)ccc2n1,-7.0,-6.4,-8.1,7.55,B
Cc1cc(N[C@H](C)CC(F)(F)F)c2cc(F)ccc2n1,-7.2,-6.0,-8.4,7.800000000000001,B
COc1cc(NC(C)CCCN)c2ccccc2n1,-7.0,-5.8,-8.7,7.85,B
COc1cc2c(NC(C)CCCN)ccnc2cc1F,-7.3,-5.9,-8.2,7.75,B
Cc1cc(NC(=O)CCCN)c2ncccc2c1,-7.7,-5.5,-8.1,7.9,B
COc1cc2nccc(NC(C)CCN)c2cc1OC,-7.5,-5.7,-7.7,7.6,B
COc1cc(NC(C)CCN)c2ccccc2n1,-7.3,-5.6,-8.4,7.85,B
COc1cc2c(NC(C)CCN)ccnc2cc1F,-7.2,-5.8,-8.2,7.699999999999999,B
Cc1ccc2c(NC(C)CCN)ccnc2c1Cl,-7.7,-5.6,-7.8,7.75,B
COc1cc(C=CCN)c2cccnc2c1,-7.8,-5.5,-8.1,7.949999999999999,B
COc1cc2nccc(N[C@H](C)CN)c2cc1OC,-8.2,-5.9,-7.5,7.85,B
COc1cc2nccc(N[C@@H](C)CN)c2cc1OC,-7.2,-5.7,-7.4,7.300000000000001,B
Cc1cccc2c(N[C@H](C)CN)ccnc12,-7.3,-5.4,-8.5,7.9,B
Cc1cccc2c(N[C@@H](C)CN)ccnc12,-7.3,-5.3,-8.2,7.75,B
Cc1cc(NC(C)CCN)nc2ccccc12,-7.1,-5.8,-8.9,8.0,A
Cc1cc(CNCC(F)(F)CN)cc2cccnc12,-7.1,-6.2,-8.8,7.95,B
COc1cc2nccc(NCCCN)c2cc1OC,-7.9,-5.6,-7.1,7.5,B
Cc1ccc2c(N[C@@H](C)CN)ccnc2c1Cl,-8.4,-5.5,-7.6,8.0,A
COc1cc(NCCCN)c2ccccc2n1,-8.2,-5.4,-8.2,8.2,A
Cc1ccc(OCCCO)c(C)c1,-7.1,-4.8,-7.1,7.1,B
Cc1ccc(OCCC(=O)NCCO)c(C)c1,-7.0,-5.1,-7.7,7.35,B
Cc1ccc(C)c(OCCCCCCO)c1,-7.5,-4.9,-7.5,7.5,B
Cc1ccc(OCCNC(=O)CO)c(C)c1,-7.4,-5.2,-7.6,7.5,B
Cc1ccc(OCCCC(N)=O)c(C)c1,-7.5,-5.0,-7.5,7.5,B
Cc1ccc(OCCCCC(=O)O)c(C)c1,-7.0,-5.1,-7.8,7.4,B
Cc1ccc(OCCCCCC(=O)O)c(F)c1,-7.2,-4.9,-7.7,7.45,B
CC(=O)NCCCCCOc1ccc(F)cc1C,-7.0,-4.9,-8.0,7.5,B
