smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
C[C@H](NCc1cccc(O)c1)c1ccc(Cl)cc1,-7.5,-5.7,-9.5,8.5,A
C[C@@H](NCc1cccc(O)c1)c1ccc(Cl)cc1,-7.8,-6.1,-8.9,8.35,A
C[C@@H](NCc1cc(O)cc(Cl)c1)c1ccccc1,-7.3,-6.4,-9.3,8.3,A
C[C@@H](NCc1ccc(Cl)cc1)c1cccc(O)c1,-7.7,-6.0,-9.7,8.7,A
CC(NCc1cccc(O)c1)c1cccc(Cl)c1,-7.3,-6.1,-9.1,8.2,A
C[C@@H](NCc1cccc(O)c1)c1cccc(Cl)c1,-7.3,-6.1,-9.1,8.2,A
CC(NCc1cccc(Cl)c1)c1cccc(O)c1,-7.2,-6.0,-9.7,8.45,A
CC(NCc1ccc(O)c(F)c1)c1cccc(Cl)c1Cl,-7.0,-6.3,-9.3,8.15,A
CC(NCc1ccccc1)c1cc(O)cc(F)c1,-7.7,-6.1,-9.5,8.6,A
CC(NCc1cc(O)cc(F)c1)c1cccc(Cl)c1,-7.5,-6.2,-9.4,8.45,A
C[C@@H](NCc1cc(O)cc(F)c1)c1cccc(Cl)c1,-7.4,-6.2,-9.4,8.4,A
CC(NCc1cc(O)ccc1Cl)c1ccccc1,-7.0,-6.4,-9.0,8.0,A
C[C@H](NCc1cc(O)cc(F)c1)c1ccccc1,-7.1,-6.6,-9.6,8.35,A
C[C@@H](NCc1cc(O)cc(F)c1)c1ccccc1,-8.0,-6.5,-9.2,8.6,A
CC(NCc1cccc(O)c1Cl)c1ccc(Cl)cc1,-7.0,-5.8,-9.2,8.1,A
C[C@@H](NCc1cccc(O)c1Cl)c1ccc(Cl)cc1,-7.0,-5.7,-9.3,8.15,A
CC(NCc1cc(O)cc(F)c1)c1ccccc1,-8.0,-6.4,-9.2,8.6,A
CC(NCc1ccc(Cl)c(Cl)c1)c1cccc(O)c1,-7.3,-6.0,-10.0,8.65,A
C[C@@H](NCc1ccc(Cl)c(Cl)c1)c1cccc(O)c1,-7.3,-6.1,-10.0,8.65,A
OCC[C@@H](NCc1cc(O)cc(Cl)c1)c1ccccc1,-7.4,-6.3,-9.1,8.25,A
OCCC[C@@H](NCc1cc(O)cc(Cl)c1)c1ccccc1,-7.0,-6.3,-8.9,7.95,B
OCC[C@@H](NCc1ccc(O)c(F)c1)c1ccc(Cl)cc1,-7.2,-6.1,-9.1,8.15,A
OCC[C@@H](NCc1cc(O)cc(Cl)c1)c1ccccc1F,-7.4,-6.4,-9.1,8.25,A
OCC[C@@H](NCc1cccc(O)c1)c1ccccc1F,-7.1,-6.3,-9.0,8.05,A
OCC[C@H](NCc1cccc(O)c1)c1ccccc1F,-7.0,-6.4,-8.8,7.9,B
Cc1ccc(C)c(Nc2nc(NCCO)c3ccccc3n2)c1,-1.5,-7.2,-9.0,8.1,A
Cc1cccc(Nc2nc(NCCO)c3ccccc3n2)c1C,-1.3,-7.0,-10.5,8.75,A
OCCCNc1nc(Nc2ccc(F)cc2)nc2ccccc12,-2.7,-7.1,-9.2,8.149999999999999,A
Cc1c(Cl)cccc1Nc1nc(NCCO)c2ccccc2n1,0.0,-7.0,-10.3,8.65,A
OCCCNc1nc(Nc2cccc(F)c2)nc2ccccc12,-2.3,-7.1,-9.2,8.149999999999999,A
OCCNc1nc(Nc2ccc(F)cc2F)nc2ccccc12,-2.1,-7.3,-10.1,8.7,A
OCCCNc1nc(Nc2ccc(F)cc2F)nc2ccccc12,-2.5,-7.3,-9.3,8.3,A
COc1ccc2c(=O)cc(C(F)(F)F)oc2c1,-7.4,-5.8,-8.2,7.8,B
COc1ccc2c(=O)cc(C(F)(F)C(F)F)oc2c1,-7.2,-6.4,-8.6,7.9,B
COc1ccc2c(=O)cc(C(F)F)oc2c1,-8.0,-5.3,-7.9,7.95,B
COc1ccc2oc(C(F)(F)F)cc(=O)c2c1,-7.7,-5.7,-8.0,7.85,B
COc1ccc2c(=O)ccoc2c1,-8.2,-4.7,-7.0,7.6,B
COC(=O)c1cc(=O)c2ccc(OC)cc2o1,-7.3,-5.5,-7.8,7.55,B
COc1ccc2c(C)c(C)c(=O)oc2c1,-9.0,-5.2,-8.0,8.5,A
COc1ccc2c(C)c(Cl)c(=O)oc2c1,-8.8,-5.2,-7.9,8.350000000000001,A
COc1ccc2c(C(F)(F)F)cc(=O)oc2c1,-9.3,-5.5,-8.7,9.0,A
CCc1cc(=O)oc2cc(OC)ccc12,-8.8,-5.0,-7.9,8.350000000000001,A
COc1ccc2c(C(C)C)cc(=O)oc2c1,-8.9,-5.3,-8.2,8.55,A
CCOc1cc(=O)oc2cc(OC)ccc12,-8.5,-5.0,-7.5,8.0,A
COc1ccc2c(=O)c(Cl)coc2c1,-8.4,-4.9,-7.0,7.7,B
COc1ccc2c(CSC)cc(=O)oc2c1,-8.0,-5.1,-7.4,7.7,B
COc1ccc2oc(C(F)F)cc(=O)c2c1,-7.9,-5.4,-7.7,7.800000000000001,B
COc1cc(OC)c2ccc(=O)oc2c1,-8.6,-5.0,-7.6,8.1,A
COc1ccc2c(C)cc(=S)oc2c1,-7.5,-4.7,-7.4,7.45,B
COc1ccc2c(O[C@H](C)C(F)(F)F)cc(=O)oc2c1,-8.5,-5.9,-8.7,8.6,A
