smile,PfDHFR,PfATP4,PfCRT,rrs_score,rrs_class
COc1ccc2c(O[C@@H](C)C(F)(F)F)cc(=O)oc2c1,-9.1,-5.9,-8.6,8.85,A
COc1ccc2c(O[C@@H](C)C(C)C)cc(=O)oc2c1,-7.1,-5.5,-8.4,7.75,B
COc1ccc2c(O[C@H](C)C(C)C)cc(=O)oc2c1,-7.3,-5.9,-8.5,7.9,B
COc1ccc2oc(C(N)=O)cc(=O)c2c1,-8.5,-5.7,-7.9,8.2,A
COc1ccc2c(COC(C)C)cc(=O)oc2c1,-7.5,-5.5,-8.4,7.95,B
COc1ccc2c(=O)c(N)coc2c1,-8.8,-5.1,-7.2,8.0,A
COc1ccc2cc(N)c(=O)oc2c1,-8.9,-5.2,-8.1,8.5,A
COc1ccc2cc(Br)c(=O)oc2c1,-8.1,-4.9,-7.1,7.6,B
COc1ccc2cc(C(C)=O)c(=O)oc2c1,-7.7,-5.3,-7.5,7.6,B
O=c1cc(C(F)(F)F)oc2ccc(Cl)cc12,-7.5,-5.7,-8.1,7.8,B
Cc1ccc2oc(C(F)(F)F)cc(=O)c2c1,-7.6,-5.7,-8.3,7.95,B
CCOc1cc(=O)oc2ccc(OC)cc12,-7.4,-5.2,-7.6,7.5,B
COc1ccc2cc(C(N)=O)c(=O)oc2c1,-8.6,-5.5,-7.8,8.2,A
CCOc1ccc2c(C(F)(F)F)cc(=O)oc2c1,-8.7,-5.6,-8.8,8.75,A
CC(C)Oc1ccc2c(C(F)(F)F)cc(=O)oc2c1,-7.3,-6.0,-9.3,8.3,A
Nc1ccc2oc(C(F)(F)F)cc(=O)c2c1,-7.9,-5.6,-8.3,8.100000000000001,A
COc1ccc2c(CO)cc(=O)oc2c1,-8.7,-5.4,-8.3,8.5,A
COc1ccc2c(CN(C)CCO)cc(=O)oc2c1,-7.5,-5.6,-8.0,7.75,B
Cc1ccc2c(=O)cc(C(F)F)oc2c1,-7.7,-5.2,-8.3,8.0,A
COc1c(O)cc2oc(=O)ccc2c1OC,-7.7,-5.1,-7.9,7.800000000000001,B
COc1cc(OC)c2c(=O)cc(C)oc2c1,-8.4,-5.2,-7.5,7.95,B
Cc1cc(=O)oc2cc(OC/C=C/Cl)ccc12,-7.1,-5.4,-8.5,7.8,B
COc1ccc2c(C)c(Br)c(=O)oc2c1,-8.4,-5.2,-7.7,8.05,A
COc1ccc2oc(C)cc(=O)c2c1,-7.6,-5.0,-7.4,7.5,B
COc1ccc2c(COC(C)=O)cc(=O)oc2c1,-8.7,-5.7,-8.4,8.55,A
COc1ccc2c(CO[C@H](C)C(F)(F)F)cc(=O)oc2c1,-7.3,-5.9,-9.0,8.15,A
COc1ccc2c(CO[C@@H](C)C(F)(F)F)cc(=O)oc2c1,-7.0,-6.3,-8.9,7.95,B
CC(=O)[C@H](C)Oc1ccc2c(=O)cc(C)oc2c1,-7.4,-5.9,-8.5,7.95,B
COc1ccc2c(COC(=O)CCC(C)C)cc(=O)oc2c1,-7.0,-5.7,-8.8,7.9,B
CC(CCCNCc1ccc(-c2c(F)cccc2F)o1)C(=O)O,-7.2,-6.4,-8.9,8.05,A
CCCNCc1ccc(-c2ccc(F)cc2)o1,-7.0,-5.6,-7.8,7.4,B
COc1cc(O)c2c(=O)cc(-c3ccc(O)c(OC)c3)oc2c1,0.1,-7.3,-10.0,8.65,A
COc1cc(O)c2c(=O)cc(-c3ccc(OC)c(OC)c3)oc2c1,4.0,-7.0,-9.8,8.4,A
