cohort_id,set_c_id,rank,smiles,MD_RRS_mean,MD_RRS_class,MD_RRS_targets_used,MD_RRS_rule,trajectory_count,candidate_sha256,qc_file_sha256,min_wt_bound_fraction
P2_SET_C_MD_RRS_PILOT_PP01_PP02,PP-01,1,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,100.0,A,PfCRT;PfDHFR,setc_p2_minheavy_5A_ge10percent_v1,8,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,14633707224f1890a74aad57d10c912c43f17cf52ed39880b416772292cddc6f,0.1
P2_SET_C_MD_RRS_PILOT_PP01_PP02,PP-02,2,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,100.0,A,PfCRT;PfDHFR,setc_p2_minheavy_5A_ge10percent_v1,8,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,14633707224f1890a74aad57d10c912c43f17cf52ed39880b416772292cddc6f,0.1
