n_frames,bound_frac_2.0A,bound_frac_2.5A,bound_frac_3.0A,bound_frac_3.5A,bound_frac_4.0A,bound_frac_5.0A,mean_min_dist_A,p5_min_dist_A,median_min_dist_A,set_c_id,target,mutation,trajectory_sha256,duration_ns
1001,0.0,0.16383616383616384,0.8021978021978022,0.996003996003996,1.0,1.0,2.7702097013142493,2.3478080956130265,2.755085090118535,PP-15,PfDHFR,WT,6491573b79a90cf025a1d7a1b19711c04568df0dd9fe8fe5173390d1be2330d2,10.0
1001,0.0,0.03796203796203796,0.3626373626373626,0.7472527472527473,0.9560439560439561,1.0,3.2020293297962983,2.5364031156238194,3.1830945853228534,PP-15,PfCRT,WT,e1dad64570641c76c942ce17cf083d05f6c178ee0b45b552be49dedb2513536c,10.0
