Ligand,Affinity_kcal_mol,Category
ligand_0,-7.766,GOOD
ligand_100,-7.083,GOOD
ligand_101,-9.392,EXCELLENT
ligand_102,-8.953,GOOD
ligand_103,-8.379,GOOD
ligand_104,-4.826,OTHERS
ligand_105,-8.52,GOOD
ligand_106,-6.613,OTHERS
ligand_107,-9.552,EXCELLENT
ligand_108,-6.403,OTHERS
ligand_109,-7.818,GOOD
ligand_10,-9.798,EXCELLENT
ligand_110,-8.629,GOOD
ligand_111,-8.662,GOOD
ligand_112,-8.439,GOOD
ligand_113,-7.009,GOOD
ligand_114,-8.479,GOOD
ligand_115,-11.3,EXCELLENT
ligand_116,-8.207,GOOD
ligand_117,-8.51,GOOD
ligand_118,-7.285,GOOD
ligand_119,-8.188,GOOD
ligand_11,-7.179,GOOD
ligand_120,-7.802,GOOD
ligand_121,-7.536,GOOD
ligand_122,-8.276,GOOD
ligand_123,-7.35,GOOD
ligand_124,-7.153,GOOD
ligand_125,-9.09,EXCELLENT
ligand_126,-7.018,GOOD
ligand_127,-7.606,GOOD
ligand_128,-9.309,EXCELLENT
ligand_129,-4.622,OTHERS
ligand_12,-8.486,GOOD
ligand_130,-8.267,GOOD
ligand_131,-8.965,GOOD
ligand_132,-7.233,GOOD
ligand_133,-6.42,OTHERS
ligand_134,-9.933,EXCELLENT
ligand_135,-6.615,OTHERS
ligand_136,-7.981,GOOD
ligand_137,-7.877,GOOD
ligand_138,-7.942,GOOD
ligand_139,-8.586,GOOD
ligand_140,-8.013,GOOD
ligand_141,-7.543,GOOD
ligand_142,-3.099,OTHERS
ligand_143,-7.393,GOOD
ligand_144,-8.052,GOOD
ligand_145,-2.843,OTHERS
ligand_146,-10.11,EXCELLENT
ligand_147,-7.042,GOOD
ligand_148,-7.358,GOOD
ligand_149,-9.483,EXCELLENT
ligand_14,-7.949,GOOD
ligand_150,-9.282,EXCELLENT
ligand_151,-3.973,OTHERS
ligand_152,-5.907,OTHERS
ligand_153,-7.213,GOOD
ligand_154,-5.395,OTHERS
ligand_155,-8.321,GOOD
ligand_156,-7.661,GOOD
ligand_157,-8.122,GOOD
