partition,model,descriptor_mode,seed,fold,best_val_auc,test_auc,test_ap,test_f1,test_bacc,n_test
novel_101,GIN-TNE,native,0,0,0.8981651939126167,0.8225515503698555,0.9012072248135048,0.8415826221877425,0.7311538703094779,4626
novel_101,GIN-TNE,native,0,1,0.9110048320016844,0.7249383664052701,0.9019170482494581,0.871513102282333,0.6452825787647409,4345
novel_101,GIN-TNE,native,0,2,0.8831949696248816,0.8360801047420632,0.9152509759651201,0.8974771873322598,0.7631453200558115,3638
novel_101,GIN-TNE,native,0,3,0.8997607748720304,0.7498660038861678,0.8925181542060845,0.8133357757831104,0.6281088875049793,3662
novel_101,GIN-TNE,native,0,4,0.9027677194910257,0.8171016888536352,0.928669824206198,0.8781601123595506,0.6781503316138541,3565
novel_101,GIN-TNE,native,1,0,0.8815915770588167,0.6919348643863101,0.9384030335285412,0.9370668929430066,0.5454140512449338,3805
novel_101,GIN-TNE,native,1,1,0.9018654092407161,0.8112283026909627,0.9115341834228736,0.8736404350607806,0.6794150216705492,3965
novel_101,GIN-TNE,native,1,2,0.8994024563312953,0.7360570599638696,0.9042748786966202,0.8666760921815354,0.5775799399410503,4215
novel_101,GIN-TNE,native,1,3,0.8920785473711381,0.8309727987051974,0.9209330805191194,0.8473142016188374,0.7383112094395281,3842
novel_101,GIN-TNE,native,1,4,0.8943526355860093,0.8313203471781865,0.8828411654112217,0.8185798591281173,0.7292773065948003,4009
novel_101,GIN-TNE,native,2,0,0.8945447340018303,0.7758653785490017,0.9089901637605321,0.8325946130242073,0.6581672512594585,3907
novel_101,GIN-TNE,native,2,1,0.8996068566186762,0.8246375552701333,0.9254906198379715,0.8764078690494068,0.707832286331688,4298
novel_101,GIN-TNE,native,2,2,0.9053138668383433,0.8289049466371095,0.8989179172084265,0.8345162495330594,0.7409334506478964,3962
novel_101,GIN-TNE,native,2,3,0.9041832761419442,0.78146075729376,0.9155347644976416,0.8916111024965111,0.6461862335726432,3862
novel_101,GIN-TNE,native,2,4,0.9009972876373522,0.7443389944822294,0.90476209208628,0.897003745318352,0.6508962721067836,3807
novel_101,GIN-TNE,native,3,0,0.9105289249707952,0.7749989115330331,0.9213947197706711,0.8711065221132335,0.7020006476378453,3687
novel_101,GIN-TNE,native,3,1,0.8900974260126142,0.8422976821014148,0.9563031810235056,0.9054319866848237,0.711464254016329,3988
novel_101,GIN-TNE,native,3,2,0.9000467495341467,0.8077172000855091,0.8911326451937661,0.8103391504774449,0.7346388077706978,4616
novel_101,GIN-TNE,native,3,3,0.8892245553821394,0.8241031615755677,0.9092515743582452,0.8836461126005362,0.7383999830191883,3654
novel_101,GIN-TNE,native,3,4,0.8989811017323239,0.8039750672296517,0.896716647667658,0.8323003364618381,0.6827450992321826,3891
novel_101,GIN-TNE,native,4,0,0.8963467717925816,0.8099648745281567,0.9227026096839097,0.865701783911141,0.70369612269517,3874
novel_101,GIN-TNE,native,4,1,0.8998924381771419,0.7491364154590051,0.8856845627372375,0.8809788654060067,0.6573316893619336,3864
novel_101,GIN-TNE,native,4,2,0.8970138367029126,0.7977451142176855,0.8793962639347741,0.8103202846975089,0.6455235271930031,3862
novel_101,GIN-TNE,native,4,3,0.8992180820148531,0.8524276217693836,0.9415001370288387,0.880852437843074,0.6823586260216479,3886
novel_101,GIN-TNE,native,4,4,0.8880646684763642,0.8692619392469836,0.9572618465753938,0.9267955801104972,0.7477952375755037,4350
