| Run on Tue Jul 14 13:39:52 2026
|
|gmx_MMPBSA Version=v1.5.0.3 based on MMPBSA.py v.16.0
|Complex Structure file:                                       md_production.tpr
|Complex (GROMACS) topology file:                                      topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-350"
|Ligand mask:                    ":351"
|Ligand residue name is:         "UNL"
|
|Calculations performed using 101 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K)
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND               44105268.23     139950.76  139950.76     13925.62   13925.62
ANGLE                  5301.43        231.68     231.68        23.05      23.05
DIHED                  3545.12         36.32      36.32         3.61       3.61
UB                  7254162.36      51350.49   51350.49      5109.56    5109.56
IMP                     351.67         36.18      36.18         3.60       3.60
CMAP                   -107.27         12.32      12.32         1.23       1.23
VDWAALS               -2475.12         25.09      25.09         2.50       2.50
EEL                  -20247.73         98.81      98.81         9.83       9.83
1-4 VDW                1361.42         18.06      18.06         1.80       1.80
1-4 EEL               15445.54         72.23      72.23         7.19       7.19
EGB                   -4049.75         86.98      86.98         8.65       8.65
ESURF                   171.95          2.21       2.21         0.22       0.22

GGAS               51362605.65     149074.35  182140.20     14833.45   18123.63
GSOLV                 -3877.81         87.01      86.32         8.66       8.59

TOTAL              51358727.85     149074.38  182153.84     14833.45   18124.98

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND               44105261.32     139950.91  139950.91     13925.64   13925.64
ANGLE                  5282.13        231.48     231.48        23.03      23.03
DIHED                  3534.82         36.69      36.69         3.65       3.65
UB                  7254162.36      51350.49   51350.49      5109.56    5109.56
IMP                     351.67         36.18      36.18         3.60       3.60
CMAP                   -107.27         12.32      12.32         1.23       1.23
VDWAALS               -2451.29         25.48      25.48         2.53       2.53
EEL                  -20244.42         99.58      99.58         9.91       9.91
1-4 VDW                1354.02         17.99      17.99         1.79       1.79
1-4 EEL               15448.64         72.23      72.23         7.19       7.19
EGB                   -4051.21         87.33      87.33         8.69       8.69
ESURF                   172.84          2.22       2.22         0.22       0.22

GGAS               51362592.00     149074.49  182142.82     14833.47   18123.89
GSOLV                 -3878.36         87.36      86.78         8.69       8.64

TOTAL              51358713.63     149074.51  182155.79     14833.47   18125.18

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                      6.90          2.31       2.31         0.23       0.23
ANGLE                    19.30          2.41       2.41         0.24       0.24
DIHED                    10.30          2.19       2.19         0.22       0.22
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                  -1.26          0.63       0.63         0.06       0.06
EEL                      -0.53          1.97       1.97         0.20       0.20
1-4 VDW                   7.40          1.08       1.08         0.11       0.11
1-4 EEL                  -3.11          2.07       2.07         0.21       0.21
EGB                      -9.52          0.92       0.92         0.09       0.09
ESURF                     2.74          0.05       0.05         0.00       0.00

GGAS                     39.00          5.07       4.00         0.50       0.40
GSOLV                    -6.79          0.92       0.92         0.09       0.09

TOTAL                    32.21          5.15       3.76         0.51       0.37

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                     0.00          2.16       0.00         0.21       0.00
ΔANGLE                   -0.00          2.21       0.00         0.22       0.00
ΔDIHED                   -0.00          1.82       0.00         0.18       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -22.57          0.24       4.10         0.02       0.41
ΔEEL                     -2.78          1.20       3.94         0.12       0.39
Δ1-4 VDW                 -0.00          1.01       0.00         0.10       0.00
Δ1-4 EEL                  0.00          2.07       0.00         0.21       0.00
ΔEGB                     10.98          0.58       3.88         0.06       0.39
ΔESURF                   -3.63          0.05       0.63         0.00       0.06

ΔGGAS                   -25.35          1.22       5.99         0.12       0.60
ΔGSOLV                    7.35          0.58       3.74         0.06       0.37

ΔTOTAL                  -18.00          1.35       3.86         0.13       0.38
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
