smiles,PfDHFR,PfCRT,PfATP4,rrs_score,rrs_class,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,tfp_valid
COc1cccc2c(=O)c3ccc(O)cc3oc12,-7.7,-6.1,-8.5,8.1,A,1.4966702461242676,3.0,1.3944557905197144,0.6933372616767883,2.289979696273804,0.3362839818000793,2.983316898345948,0.3479966521263122,1.354581594467163,1.390075445175171,1.392265558242798,True
COc1cc2[nH]c3ccccc3c(=O)c2c(O)c1OC,-3.9,-6.5,-7.5,,Unknown,1.6995835,4.0,1.3876419,0.7880152,2.2623918,0.3758615,3.050407,0.27427143,1.1537735,1.3708892,1.3862063,True
COc1ccc(O)c2c1C(=O)c1coc(C)c1C2=O,-5.6,-5.9,-7.3,,Unknown,1.6271951,5.0,1.4107001,0.85175985,2.288778,0.47818828,3.1405377,0.30901667,0.6080444,1.0070653,1.3874238,True
CC=Cc1cc(O)c(O)c(OC)c1,-7.6,-5.3,-7.5,7.55,B,1.3197007179260254,1.0,1.3853312730789185,0.5343160033226013,2.263195276260376,0.1881618052721023,2.797511100769043,0.3094717264175415,1.3853312730789185,1.3853312730789185,1.3853312730789185,True
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,-7.7,-5.7,-8.7,8.2,A,1.5350326299667358,4.0,1.4143154621124268,0.7842767834663391,2.3415448665618896,0.5107113122940063,3.125821590423584,0.3153179287910461,0.9092805981636048,1.1950348615646362,1.3863357305526731,True
CC(=O)OCc1occ2c1C(=O)c1c(O)cccc1C2=O,-6.4,-6.4,-8.8,,Unknown,1.587948,4.0,1.4140272,0.8134809,2.3090804,0.44789314,3.1225612,0.31127313,0.90666765,1.1931214,1.3862989,True
CC1(C)CCC[C@]2(C)c3cc(O)c(O)cc3CCC12,-5.7,-6.9,-9.7,,Unknown,2.0668838,6.0,1.383801,0.575756,2.2088568,0.14363909,2.7846127,0.33714965,0.74897075,0.7768862,1.035829,True
C=C[C@](C)(O)CC/C=C(\C)CCC=C(C)C,-6.6,-5.1,-7.7,,Unknown,1.9247729,6.0,0.8621738,0.643432,2.4279337,0.2677465,3.0713656,0.26545554,0.5891115,0.6511375,0.75871485,True
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,7.2,-7.1,-9.3,8.2,A,1.8875099420547483,4.0,1.4020057916641235,0.7593305706977844,2.251169204711914,0.2682264745235443,3.0104997158050537,0.2849520444869995,1.1070654392242432,1.34887433052063,1.396970272064209,True
COc1c2ccc(OC[C@@H](O)C(C)(C)O)cc2nc2occc12,-3.0,-6.8,-9.3,,Unknown,1.9751738,5.0,1.3895212,0.6789469,2.344793,0.3361197,3.02374,0.2355042,0.6408646,1.022264,1.3708392,True
Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,-4.1,-6.9,-10.3,,Unknown,1.479499,3.0,1.3925503,0.5592715,2.224961,0.24435887,2.7842326,0.40954772,1.2002926,1.3822883,1.3874193,True
CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O,9.7,-6.4,-11.3,,Unknown,1.9734613,5.0,1.4046825,0.5593183,2.2506733,0.26163653,2.8099916,0.3290397,0.79557323,1.0177546,1.3923422,True
COc1cc2ccc(=O)oc2cc1OCC=C(C)C,-6.1,-6.0,-8.0,,Unknown,1.4858979,4.0,1.3792562,0.85141104,2.2277582,0.2698829,3.0791693,0.20880468,0.70955074,1.0221871,1.2966073,True
COc1cc(O)c(Cc2ccccc2O)cc1C(=O)CCc1ccccc1,-2.5,-6.6,-9.4,,Unknown,1.9526615,5.0,1.3953731,0.6527084,2.2855625,0.3382143,2.9382708,0.30677852,0.81863546,1.3766209,1.3811243,True
COc1c(C(=O)CCc2ccccc2)ccc(O)c1Cc1ccccc1O,-1.6,-6.8,-9.1,,Unknown,1.8695576,4.0,1.3810546,0.48565683,2.5347097,0.49185115,3.0203667,0.4001736,1.2039474,1.3771062,1.3806173,True
Cc1c(O)c(C)c(O)c(C(=O)C=Cc2ccccc2)c1O,-0.6,-6.6,-10.3,,Unknown,1.9120698,3.0,1.3853877,0.5567055,2.6574283,0.7766187,3.2141337,0.6510596,0.97097254,1.3832633,1.3843255,True
COc1ccc(CC2C(=O)OC[C@@H]2Cc2ccc(OC)c(OC)c2)cc1OC,-1.2,-6.7,-9.6,,Unknown,2.3124108,7.0,1.3904713,0.6127245,2.4112053,0.36985418,3.0239296,0.2558416,0.51351905,0.5402956,1.0667524,True
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,-0.6,-7.0,-9.8,8.4,A,2.1458640098571777,8.0,1.3879857063293457,0.6042807102203369,2.3854424953460693,0.301151305437088,2.9897232055664062,0.1811383366584777,0.5100858211517334,0.5207211971282959,0.9784258604049684,True
COc1cccc2cc(C)c(C(C)=O)c(O)c12,-6.6,-5.4,-7.7,,Unknown,1.635492,5.0,1.4037775,0.7765421,2.2001576,0.22871715,2.9766998,0.27639052,0.5439949,0.5502558,1.3659748,True
COc1cc(OC)c(OC)c(O)c1C=CC(=O)c1ccccc1,1.7,-6.1,-8.8,,Unknown,1.9244504,3.0,1.3858826,0.50080305,2.5952716,0.48483393,3.0960748,0.42908213,0.9549201,1.3812624,1.3835726,True
COc1ccc2c(OC)c3ccoc3nc2c1OC,-8.1,-5.4,-6.9,,Unknown,1.7041929,3.0,1.408445,0.62974256,2.4652514,0.4508151,3.0949938,0.16817656,1.1999013,1.3782763,1.3933606,True
CC(C)=CCc1ccc2cc[nH]c2c1,-7.3,-5.2,-8.6,7.949999999999999,B,1.0699354410171509,3.0,1.407750368118286,1.099337100982666,1.9951494932174685,0.0879001542925834,3.094486713409424,0.1771883070468902,0.945130467414856,1.118959903717041,1.2633551359176636,True
