smiles,H0_entropy,H0_count,H0_max_pers,H0_mean_pers,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H2_entropy,H2_count,H2_max_pers,H2_mean_pers
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,3.4356276988983154,32.0,2.104642868041992,1.6371350288391113,1.6529784202575684,4.0,1.3972903490066528,0.9043133854866028,1.0357612371444702,0.0,0.4798471927642822,0.3789616525173187
COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,3.464576244354248,33.0,2.1054208278656006,1.6108038425445557,1.6426329612731934,4.199738025665283,1.3918546438217163,0.7507377862930298,0.6930283308029175,0.0,0.4869036078453064,0.4821617007255554
COc1cc2ccc(=O)oc2cc1OC,3.146332263946533,24.0,2.102681875228882,1.62455415725708,1.2823296785354614,3.0,1.3874297142028809,0.9169811606407166,0.5945038795471191,0.0,0.4613327980041504,0.32110536098480225
COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,3.5246026515960693,35.0,2.105497360229492,1.6269220113754272,1.8033286333084106,4.0,1.396065354347229,0.7824248671531677,1.0362424850463867,0.0,0.4857804477214813,0.3820357918739319
O=C(O)C=Cc1ccc(O)cc1,2.912386894226074,19.0,2.0171849727630615,1.583899736404419,0.7974430322647095,1.0,1.3757202625274658,0.5277905464172363,-1.000088900582341e-12,0.0,0.47921842336654663,0.47921842336654663
CC(C)=CCOc1ccc2ccc(=O)oc2c1,3.3680951595306396,30.0,2.1157710552215576,1.5816982984542847,1.3075835704803467,3.064086675643921,1.406466007232666,0.9347289204597473,0.601637601852417,0.0,0.4409675598144531,0.31030628085136414
COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1OC,3.7285046577453613,43.0,2.103217363357544,1.627713918685913,2.028512716293335,7.0,1.3888189792633057,0.6541466116905212,1.0441536903381348,0.0,0.48440995812416077,0.39116159081459045
COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1O,3.656550645828247,40.0,2.103229522705078,1.636035680770874,1.9368597269058228,5.0,1.4097676277160645,0.6096858978271484,1.0465195178985596,0.0,0.4842817783355713,0.38478580117225647
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,3.5791382789611816,37.0,2.125034809112549,1.6442441940307617,1.5858968496322632,3.9969499111175537,1.3878581523895264,0.5366322994232178,0.6934288740158081,0.0,0.48361849784851074,0.4801815152168274
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,3.6744096279144287,41.0,2.1020381450653076,1.4716764688491821,1.7438100576400757,3.9931273460388184,0.7927168607711792,0.4988988935947418,0.2171858847141266,0.10942704230546951,0.17718996107578278,0.13796159625053406
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,3.7719264030456543,45.0,2.0764083862304688,1.5942941904067993,1.9458495378494263,5.280338287353516,1.3822766542434692,0.5765799283981323,0.6930347084999084,0.0,0.46357014775276184,0.4585680663585663
COc1cc(O)c(OC)c(O)c1C(=O)C=Cc1ccccc1,3.578064441680908,37.0,2.112292766571045,1.6000158786773682,1.7698118686676025,3.4908604621887207,1.3973373174667358,0.6037783026695251,0.7140455842018127,0.0,0.4862549901008606,0.4571998715400696
COc1cc(O)c(C(=O)C=Cc2ccccc2)c(OC)c1,3.551126003265381,36.0,2.106234073638916,1.590880274772644,1.8233777284622192,4.106907367706299,1.4004325866699219,0.6900622248649597,0.7308974862098694,0.0,0.4842223823070526,0.4501360058784485
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,3.6038079261779785,38.0,2.103480339050293,1.6151247024536133,1.865903377532959,4.29856538772583,1.4009246826171875,0.6909166574478149,0.7118501663208008,0.0,0.4777365028858185,0.43680572509765625
COc1cc(O)cc(O)c1C(=O)C=Cc1ccccc1,3.4644033908843994,33.0,2.107538938522339,1.598260760307312,1.552971363067627,3.992367744445801,1.392082691192627,0.6742583513259888,0.7987849712371826,0.0,0.4882771968841553,0.43628019094467163
COc1cc(O)c(C(=O)C=Cc2ccccc2)c(O)c1OC,3.5782089233398438,37.0,2.111556053161621,1.5993025302886963,1.9232450723648071,4.2010722160339355,1.4041509628295898,0.629231333732605,0.7468962669372559,0.0,0.4855789840221405,0.4451751112937927
COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1,3.5215203762054443,35.0,2.1059348583221436,1.5820186138153076,1.5971095561981201,3.2677555084228516,1.3936504125595093,0.6483328938484192,0.7456787824630737,0.0,0.48967278003692627,0.446310430765152
COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1OC,3.629112958908081,39.0,2.1106700897216797,1.5861313343048096,1.8636832237243652,4.6988205909729,1.403238296508789,0.6251426935195923,0.8200486302375793,0.0,0.48845070600509644,0.42554640769958496
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,3.815354108810425,47.0,2.1062378883361816,1.5852164030075073,1.9615025520324707,4.778812408447266,1.3968284130096436,0.5829969048500061,0.6930687427520752,0.0,0.47115257382392883,0.4669468104839325
COc1ccc2c(=O)c3cccc(O)c3oc2c1,3.2665340900421143,27.0,2.10545015335083,1.644796371459961,1.5721242427825928,3.0,1.3858500719070435,0.705678403377533,1.0259292125701904,0.0,0.4874992072582245,0.3873348832130432
COc1cccc2c(=O)c3ccc(O)cc3oc12,3.266467571258545,27.0,2.103837728500366,1.6448184251785278,1.4966702461242676,3.0,1.3944557905197144,0.6933372616767883,1.0310648679733276,0.0,0.4801626205444336,0.3823513090610504
COc1cc2[nH]c3ccccc3c(=O)c2c(O)c1OC,3.434123992919922,32.0,2.1107897758483887,1.620680570602417,1.6998435258865356,4.504797458648682,1.3876416683197021,0.7883368730545044,1.097214937210083,0.0,0.49074944853782654,0.4625476598739624
COc1ccc(O)c2c1C(=O)c1coc(C)c1C2=O,3.3041913509368896,28.0,2.103184461593628,1.650609016418457,1.627195119857788,5.0,1.4107000827789307,0.8517598509788513,0.6883293390274048,0.0,0.4798920154571533,0.43702733516693115
CC=Cc1cc(O)c(O)c(OC)c1,3.142400026321411,24.0,2.1066479682922363,1.546797275543213,1.2342746257781982,1.0,1.3876440525054932,0.5412894487380981,-1.000088900582341e-12,0.0,0.4658556282520294,0.4658556282520294
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,3.1519083976745605,24.0,2.02661395072937,1.6582696437835693,1.5350326299667358,4.0,1.4143154621124268,0.7842767834663391,0.689598560333252,0.0,0.48341870307922363,0.4458780288696289
COc1ccc(OC)c2c1C(=O)c1coc(C)c1C2=O,3.404301166534424,31.0,2.1027612686157227,1.6436554193496704,1.6318442821502686,5.0,1.4288249015808105,0.854240894317627,0.6896531581878662,0.0,0.47363924980163574,0.43711960315704346
CC(=O)OCc1occ2c1C(=O)c1c(O)cccc1C2=O,3.3742668628692627,30.0,2.1169285774230957,1.6701258420944214,1.592210292816162,3.9986846446990967,1.4139807224273682,0.7971204519271851,0.6894208788871765,0.0,0.4837055802345276,0.44529563188552856
CC1(C)CCC[C@]2(C)c3cc(O)c(O)cc3CCC12,3.697343349456787,42.0,2.120931625366211,1.5270179510116577,2.1710455417633057,6.099963188171387,1.3732054233551025,0.5216742157936096,1.0837022066116333,0.0,0.462537556886673,0.24750922620296478
C=C[C@](C)(O)CC/C=C(\C)CCC=C(C)C,3.6743826866149902,41.0,2.1022350788116455,1.4717707633972168,1.7314621210098267,4.038183689117432,0.8025330901145935,0.5030403137207031,0.13684768974781036,0.08791899681091309,0.14340057969093323,0.124005988240242
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,3.6315064430236816,39.0,2.110771417617798,1.628912329673767,1.8857266902923584,4.0,1.4019280672073364,0.7581620812416077,1.02922523021698,0.0,0.4664498269557953,0.3704580068588257
COc1c2ccc(OC[C@@H](O)C(C)(C)O)cc2nc2occc12,3.677537441253662,41.0,2.122832775115967,1.5975725650787354,1.9718890190124512,4.776022911071777,1.3947678804397583,0.6130877137184143,0.7295141816139221,0.0,0.4448622167110443,0.298186719417572
Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,3.2647299766540527,27.0,2.022587776184082,1.6308366060256958,1.4794989824295044,3.0,1.3925503492355347,0.559271514415741,0.686882495880127,0.0,0.47417211532592773,0.42648375034332275
CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O,3.654733657836914,40.0,2.0581588745117188,1.5852770805358887,1.9148024320602417,4.087517261505127,1.4034476280212402,0.5672444701194763,0.695511519908905,0.0,0.4455908238887787,0.41280269622802734
COc1cc2ccc(=O)oc2cc1OCC=C(C)C,3.4923880100250244,34.0,2.117612838745117,1.5863860845565796,1.50774347782135,4.504546165466309,1.3813713788986206,0.873602569103241,0.5859376788139343,0.0,0.47548407316207886,0.3268986940383911
O=C1C=C/C(=C/[C@H](O)COc2ccccc2)O1,3.299220323562622,28.0,2.122513771057129,1.60496187210083,1.2666211128234863,2.536635637283325,1.3914284706115723,0.6332971453666687,0.04530525952577591,0.016532031819224358,0.48098185658454895,0.454898864030838
COc1cc(O)c(Cc2ccccc2O)cc1C(=O)CCc1ccccc1,3.837735176086426,48.0,2.111121892929077,1.5829637050628662,1.9472953081130981,4.883328437805176,1.3981887102127075,0.6568655967712402,1.1578412055969238,0.0,0.4873262345790863,0.41526055335998535
COc1c(C(=O)CCc2ccccc2)ccc(O)c1Cc1ccccc1O,3.837686538696289,48.0,2.1212589740753174,1.5830053091049194,2.0206034183502197,4.656411647796631,1.384873390197754,0.6020920276641846,1.3648804426193237,0.0029126331210136414,0.4858560562133789,0.4037328064441681
Cc1c(O)c(C)c(O)c(C(=O)C=Cc2ccccc2)c1O,3.550065517425537,36.0,2.04811692237854,1.5832240581512451,1.9368716478347778,3.306718587875366,1.383104920387268,0.5513749122619629,0.7149742841720581,0.0,0.4840848445892334,0.45986208319664
COc1ccc(CC2C(=O)OC[C@@H]2Cc2ccc(OC)c(OC)c2)cc1OC,3.9343409538269043,53.0,2.106842279434204,1.5850886106491089,2.104656934738159,6.489358901977539,1.3981168270111084,0.6108217835426331,0.9843652248382568,0.01769993267953396,0.47932735085487366,0.3337467908859253
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,3.9696671962738037,55.0,2.109813928604126,1.5740870237350464,2.185515880584717,6.480235576629639,1.400613784790039,0.6142904162406921,1.021039605140686,0.06836331635713577,0.48625999689102173,0.31742987036705017
COc1cccc2cc(C)c(C(C)=O)c(O)c12,3.3683183193206787,30.0,2.1082231998443604,1.5727553367614746,1.511940598487854,4.012106895446777,1.3984746932983398,0.5888577103614807,0.6917809247970581,0.0,0.44471362233161926,0.42264363169670105
COc1cc(OC)c(OC)c(O)c1C=CC(=O)c1ccccc1,3.6553573608398438,40.0,2.1119349002838135,1.596292495727539,1.9767725467681885,4.369536876678467,1.4084532260894775,0.5564552545547485,0.8451635837554932,0.3982420861721039,0.518489420413971,0.44086140394210815
COc1ccc2c(OC)c3ccoc3nc2c1OC,3.402019500732422,31.0,2.114537477493286,1.6270644664764404,1.7042138576507568,3.0,1.408443570137024,0.6297409534454346,0.6478870511054993,0.0,0.3876006603240967,0.29848188161849976
CC(C)=CCc1ccc2cc[nH]c2c1,3.2977325916290283,28.0,2.057548999786377,1.5205967426300049,1.0704294443130493,3.0,1.4069737195968628,1.100551724433899,-1.000088900582341e-12,0.0,0.4225911498069763,0.4225911498069763
C=C(C)/C=C/c1ccc2cc[nH]c2c1,3.2257161140441895,26.0,2.047034740447998,1.5338078737258911,1.2158480882644653,2.0,1.407116174697876,0.8136278986930847,-1.000088900582341e-12,0.0,0.4214276969432831,0.4214276969432831
COc1ccc2c(=O)c3c(OC)c4c(cc3n(C)c2c1OC)OCO4,3.6812007427215576,41.0,2.1311092376708984,1.6393975019454956,2.0710771083831787,4.0,1.3782109022140503,0.619648814201355,1.366037130355835,0.0,0.4225332736968994,0.36920684576034546
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,3.5795164108276367,37.0,2.1062192916870117,1.6431080102920532,1.9373310804367065,4.0,1.3873859643936157,0.6826227903366089,1.0423698425292969,0.0,0.48843857645988464,0.3948018252849579
COc1ccc(C2CC(=O)c3c(OC)c(OC)c(O)c(OC)c3O2)cc1,3.772210121154785,45.0,2.115231513977051,1.6160882711410522,2.0627248287200928,3.8292388916015625,1.395129919052124,0.5993622541427612,0.7897794246673584,0.0,0.47432422637939453,0.42798957228660583
