smiles,index,H0_entropy,H0_count,H0_max_pers,H0_mean_pers,H0_birth_mean,H0_birth_std,H0_death_mean,H0_death_std,H0_pers_q25,H0_pers_q50,H0_pers_q75,H1_entropy,H1_count,H1_max_pers,H1_mean_pers,H1_birth_mean,H1_birth_std,H1_death_mean,H1_death_std,H1_pers_q25,H1_pers_q50,H1_pers_q75,H2_entropy,H2_count,H2_max_pers,H2_mean_pers,H2_birth_mean,H2_birth_std,H2_death_mean,H2_death_std,H2_pers_q25,H2_pers_q50,H2_pers_q75,pers_img_0,pers_img_1,pers_img_2,pers_img_3,pers_img_4,pers_img_5,pers_img_6,pers_img_7,pers_img_8,pers_img_9,pers_img_10,pers_img_11,pers_img_12,pers_img_13,pers_img_14,pers_img_15,pers_img_16,pers_img_17,pers_img_18,pers_img_19,pers_img_20,pers_img_21,pers_img_22,pers_img_23,pers_img_24,betti_0,betti_1,betti_2,betti_3,betti_4,betti_5,betti_6,betti_7,betti_8,betti_9,betti_10,betti_11,betti_12,betti_13,betti_14,betti_15,betti_16,betti_17,betti_18,betti_19,tfp_valid
COc1cc2ccc(=O)oc2cc1O[C@H](C)CCCC(C)C,330,3.7692597,45.0,2.126072,1.5530496,0.0,0.0,1.5530496,0.42587167,1.1612259,1.1640594,2.027251,1.7652332,4.0,1.3812141,0.69101757,2.3213255,0.24471255,3.0123432,0.2077008,0.6108178,0.9506227,1.2967823,0.80904615,0.0,0.48360777,0.23851538,3.3005278,0.25759256,3.5390432,0.3561918,0.0,0.0,0.0,0.039099794,0.0,0.13585742,0.0,0.025930166,0.030729895,0.37551692,0.043593884,0.0,0.0,0.0,0.0,0.0,0.0,0.067290634,0.08742375,0.0,0.09518152,0.0,0.0,0.0,0.0,0.008781151,0.022952065,0.067642815,1.0,1.0,1.0,1.0,1.0,0.46666667,0.46666667,0.42222223,0.35555556,0.8333333,1.0,0.6666667,0.33333334,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc2ccc(=O)oc2cc1O[C@@H](C)C(=O)OCCC(C)C,331,3.7705305,45.0,2.1239696,1.5865576,0.0,0.0,1.5865576,0.42443335,1.160626,1.8137809,2.0247045,1.9537961,5.0,1.3913821,0.60252583,2.5906801,0.45837012,3.1932058,0.33061177,0.7220223,1.0121853,1.2685571,1.1163464,0.0,0.29159808,0.15757793,3.4909992,0.37286702,3.6485772,0.4160702,0.0,0.0,0.0,0.012063303,0.12733276,0.13902725,0.23131259,0.018612208,0.0,0.026641155,0.03524815,0.0,0.039944194,0.0,0.0,0.055996787,0.0,0.060348317,0.070179954,0.0,0.076974966,0.0,0.0,0.0,0.0,0.012890395,0.02248049,0.07094746,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.34074077,0.34074077,0.2962963,0.26666668,0.44444445,0.6666667,0.6666667,0.33333334,1.0,0.77777773,0.0,0.0,0.0,0.0,0.0,True
C=CCC[C@H](CC)Oc1cc2ccc(=O)oc2cc1OC,332,3.6530893,40.0,2.1203942,1.5703986,0.0,0.0,1.5703986,0.41900828,1.1603364,1.4895314,2.0118327,1.6472515,2.0,1.3917866,0.6045808,2.3979762,0.4355125,3.002557,0.3506818,1.2976407,1.3290226,1.3604046,0.5966936,0.0,0.45313644,0.316437,3.4652371,0.1471771,3.781674,0.010477662,0.0,0.0,0.0,0.0,0.008597395,0.15535273,0.0,0.031028355,0.3904916,0.038505655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062164947,0.09973527,0.0,0.10962231,0.0,0.0,0.0,0.0,0.014638661,0.02548465,0.06437841,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.425,0.425,0.8,1.0,0.4,0.4,0.7,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc2ccc(=O)oc2cc1O[C@H](C)C(=O)OCCC(C)C,333,3.7704937,45.0,2.1213782,1.5877728,0.0,0.0,1.5877728,0.42499697,1.1608133,1.8127109,2.0283942,1.4403409,4.0,1.3797913,0.78269166,2.39754,0.34373286,3.1802318,0.3440723,1.0867457,1.3160304,1.3687531,0.8652029,0.0,0.48357105,0.248053,3.6175706,0.25566623,3.8656237,0.10677568,0.0,0.0,0.0,0.0017669286,0.062862076,0.120274745,0.0,0.0,0.0,0.36366782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0603739,0.089930914,0.0,0.19483088,0.0,0.0,0.0,0.0,0.012907763,0.02245029,0.07093472,0.8,0.8,0.8,0.8,0.8,0.4088889,0.4088889,0.35555556,0.43555555,0.6,0.8,0.6,0.6,0.6,1.0,0.4,0.0,0.0,0.0,0.0,True
C=CCC[C@@H](CC)Oc1cc2ccc(=O)oc2cc1OC,334,3.6530683,40.0,2.126082,1.5703086,0.0,0.0,1.5703086,0.4191139,1.1603386,1.4889612,2.0104804,1.5907917,2.0,1.3968338,0.4941482,2.4841344,0.37640402,2.9782825,0.32998386,1.2977697,1.330791,1.3638124,0.8192973,0.0,0.44432783,0.2249744,3.4206233,0.13382064,3.6455977,0.18711177,0.0,0.0,0.0,0.04640607,0.007863182,0.13436045,0.022352858,0.027220739,0.32916918,0.041535757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062161654,0.1066438,0.0,0.11778128,0.0,0.0,0.0,0.0,0.0146397175,0.025484324,0.064380966,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.425,0.69166666,1.0,1.0,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
C=CC[C@H](CCC)Oc1cc2ccc(=O)oc2cc1OC,335,3.653029,40.0,2.1220217,1.5705901,0.0,0.0,1.5705901,0.41942593,1.1604412,1.488555,2.0110395,1.7450025,3.0,1.386367,0.57303613,2.4662611,0.4574813,3.039297,0.289564,0.9276686,1.2649298,1.3256483,0.810644,0.0,0.46353602,0.23154664,3.400914,0.14813884,3.6324606,0.21438219,0.0,0.0,0.0,0.037975367,0.0,0.14326714,0.018392334,0.028029995,0.33365202,0.03630533,0.04292977,0.0,0.0,0.0,0.0,0.0,0.0,0.062160853,0.09197572,0.0,0.10080567,0.0,0.0,0.0,0.0,0.014640149,0.025484502,0.06438116,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.425,0.35833335,0.5,1.0,0.5,0.33333334,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
C=CC[C@@H](CCC)Oc1cc2ccc(=O)oc2cc1OC,336,3.6530335,40.0,2.1331336,1.5716703,0.0,0.0,1.5716703,0.41970384,1.1610719,1.4903662,2.0130472,1.6459144,4.0,1.4065348,0.53471243,2.4890778,0.42307687,3.0237904,0.31601495,0.60561985,0.9493599,1.3011256,1.0880283,0.0,0.4234097,0.20572782,3.30208,0.19899033,3.5078077,0.28239176,0.0,0.0,0.0,0.0081136245,0.03492197,0.23462309,0.0,0.0,0.25726327,0.040854353,0.049304575,0.0,0.0,0.0,0.0,0.0,0.0,0.06218389,0.098650314,0.0,0.109602116,0.0,0.0,0.0,0.0,0.014640089,0.025488893,0.064353794,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.425,0.425,0.6,1.0,0.6,0.4,0.7,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc2ccc(=O)oc2cc1O[C@H](C)COC(C)(C)C,337,3.7238452,43.0,2.1365848,1.5725106,0.0,0.0,1.5725106,0.42935815,1.1607195,1.1640358,2.0299754,1.7240418,6.0,1.3761568,0.73228633,2.3441207,0.30898353,3.076407,0.2409559,0.59008306,0.69686186,1.1402249,0.5821527,0.0,0.47768354,0.32668424,3.4634173,0.14762568,3.7901015,0.003373623,0.0,0.0,0.0,0.00052500726,0.0,0.13444552,0.0,0.0,0.36555448,0.032874696,0.07877042,0.0,0.04921904,0.0,0.0,0.0,0.0,0.06380726,0.08245558,0.0,0.089488596,0.0,0.0,0.0,0.0,0.009089043,0.023748575,0.07002179,1.0,1.0,1.0,1.0,1.0,0.4883721,0.4883721,0.44186047,0.46976745,1.0,1.0,0.8,0.6,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc2ccc(=O)oc2cc1O[C@@H](C)COC(C)(C)C,338,3.7239013,43.0,2.1246114,1.5721605,0.0,0.0,1.5721605,0.428911,1.1608586,1.1623521,2.0319319,1.781909,6.0,1.3875304,0.7348293,2.2168524,0.17168653,2.9516819,0.25445855,0.6112709,0.61991143,1.1044931,0.825989,0.0,0.4567554,0.23092587,3.3073823,0.25068903,3.5383081,0.34549984,0.0,0.0,0.0,0.039499845,0.007977559,0.13084503,0.0,0.0,0.3296551,0.03362852,0.11985264,0.0,0.0,0.0,0.0,0.0,0.0,0.06380365,0.08195864,0.0,0.089915946,0.0,0.0,0.0,0.0,0.009087638,0.02375608,0.07001928,1.0,1.0,1.0,1.0,1.0,0.4883721,0.4883721,0.44186047,0.4031008,1.0,1.0,0.33333334,0.33333334,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc2ccc(=O)oc2cc1O[C@@H](C)CC(=O)OC(C)(C)C,339,3.7704964,45.0,2.1493356,1.5863839,0.0,0.0,1.5863839,0.42464462,1.1608492,1.8105199,2.0289447,1.7504196,3.0,1.3809077,0.57219976,2.4886224,0.39580962,3.060822,0.23896843,0.90775025,1.2678716,1.3243897,0.58413607,0.0,0.4761212,0.32650578,3.4613883,0.14908671,3.7878942,0.0005286932,0.0,0.0,0.0,0.0014406892,0.0,0.16886032,0.0,0.0,0.39403588,0.07611658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.060354635,0.09232437,0.0,0.10055547,0.0,0.0,0.0,0.0,0.01288221,0.02246413,0.07096568,1.0,1.0,1.0,1.0,1.0,0.51111114,0.51111114,0.44444445,0.44444445,0.6,1.0,1.0,0.4,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
CC(C)=CCOc1ccc2c(C)cc(=O)oc2c1,340,3.4626646,33.0,2.1181114,1.5712464,0.0,0.0,1.5712464,0.40655047,1.1606364,1.8140025,1.9977311,1.5061167,3.0,1.4092171,0.8754693,2.1840372,0.20008743,3.0595064,0.2399682,1.0080843,1.2837191,1.3464681,0.59172237,0.0,0.41012502,0.28429615,3.477172,0.14336574,3.761468,0.017536879,0.0,0.0,0.0,0.0,0.13935055,0.0,0.0,0.0,0.3953686,0.037772328,0.0,0.0,0.05577576,0.0,0.0,0.0,0.0,0.05996318,0.0,0.09775474,0.10731137,0.0,0.0,0.0,0.0,0.017711338,0.03073097,0.058261182,1.0,1.0,1.0,1.0,1.0,0.5151515,0.5151515,0.42424244,0.43030304,0.8,1.0,0.6,0.4,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc2cc(CC=C(C)C)c(=O)oc2cc1O,341,3.4919198,34.0,2.1015282,1.5818436,0.0,0.0,1.5818436,0.41162226,1.1606371,1.8204459,2.0100412,1.420153,3.0,1.3776491,0.6650086,2.2596774,0.2716458,2.924686,0.34499428,1.000598,1.2680473,1.3228482,0.5979983,0.0,0.4714818,0.32990062,3.473115,0.15794921,3.8030157,0.016368032,0.0,0.0,0.0,0.009296472,0.0,0.14270923,0.0,0.0,0.35729077,0.041764397,0.0,0.0,0.061248045,0.0,0.0,0.0,0.0032720373,0.054269213,0.10593408,0.0,0.11509033,0.0,0.0,0.0,0.0,0.017098656,0.029627398,0.062399358,1.0,1.0,1.0,1.0,0.9705882,0.5294118,0.5294118,0.44117647,0.5,0.75,1.0,0.5,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
CCc1cc(=O)oc2c(C)c(OCC=C(C)C)ccc12,342,3.6284497,39.0,2.1236703,1.5554665,0.0,0.0,1.5554665,0.41180903,1.1606684,1.1641488,2.0003538,1.5984927,4.0,1.3806515,0.63995975,2.3360355,0.29781708,2.9759953,0.25390816,0.7521464,1.0266496,1.3038409,0.6136002,0.0,0.40251684,0.28885674,3.487786,0.13069606,3.7766428,0.017035961,0.0,0.0,0.0,0.0048844465,0.022079108,0.15162936,0.0,0.0,0.34837064,0.0,0.0,0.050851423,0.05767192,0.0,0.0,0.0,0.0,0.064219154,0.09511293,0.0,0.1027335,0.0,0.0,0.0,0.0,0.015160005,0.026346913,0.060940593,1.0,1.0,1.0,1.0,1.0,0.4871795,0.4871795,0.41025642,0.525641,1.0,1.0,1.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
C=C(C)COc1ccc2ccc(=O)oc2c1,343,3.2636552,27.0,2.1150692,1.5953774,0.0,0.0,1.5953774,0.40004608,1.1568396,1.8176018,1.9398435,1.1519576,3.0,1.4118012,0.83600307,2.2859845,0.37909248,3.1219876,0.23168874,0.9011357,1.2642207,1.338011,0.6081713,0.0,0.42896962,0.30503404,3.464902,0.14601696,3.769936,0.022081375,0.0,0.0,0.0,0.0,0.012952483,0.14842479,0.0,0.0,0.35157523,0.05363324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053998053,0.12601835,0.0,0.14072926,0.0,0.0,0.0,0.0,0.021269267,0.036949214,0.054450136,1.0,1.0,1.0,1.0,1.0,0.5555556,0.5555556,0.44444445,0.7037037,1.0,1.0,0.6666667,0.6666667,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc2ccc(=O)oc2c(C(C)=O)c1OC,344,3.335722,29.0,2.1174412,1.6284307,0.0,0.0,1.6284307,0.40246713,1.1597016,1.8170743,2.0027425,1.1388983,2.0,1.4032961,0.628783,2.5804594,0.49265826,3.2092423,0.10373098,1.293874,1.330348,1.3668221,0.88977975,0.0,0.4543202,0.24598654,3.368644,0.1726159,3.6146307,0.24882641,0.0,0.0,0.0,0.056437682,0.011073392,0.14056852,0.0,0.035331775,0.30782184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049443766,0.13331574,0.0,0.14878437,0.0,0.0,0.0,0.0,0.019387154,0.033844467,0.06399128,1.0,1.0,1.0,1.0,1.0,0.5862069,0.5862069,0.4827586,0.7356322,0.6666667,0.6666667,1.0,1.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
CCCc1cc(=O)oc2cc(OCC=C(C)C)ccc12,345,3.62835,39.0,2.117352,1.555499,0.0,0.0,1.555499,0.412443,1.1604869,1.1647605,2.0004485,1.5860115,4.0,1.3949229,0.772249,2.2065928,0.18939036,2.9788418,0.28123122,0.7142823,1.0095838,1.3170696,0.56770355,0.0,0.4334085,0.29085696,3.4739132,0.14896512,3.76477,0.006413579,0.0,0.0,0.0,0.005087453,0.12747282,0.0,0.0,0.0,0.40674928,0.0,0.0,0.04841429,0.052375812,0.0,0.0,0.0,0.0,0.06422424,0.0,0.09288301,0.10035068,0.0,0.0,0.0,0.0,0.015168056,0.026301673,0.060972694,1.0,1.0,1.0,1.0,1.0,0.4871795,0.4871795,0.41025642,0.42564103,1.0,1.0,0.6,0.4,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
COc1cc2ccc(=O)oc2c(O)c1OC,346,3.1867309,25.0,2.1095219,1.636372,0.0,0.0,1.636372,0.4066209,1.1602606,1.8898867,1.9953425,1.4209213,3.0,1.3822132,0.7636358,2.2381916,0.24802478,3.0018272,0.3167589,0.89958715,1.2661531,1.3241832,0.5978983,0.0,0.4635911,0.32432997,3.463077,0.1415441,3.787407,0.002282977,0.0,0.0,0.0,0.0,0.0,0.14265475,0.023365341,0.032227606,0.35734525,0.046533633,0.0,0.0,0.0,0.0,0.0,0.0,0.004332748,0.04276002,0.11053726,0.0,0.12066949,0.0,0.0,0.0,0.0,0.014915875,0.039044514,0.065613516,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.52,0.54,1.0,0.75,0.75,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,True
