GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
271,13.23,17.53,20.14,0.0,0.0,0.0,0.69,70.23,30.95,-210.85,-18.42,3.29,-58.08,-15.13,-73.22
281,14.32,16.57,15.29,0.0,0.0,0.0,1.75,66.78,30.33,-209.55,-16.54,3.24,-64.52,-13.3,-77.82
291,10.17,19.48,20.65,0.0,0.0,0.0,0.61,68.79,33.16,-210.76,-18.18,3.28,-57.9,-14.89,-72.8
301,12.27,15.35,17.04,0.0,0.0,0.0,1.18,67.89,31.92,-210.31,-17.1,3.25,-64.66,-13.85,-78.5
311,10.83,24.23,12.59,0.0,0.0,0.0,0.8,70.94,32.44,-212.24,-18.53,3.29,-60.41,-15.24,-75.66
321,12.21,13.52,19.57,0.0,0.0,0.0,2.84,67.26,29.68,-210.63,-16.39,3.22,-65.56,-13.17,-78.72
331,9.14,18.05,17.23,0.0,0.0,0.0,0.95,70.44,36.08,-214.98,-17.58,3.27,-63.1,-14.31,-77.41
341,9.88,19.85,26.95,0.0,0.0,0.0,-1.85,69.41,30.52,-209.57,-19.22,3.3,-54.81,-15.92,-70.73
351,19.05,18.51,13.36,0.0,0.0,0.0,0.98,70.98,32.27,-207.55,-20.62,3.28,-52.41,-17.34,-69.76
361,15.25,25.02,18.08,0.0,0.0,0.0,0.09,69.47,29.1,-207.21,-19.96,3.26,-50.2,-16.7,-66.91
371,8.45,13.84,17.5,0.0,0.0,0.0,0.81,69.75,34.97,-211.87,-17.89,3.27,-66.54,-14.62,-81.16
381,10.59,20.32,24.97,0.0,0.0,0.0,-0.85,69.51,35.1,-210.09,-18.7,3.28,-50.45,-15.43,-65.88
391,17.49,19.48,15.87,0.0,0.0,0.0,-1.26,69.92,34.25,-208.06,-18.94,3.29,-52.31,-15.65,-67.96
401,9.53,16.45,18.35,0.0,0.0,0.0,-0.58,75.52,35.15,-205.58,-25.86,3.28,-51.16,-22.59,-73.75
411,10.69,23.96,21.45,0.0,0.0,0.0,-2.78,73.31,32.49,-203.61,-26.22,3.28,-44.49,-22.94,-67.43
421,10.1,17.2,17.41,0.0,0.0,0.0,-0.26,69.77,34.69,-212.95,-17.4,3.29,-64.04,-14.12,-78.15
431,10.88,19.11,26.13,0.0,0.0,0.0,-0.32,66.59,30.87,-210.35,-16.81,3.29,-57.09,-13.52,-70.61
