Frame,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,EGB,1-4 VDW,1-4 EEL,ESURF,TOTAL
1,1.8758328224066645e-11,4.867217739956686e-12,7.034373084024992e-13,0.0,0.0,0.0,418.2292999999968,31.365500000013157,42.92649999999992,2.7753355169579663e-11,-0.00010000000386867214,-5.52039192000003,487.00080808002957
2,-3.240074875066057e-11,-1.2665424264923786e-11,9.999999947751803e-05,0.0,0.0,0.0,400.22689999999875,21.27359999999976,32.20829999999947,-2.3841817409220312e-11,1.9895196601282805e-13,-5.220894960000057,448.48790503986004
3,-4.433786671143025e-11,-0.00010000000330734338,9.999999862841946e-05,0.0,0.0,0.0,450.0349000000032,18.578899999999066,40.434599999999705,8.102496451556362e-11,-0.00010000000247600838,-5.085186480000024,503.96311352010355
4,0.00010000005624988262,-9.999999625165401e-05,9.769962616701378e-13,0.0,0.0,0.0,401.20020000000017,29.082600000000127,26.92439999999948,6.537881347412622e-11,-6.565414878423326e-12,-4.894354079999986,452.3128459200118
5,1.057287590811029e-11,5.915268275202834e-12,4.263256414560601e-13,0.0,0.0,0.0,414.5847000000009,25.10980000000569,29.016000000000332,-0.00010000003147858649,9.999999784326974e-05,-5.097188879999966,463.6133111199728
6,2.091837814077735e-11,6.16928730323707e-12,-9.999999950593974e-05,0.0,0.0,0.0,442.4045999999986,36.09470000000624,26.2906999999999,-0.00010000001918530899,-5.9401372709544376e-12,-5.312306879999922,499.4775931199207
7,0.00010000004772336979,-7.265299473147024e-12,1.2327916465437738e-12,0.0,0.0,0.0,449.36440000000175,25.86640000000199,31.31190000000022,9.999998901033536e-05,4.689582056016661e-12,-5.317433280000018,501.22536671998836
8,-9.999994267673173e-05,0.00010000000586884994,1.9895196601282805e-13,0.0,0.0,0.0,407.0915000000003,28.084099999993583,25.498900000000503,-2.9057645178909297e-11,-4.575895218295045e-12,-5.300081279999993,455.3744187198729
9,9.106315701501444e-11,9.999999657850367e-05,1.1368683772161603e-13,0.0,0.0,0.0,439.0912000000005,18.218199999995193,39.4057999999995,-5.289901849891976e-11,6.821210263296962e-13,-5.422754160000015,491.2924458399623
10,5.331912689143792e-11,2.4229507289419416e-12,0.00010000000128229658,0.0,0.0,0.0,420.54409999999876,28.81769999998957,29.649300000000153,2.0302870495925163e-11,9.999999505794221e-05,-5.3954243999999365,473.6157756001334
11,1.0231815394945443e-11,-8.498091119690798e-12,-6.323830348264892e-13,0.0,0.0,0.0,403.9098000000004,22.281200000006322,41.35429999999896,-6.388889417507926e-11,2.3874235921539366e-12,-5.376194639999983,462.1691053597963
12,2.7057467377744615e-11,-0.00010000000244403395,-1.5276668818842154e-13,0.0,0.0,0.0,430.9150999999993,2.467499999999461,48.75310000000057,-2.2537971489100528e-11,-2.7853275241795927e-12,-5.452247519999981,476.68345247988583
13,2.3305801732931286e-11,-7.915446076367516e-12,-7.105427357601002e-15,0.0,0.0,0.0,432.14329999999967,23.377899999993076,30.328000000001268,-3.9115377603593515e-12,4.547473508864641e-13,-5.191441919999939,480.6577580801158
14,9.999991539189068e-05,-9.999998996512716e-05,-4.405364961712621e-13,0.0,0.0,0.0,440.4138999999979,13.58019999999894,45.86359999999952,-8.363265635580319e-11,-2.7569058147491887e-12,-5.188933440000045,494.66876656002705
15,-2.2964741219766438e-11,0.00010000000274601462,0.00010000000067122983,0.0,0.0,0.0,403.99739999999855,22.627399999994424,34.67039999999929,3.445910223831561e-11,3.893774191965349e-12,-5.320710000000034,455.9744900000209
16,9.999994040299498e-05,-3.771205570046732e-12,-9.999999987542196e-05,0.0,0.0,0.0,433.14370000000014,18.622000000009905,42.646800000000454,1.9557688801796758e-11,1.3358203432289883e-12,-5.397981120000007,489.01451888016106
17,1.2050804798491299e-11,-9.999999327092723e-05,-0.00010000000148480126,0.0,0.0,0.0,435.01269999999744,11.719799999989846,47.61759999999984,9.312550730555813e-13,4.661160346586257e-12,-5.127678719999964,489.2224212800819
18,3.205968823749572e-11,9.237055564881302e-14,9.9999999626732e-05,0.0,0.0,0.0,416.3845999999988,16.911499999999506,42.61000000000104,-1.899902457580538e-11,1.7053025658242404e-13,-5.5093233600000335,470.3967766398699
19,-1.432454155292362e-11,5.076827847005916e-12,1.8474111129762605e-13,0.0,0.0,0.0,449.33570000000293,41.6765999999927,11.249199999999135,-3.9115377603593515e-12,-5.684341886080801e-13,-5.197113359999954,497.0643866398955
20,-7.412381819449365e-11,9.999999844012564e-05,-9.999999894816369e-05,0.0,0.0,0.0,416.2885999999996,32.27290000000147,24.973599999999365,4.842881651256903e-11,-5.400124791776761e-13,-5.148565920000099,468.3865340801327
21,9.99999920168193e-05,3.538502824085299e-12,9.999999942778004e-05,0.0,0.0,0.0,436.1933000000013,37.72269999999989,21.817899999999838,3.688027661041815e-11,9.663381206337363e-13,-5.320207439999942,490.41369256014053
22,5.684341886080801e-13,5.115907697472721e-13,6.963318810448982e-13,0.0,0.0,0.0,435.70980000000037,41.14180000000218,23.51799999999922,2.4214408256284514e-11,5.5422333389287814e-12,-5.241598560000046,495.1280014401482
23,-2.0463630789890885e-11,4.654054919228656e-13,7.887024366937112e-13,0.0,0.0,0.0,421.56480000000005,33.16559999999802,26.75430000000081,-5.681055625927911e-11,9.999999736010068e-05,-5.2847186400000385,476.20008135984494
24,-9.999995211273927e-05,-5.659472890329198e-12,-9.999999929988235e-05,0.0,0.0,0.0,409.2548999999999,15.414299999996047,46.688500000000275,-1.043076736095827e-11,4.263256414560601e-13,-5.36938055999993,465.9883194399856
25,-1.1368683772161603e-12,4.355626970209414e-12,-9.999999965870643e-05,0.0,0.0,0.0,408.4888000000012,16.268100000000885,41.60630000000094,-8.083889113663645e-11,-0.00010000000227705641,-5.232957840000056,461.1301421598824
26,-1.4665602066088468e-11,-9.999999755549993e-05,1.4956924587750109e-12,0.0,0.0,0.0,422.07339999999937,17.28600000000199,37.251899999999154,-2.2537971489100528e-11,-2.8990143619012088e-12,-5.2524849599999826,471.35881504002145
27,-9.999998269449861e-05,2.653877118063974e-12,0.0001000000015984881,0.0,0.0,0.0,405.1887000000016,14.231600000001407,40.49190000000013,-2.5704771644541324e-11,1.1084466677857563e-12,-4.901191199999986,455.0110087999723
28,-0.00010000010581734387,9.99999922228767e-05,3.730349362740526e-13,0.0,0.0,0.0,420.76250000000107,20.404900000009462,38.96970000000006,2.3283153183228933e-11,-2.7853275241795927e-12,-5.200378559999915,474.9367214398803
29,1.830358087318018e-11,-5.5422333389287814e-12,1.1866063687193673e-12,0.0,0.0,0.0,394.2681999999985,22.066800000004065,35.56829999999975,-3.241007462406742e-11,2.7000623958883807e-12,-5.3249724000000365,446.57832759989253
30,-1.5802470443304628e-11,-3.3288927170360694e-12,-3.197442310920451e-13,0.0,0.0,0.0,427.32590000000056,27.90000000000441,25.04780000000008,3.632116829521692e-11,1.3642420526593924e-12,-4.984077600000002,475.2896223999327
31,-0.00010000007227972674,2.6076918402395677e-12,4.227729277772596e-13,0.0,0.0,0.0,434.10559999999987,27.22030000000376,33.24730000000052,-3.203748377700322e-11,-3.552713678800501e-12,-5.406045120000035,489.16715488005235
32,9.999991584663803e-05,-7.334577389883634e-12,-7.531752999057062e-13,0.0,0.0,0.0,412.8656999999981,17.135599999999926,43.73969999999987,-7.934852774837964e-11,1.1084466677857563e-12,-5.474374559999954,468.26662543992825
33,1.318767317570746e-11,-9.99999908728455e-05,-1.2363443602225743e-12,0.0,0.0,0.0,443.31679999999824,23.968700000002542,32.78699999999857,9.999992512188527e-05,-2.842170943040401e-14,-5.245004160000004,494.8275958399079
34,1.978150976356119e-11,-9.173106718662893e-12,-6.394884621840902e-14,0.0,0.0,0.0,404.8612000000001,25.652700000002085,38.36580000000011,8.214273705675623e-11,-2.2168933355715126e-12,-5.39142336000004,463.48827664005773
35,-7.037215254968032e-11,-1.0231815394945443e-12,3.552713678800501e-13,0.0,0.0,0.0,435.55340000000206,21.58220000000827,35.779799999998346,4.7124970592449245e-11,-0.00010000000312970769,-5.295750479999974,487.6195495199065
36,-9.999994972531567e-05,5.7980287238024175e-12,-6.288303211476887e-13,0.0,0.0,0.0,420.13190000000105,34.655200000003134,37.00640000000061,3.9115377603593515e-12,4.234834705130197e-12,-5.668644240000034,486.1248557599216
37,0.00010000002203014446,9.769962616701378e-13,9.999999955212502e-05,0.0,0.0,0.0,443.3297999999992,19.477699999999288,36.66909999999997,-0.00010000003445886918,7.389644451905042e-13,-5.416546320000002,494.05995367999435
38,9.999997098475433e-05,-2.2808421817899216e-12,-5.684341886080801e-13,0.0,0.0,0.0,425.93290000000064,0.7971000000022173,46.704499999999214,7.003553292861397e-11,-1.4779288903810084e-12,-5.599740959999996,467.8347590399632
39,-1.602984411874786e-11,2.490452288839151e-12,-9.201528428093297e-13,0.0,0.0,0.0,414.32750000000004,19.145199999996862,42.75470000000129,-5.9605653746075404e-12,9.379164112033322e-13,-5.662064160000033,470.5653358401484
40,7.048583938740194e-12,3.446132268436486e-12,0.00010000000059662284,0.0,0.0,0.0,410.9083000000011,21.584999999999297,39.376900000000305,-9.999998342280492e-05,-4.462208380573429e-12,-5.769069120000068,466.1010308801966
41,-9.999995097587089e-05,-9.769962616701378e-13,2.1671553440683056e-13,0.0,0.0,0.0,418.0373000000015,10.903999999994994,47.352099999999524,2.3841817409220312e-11,7.105427357601002e-13,-5.951272319999964,470.3421276800692
42,-0.00010000004658650141,7.673861546209082e-13,5.400124791776761e-13,0.0,0.0,0.0,425.8794000000009,1.7140999999992346,54.23270000000031,-1.0672973616010495e-10,1.2221335055073723e-12,-5.6188216800000506,476.20737831987003
43,3.035438567167148e-11,-6.963318810448982e-12,-6.288303211476887e-13,0.0,0.0,0.0,429.3963999999976,3.4387000000116075,50.51570000000156,0.00010000002216559167,1.1084466677857563e-12,-5.5510156800000665,477.7998843200412
44,4.0813574742060155e-11,9.99999953670283e-05,0.000100000000458067,0.0,0.0,0.0,428.3198000000019,10.090300000000752,41.64320000000012,-9.313438908975513e-12,-2.3874235921539366e-12,-5.408418240000061,474.64488175995837
45,7.651124178664759e-11,9.99999908728455e-05,1.680433570072637e-12,0.0,0.0,0.0,412.4960000000008,3.6475000000039017,56.5993,9.999995697285158e-05,-3.780087354243733e-12,-5.564734560000095,467.1781654398773
46,1.0334133548894897e-10,-8.661515948915621e-12,-4.618527782440651e-14,0.0,0.0,0.0,416.38610000000074,26.001700000004035,30.382599999999925,0.0,-0.00010000000145282684,-5.74608887999993,467.0242111200382
47,5.5138116294983774e-11,-7.567280135845067e-12,1.5099033134902129e-12,0.0,0.0,0.0,422.6904000000022,13.73509999999996,45.33710000000012,-3.483169308537981e-11,2.8705926524708048e-12,-5.634454319999983,476.1281456800483
48,-0.00010000000611398718,9.755751761986176e-12,-9.999999828380624e-05,0.0,0.0,0.0,447.4322999999992,-15.163800000009559,66.43470000000089,-2.9616309404900676e-11,3.325340003357269e-12,-5.710482000000044,492.9927179999954
49,-4.672529030358419e-11,1.0757617019407917e-11,8.597567102697212e-13,0.0,0.0,0.0,419.7133999999987,2.651299999999054,52.01690000000009,6.332978585987803e-11,9.999999460319486e-05,-5.5387144799999755,468.8429855200146
50,-9.9999941085116e-05,-1.1921130749215081e-11,4.973799150320701e-14,0.0,0.0,0.0,377.4958000000027,12.714799999999315,46.76190000000031,6.686917686238303e-11,-7.105427357601002e-13,-5.589102960000013,431.3833970399717
51,-3.558398020686582e-11,6.657785434072139e-12,-6.927791673660977e-13,0.0,0.0,0.0,396.08840000000083,36.19440000000313,27.297900000001476,7.990763606358087e-11,4.490630090003833e-12,-5.192498159999986,454.3882018400853
52,3.444711182964966e-11,1.723066134218243e-12,9.999999896592726e-05,0.0,0.0,0.0,400.7321999999994,19.3726999999991,38.81380000000017,3.3713920544187204e-11,9.999999812748683e-05,-5.4609775199999975,453.4578224800537
53,6.934897101018578e-12,-7.240430477395421e-12,7.105427357601002e-15,0.0,0.0,0.0,401.9034000000018,25.124999999997613,31.599100000000632,-2.235100993175365e-12,-1.8474111129762605e-12,-5.539146479999931,453.08835351982236
54,-9.999999679166649e-05,4.934719299853896e-12,-3.126388037344441e-13,0.0,0.0,0.0,402.6566000000009,24.899200000006886,33.71050000000005,-3.2596148002994596e-11,3.694822225952521e-13,-5.6073110400000346,455.65898895994485
55,7.651124178664759e-11,8.846257060213247e-13,2.877698079828406e-13,0.0,0.0,0.0,430.78339999999923,9.128299999999257,36.325599999999895,-4.172306944383308e-11,0.00010000000298759915,-5.265601199999974,470.9717988000227
56,2.2964741219766438e-11,9.709566484161769e-12,3.481659405224491e-13,0.0,0.0,0.0,428.22439999999887,30.184000000004374,29.084999999999255,-7.860379014346108e-11,-1.9895196601282805e-13,-5.553173520000029,481.9402264799095
