candidate_id,canonical_smiles,MW,logP,HBD,HBA,TPSA,RB,QED,NPL,Lipinski_compliance,Veber_compliance,QED_classification,NPL_classification,Overall_compliance
PP-01,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,328.32,3.1914,1,6,78.13,4,0.7923,0.6667,Pass,Pass,High,Yes,Full
PP-02,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,388.46,3.0872,1,6,66.38,8,0.7497,0.6071,Pass,Pass,High,Yes,Full
PP-03,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,356.374,3.3766,4,6,107.22,3,0.6282,0.6154,Pass,Pass,Moderate,Yes,Partial
PP-04,COc1ccc2c(OC)c3ccoc3nc2c1OC,259.261,3.0068,0,5,53.72,3,0.7233,0.6842,Pass,Pass,High,Yes,Full
PP-05,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,284.267,2.8798,2,5,79.9,2,0.756,0.7619,Pass,Pass,High,Yes,Full
PP-06,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,354.402,4.3216,2,5,75.99,4,0.7998,0.6154,Pass,Pass,High,Yes,Full
PP-07,CC(C)=CCOc1ccc2ccc(=O)oc2c1,230.263,3.138,0,3,39.44,3,0.6003,0.5882,Pass,Pass,Moderate,Yes,Partial
PP-08,C=CCc1cc(OC)c2c(c1OC)OCO2,222.24,2.161,0,4,36.92,4,0.7314,0.5625,Pass,Pass,High,Yes,Full
PP-09,CC(C)=CCc1ccc2cc[nH]c2c1,185.27,3.6766,1,0,15.79,2,0.6869,0.6429,Pass,Pass,Moderate,Yes,Partial
PP-10,COc1cccc2c(=O)c3ccc(O)cc3oc12,242.23,2.6604,1,4,59.67,1,0.6663,0.7778,Pass,Pass,Moderate,Yes,Partial
PP-11,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,330.292,2.594,3,7,109.36,3,0.6769,0.6667,Pass,Pass,Moderate,Yes,Partial
PP-12,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,222.372,4.3963,1,1,20.23,7,0.6331,0.0,Pass,Pass,Moderate,No,Partial
PP-13,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,330.292,2.0515,3,7,113.29,2,0.7222,0.6667,Pass,Pass,High,Yes,Full
PP-14,CC=Cc1cc(O)c(O)c(OC)c1,180.203,2.1395,2,3,49.69,2,0.6853,0.4615,Pass,Pass,Moderate,Yes,Partial
PP-15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,316.309,2.0313,3,6,96.22,3,0.8016,0.6957,Pass,Pass,High,Yes,Full
PP-16,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,228.203,2.069,1,4,67.51,0,0.6391,0.7647,Pass,Pass,Moderate,Yes,Partial
PP-17,O=C(O)C=Cc1ccc(O)cc1,164.16,1.49,2,2,57.53,2,0.6508,0.5,Pass,Pass,Moderate,Yes,Partial
