smiles,wt_threshold_kcal_mol,retention_low_percent,retention_high_percent,leave_out_mutant,score_perturbation_percent,eligible_target_count,eligible_targets,mutant_count,rrs_mean,rrs_class,wt_anchor_min_abs_kcal_mol
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,76.32108288,D,7.60000000
O=C(O)C=Cc1ccc(O)cc1,5.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,68.17513296,C,7.40000000
C=CCc1cc(OC)c2c(c1OC)OCO2,5.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,70.79836415,D,7.40000000
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,5.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,72.39401709,D,7.50000000
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,5.00000000,80.00000000,90.00000000,none,0,1,PfCRT,2,104.81927711,A*,8.30000000
CC(C)=CCOc1ccc2ccc(=O)oc2c1,5.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,75.00795257,D,7.60000000
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,5.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,72.11301085,D,10.30000000
CC(C)=CCc1ccc2cc[nH]c2c1,5.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,74.17949558,D,7.10000000
CC=Cc1cc(O)c(O)c(OC)c1,5.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,69.53187135,D,7.50000000
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,5.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,111.65258577,B,5.60000000
