PP,PNS,RRS_mean_complete_two_target,MW,scaf_prev
PP-03,6.000184600499428,72.11301085,356.3740000000001,0.058823529411764705
PP-17,4.706758056964228,68.17513296,164.16,0.11764705882352941
PP-04,4.526663026858053,81.12202381,259.26099999999997,0.058823529411764705
PP-07,4.484661934915469,75.00795257,230.26299999999998,0.058823529411764705
PP-10,4.481995632229664,80.49062049,242.23,0.058823529411764705
PP-16,4.454566904809294,76.32108288,228.203,0.058823529411764705
PP-01,4.449709449968555,87.77777778,328.32000000000005,0.17647058823529413
PP-14,4.36428181449077,69.53187135,180.20299999999997,0.11764705882352941
PP-08,4.356758056964227,70.79836415,222.23999999999992,0.058823529411764705
PP-12,4.336853087070401,72.39401709,222.37199999999996,0.058823529411764705
PP-09,4.19704314728275,74.17949558,185.27,0.058823529411764705
PP-15,3.4997094499685555,111.65258577,316.3090000000001,0.058823529411764705
