smiles,wt_threshold_kcal_mol,retention_low_percent,retention_high_percent,leave_out_mutant,score_perturbation_percent,eligible_target_count,eligible_targets,mutant_count,rrs_mean,rrs_class,wt_anchor_min_abs_kcal_mol
COc1ccc2c(OC)c3ccoc3nc2c1OC,5.00000000,70.00000000,80.00000000,none,-10,2,PfDHFR;PfCRT,6,73.00982143,C,7.00000000
COc1cccc2c(=O)c3ccc(O)cc3oc12,5.00000000,70.00000000,80.00000000,none,-10,2,PfDHFR;PfCRT,6,72.44155844,C,7.70000000
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5.00000000,70.00000000,80.00000000,none,-10,2,PfDHFR;PfCRT,6,68.68897459,D,7.60000000
O=C(O)C=Cc1ccc(O)cc1,5.00000000,70.00000000,80.00000000,none,-10,2,PfDHFR;PfCRT,6,61.35761967,C,7.40000000
C=CCc1cc(OC)c2c(c1OC)OCO2,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,77.87820057,C,7.40000000
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,79.63341880,C,7.50000000
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,5.00000000,70.00000000,80.00000000,none,10,1,PfCRT,2,115.30120482,A*,8.30000000
CC(C)=CCOc1ccc2ccc(=O)oc2c1,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,82.50874783,B,7.60000000
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,79.32431194,B,10.30000000
CC(C)=CCc1ccc2cc[nH]c2c1,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,81.59744514,B,7.10000000
CC=Cc1cc(O)c(O)c(OC)c1,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,76.48505848,C,7.50000000
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,122.81784434,A,5.60000000
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,5.00000000,70.00000000,80.00000000,none,10,1,PfCRT,2,90.86000000,A*,10.00000000
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,5.00000000,70.00000000,80.00000000,none,10,1,PfCRT,2,101.61111111,A*,9.90000000
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,96.55555556,A*,7.50000000
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5.00000000,70.00000000,80.00000000,none,10,1,PfCRT,2,86.06190476,A*,10.50000000
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,5.00000000,70.00000000,80.00000000,none,10,1,PfCRT,2,100.39010989,A*,9.10000000
COc1ccc2c(OC)c3ccoc3nc2c1OC,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,89.23422619,B,7.00000000
COc1cccc2c(=O)c3ccc(O)cc3oc12,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,88.53968254,A*,7.70000000
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,83.95319117,A*,7.60000000
O=C(O)C=Cc1ccc(O)cc1,5.00000000,70.00000000,80.00000000,none,10,2,PfDHFR;PfCRT,6,74.99264626,C,7.40000000
C=CCc1cc(OC)c2c(c1OC)OCO2,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,84.95803698,B,7.40000000
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,86.87282051,B,7.50000000
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,5.00000000,70.00000000,80.00000000,none,20,1,PfCRT,2,125.78313253,A*,8.30000000
CC(C)=CCOc1ccc2ccc(=O)oc2c1,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,90.00954309,A*,7.60000000
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,86.53561303,B,10.30000000
CC(C)=CCc1ccc2cc[nH]c2c1,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,89.01539469,A*,7.10000000
CC=Cc1cc(O)c(O)c(OC)c1,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,83.43824561,B,7.50000000
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,133.98310292,A,5.60000000
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,5.00000000,70.00000000,80.00000000,none,20,1,PfCRT,2,99.12000000,A*,10.00000000
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,5.00000000,70.00000000,80.00000000,none,20,1,PfCRT,2,110.84848485,A*,9.90000000
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,105.33333333,A*,7.50000000
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5.00000000,70.00000000,80.00000000,none,20,1,PfCRT,2,93.88571429,A*,10.50000000
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,5.00000000,70.00000000,80.00000000,none,20,1,PfCRT,2,109.51648352,A*,9.10000000
COc1ccc2c(OC)c3ccoc3nc2c1OC,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,97.34642857,A*,7.00000000
COc1cccc2c(=O)c3ccc(O)cc3oc12,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,96.58874459,A*,7.70000000
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,91.58529946,A*,7.60000000
O=C(O)C=Cc1ccc(O)cc1,5.00000000,70.00000000,80.00000000,none,20,2,PfDHFR;PfCRT,6,81.81015956,B,7.40000000
