GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
75,21652.9524,-66024.4306,-15381.2905,485.02633464,-44371.47820000001,-14896.264165359999,-59267.74236536001
76,22934.4423,-66194.0733,-15347.6219,484.25963543999995,-43259.63100000001,-14863.36226456,-58122.993264560006
77,21465.7001,-66284.8017,-15269.5821,482.28854184,-44819.101599999995,-14787.29355816,-59606.39515816
78,22482.6277,-66121.1514,-15283.457,484.87673592,-43638.523700000005,-14798.580264080001,-58437.10396408001
79,20083.8429,-66101.2583,-15359.1572,493.5070072799999,-46017.4154,-14865.65019272,-60883.06559272
80,22443.7228,-65814.464,-15542.8773,489.57476904,-43370.741200000004,-15053.30253096,-58424.04373096
81,25050.605,-65695.3983,-15551.0873,491.99588208,-40644.793300000005,-15059.091417919999,-55703.88471792
82,26893.6266,-65772.4188,-15648.271,487.53704303999996,-38878.792199999996,-15160.73395696,-54039.52615696
83,22630.7088,-65581.1638,-15710.709,491.84839583999997,-42950.454999999994,-15218.860604160001,-58169.315604159994
84,25172.6899,-65356.8602,-15851.6475,497.78721720000004,-40184.1703,-15353.860282799998,-55538.0305828
85,24153.3027,-65452.1256,-15874.3439,499.1069736,-41298.8229,-15375.236926399999,-56674.0598264
86,24584.5148,-65533.6918,-15703.7824,489.88073087999993,-40949.176999999996,-15213.90166912,-56163.07866911999
87,22976.2344,-65894.9278,-15364.6274,491.65893792,-42918.693400000004,-14872.96846208,-57791.66186208
88,24244.374,-65911.9342,-15533.6156,500.46926472,-41667.56020000001,-15033.146335279998,-56700.706535280005
89,24819.0963,-65658.8233,-15729.3669,497.98556136,-40839.727,-15231.381338640002,-56071.10833864
90,22553.0383,-65326.5669,-15966.3396,498.6156124799999,-42773.5286,-15467.72398752,-58241.25258752
91,21417.4548,-65465.2164,-15816.9309,496.00695528,-44047.7616,-15320.92394472,-59368.68554472
92,20774.738,-65239.141,-15908.3151,494.58300984000005,-44464.403000000006,-15413.73209016,-59878.13509016001
93,20798.2298,-65475.2326,-15922.8116,490.65483887999994,-44677.0028,-15432.15676112,-60109.15956112
94,21827.518,-65619.821,-15750.4825,495.58949712,-43792.303,-15254.89300288,-59047.196002879995
95,24993.1427,-65136.02,-16161.8618,500.9662468799999,-40142.87729999999,-15660.89555312,-55803.77285311999
96,24760.0321,-65361.7357,-15980.1928,496.08222911999997,-40601.70359999999,-15484.11057088,-56085.814170879996
97,22251.891,-65546.0002,-15706.7182,491.68497312,-43294.10919999999,-15215.03322688,-58509.14242688
98,25377.5088,-65294.6723,-15834.2309,488.73640608,-39917.163499999995,-15345.494493920001,-55262.657993919995
99,28636.9067,-65369.2985,-15817.5759,483.32848032,-36732.3918,-15334.24741968,-52066.63921967999
100,24708.5629,-65400.974,-15804.5161,488.19755447999995,-40692.4111,-15316.31854552,-56008.72964552

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,22475.2639,-67883.8926,-12744.6881,355.66982208,-45408.6287,-12389.018277919999,-57797.64697792
1,23011.0929,-66217.3606,-14916.4805,441.32742288000003,-43206.2677,-14475.15307712,-57681.420777119994
2,23714.2093,-66213.3594,-14895.5473,449.77971024,-42499.1501,-14445.76758976,-56944.91768976
3,23113.5724,-65814.4033,-15348.9494,460.53275615999996,-42700.8309,-14888.416643839999,-57589.24754384
4,25268.2304,-65437.64,-15480.2329,467.6360724,-40169.4096,-15012.5968276,-55182.006427600005
5,21531.6221,-65589.1385,-15591.7525,473.35784759999996,-44057.5164,-15118.3946524,-59175.911052400006
6,24124.0293,-65885.7533,-15196.8356,472.01867712,-41761.724,-14724.81692288,-56486.54092288
7,22851.2744,-65827.9221,-15269.1851,467.50374504,-42976.6477,-14801.681354960001,-57778.329054960006
8,23722.0605,-65693.3155,-15370.1355,473.03291304000004,-41971.255,-14897.10258696,-56868.357586959995
9,24981.8868,-65618.0449,-15561.3007,474.36748415999995,-40636.15809999999,-15086.93321584,-55723.09131583999
10,24488.7762,-65621.02,-15481.9358,465.37129871999997,-41132.243800000004,-15016.56450128,-56148.808301280005
11,21870.614,-65833.2374,-15286.9866,469.08818999999994,-43962.6234,-14817.89841,-58780.52181
12,22489.464,-65629.4319,-15578.3757,484.2340812,-43139.967899999996,-15094.1416188,-58234.109518799996
13,24984.7533,-65920.7127,-15283.1332,483.56956872000006,-40935.95940000001,-14799.56363128,-55735.523031280005
14,25177.7713,-65810.1593,-15382.41,488.99223287999996,-40632.388,-14893.41776712,-55525.80576711999
15,25951.3627,-65798.6132,-15317.4033,477.36505583999997,-39847.25050000001,-14840.03824416,-54687.28874416001
16,25437.7439,-66028.9239,-15160.3112,482.0265100799999,-40591.17999999999,-14678.28468992,-55269.46468991999
17,23497.773,-65805.1563,-15273.9436,477.78199343999995,-42307.3833,-14796.161606560001,-57103.54490656
18,22036.92,-65893.1801,-15326.5674,486.03322871999995,-43856.2601,-14840.53417128,-58696.79427128
19,21450.7683,-65979.7236,-15314.5476,488.4151752,-44528.9553,-14826.1324248,-59355.087724799996
20,24995.177,-65753.3015,-15662.1347,497.23301663999996,-40758.124500000005,-15164.90168336,-55923.02618336001
21,23497.5703,-65477.8557,-15782.7205,492.31231632000004,-41980.2854,-15290.40818368,-57270.693583680004
22,24525.809,-65444.206,-15969.4339,496.76026824,-40918.397,-15472.67363176,-56391.07063176
23,21403.5352,-65326.6778,-16174.0874,500.49017783999994,-43923.1426,-15673.59722216,-59596.739822159994
24,23757.351,-65515.9294,-15974.608,501.27452064000005,-41758.5784,-15473.33347936,-57231.91187936
25,20344.4626,-65603.7454,-15702.7724,493.04477375999994,-45259.2828,-15209.72762624,-60469.010426240005
26,25202.1587,-65628.3759,-15655.2608,492.24036672,-40426.2172,-15163.02043328,-55589.237633280005
27,22818.5689,-65775.6683,-15499.8687,492.81432047999994,-42957.09940000001,-15007.054379520001,-57964.153779520006
28,22106.5302,-65702.1018,-15619.8155,489.46381848000004,-43595.5716,-15130.35168152,-58725.92328152001
29,25638.4907,-65859.5885,-15404.9998,490.28229072,-40221.0978,-14914.717509279999,-55135.81530928
30,21844.4198,-66064.3878,-15389.5599,494.57213424,-44219.96799999999,-14894.987765760001,-59114.955765759994
31,21569.0476,-65896.5167,-15403.9247,493.63902071999996,-44327.46909999999,-14910.28567928,-59237.75477927999
32,24387.0492,-66009.8692,-15426.1634,485.62107192,-41622.82,-14940.542328079999,-56563.362328079995
33,25180.617,-65493.2853,-15640.2888,484.9124616,-40312.668300000005,-15155.3763384,-55468.04463840001
34,23586.5352,-65754.1992,-15627.6012,488.9540304,-42167.664000000004,-15138.647169599999,-57306.311169600005
35,23843.4032,-65686.2345,-15501.473,488.83267368,-41842.831300000005,-15012.640326319999,-56855.47162632
36,23511.6209,-65303.9958,-15820.3941,487.20097008,-41792.374899999995,-15333.193129919999,-57125.568029919996
37,27281.7548,-65420.8533,-15774.2403,489.70444103999995,-38139.09850000001,-15284.53585896,-53423.63435896001
38,19396.2035,-65355.6222,-15828.7918,488.5486884,-45959.418699999995,-15340.2431116,-61299.661811599995
39,22778.5019,-65026.0023,-15994.5137,490.48363728000004,-42247.500400000004,-15504.03006272,-57751.53046272
40,23220.5428,-65458.4285,-15724.232,490.15913975999996,-42237.8857,-15234.07286024,-57471.958560240004
41,24749.4055,-65540.8907,-15615.5115,487.26446760000005,-40791.4852,-15128.2470324,-55919.732232400005
42,25573.9373,-65567.1441,-15650.0017,479.60578944,-39993.2068,-15170.39591056,-55163.60271056
43,24115.9966,-65554.8205,-15622.0304,481.30556328,-41438.8239,-15140.724836719999,-56579.548736720004
44,24507.6249,-65556.189,-15780.597,487.53347904000003,-41048.5641,-15293.06352096,-56341.627620960004
45,21239.592,-65631.9715,-15549.3238,486.63009647999996,-44392.379499999995,-15062.69370352,-59455.07320351999
46,25322.5588,-65603.152,-15636.4292,484.22565359999993,-40280.5932,-15152.2035464,-55432.7967464
47,21815.2605,-65942.3443,-15463.626,487.45627056,-44127.08379999999,-14976.16972944,-59103.25352944
48,23747.6208,-65546.5305,-15746.0141,486.27752111999996,-41798.90969999999,-15259.73657888,-57058.64627887999
49,22315.331,-65719.3981,-15578.455,483.98314032,-43404.06710000001,-15094.47185968,-58498.53895968001
50,20513.5942,-65835.5279,-15519.2049,477.30521447999996,-45321.9337,-15041.89968552,-60363.83338552
51,22506.1321,-65495.143,-15782.0612,478.48330079999994,-42989.010899999994,-15303.5778992,-58292.58879919999
52,23325.4172,-65753.2659,-15523.4004,479.12897879999997,-42427.8487,-15044.271421200001,-57472.1201212
53,23408.0033,-65736.392,-15470.03,482.77455696,-42328.38870000001,-14987.255443040001,-57315.64414304001
54,20929.3282,-65634.3606,-15725.7677,488.49445008000004,-44705.0324,-15237.273249920001,-59942.305649919996
55,23031.4585,-65846.4936,-15383.0559,488.23453872,-42815.0351,-14894.82136128,-57709.856461280004
56,26554.2092,-66050.3648,-15268.1661,487.2605148,-39496.1556,-14780.9055852,-54277.0611852
57,25265.2654,-66057.0894,-15154.7073,482.67763776000004,-40791.82399999999,-14672.02966224,-55463.85366223999
58,21554.7553,-66358.8324,-14905.0512,479.24925984000004,-44804.077099999995,-14425.80194016,-59229.87904016
59,23672.333,-66115.5054,-15092.31,475.12438488,-42443.172399999996,-14617.185615119999,-57060.35801511999
60,22717.0914,-66021.8853,-15117.233,477.60451919999997,-43304.79389999999,-14639.6284808,-57944.42238079999
61,21814.4749,-66235.7161,-15145.5757,482.77689984,-44421.241200000004,-14662.798800159999,-59084.04000016001
62,22148.1383,-66076.8877,-15095.0851,476.55972719999994,-43928.74940000001,-14618.5253728,-58547.27477280001
63,23693.2678,-66351.6815,-15035.7893,482.16622824,-42658.413700000005,-14553.623071760001,-57212.03677176001
64,23651.7072,-66198.8505,-15291.6499,482.11043256000005,-42547.143299999996,-14809.53946744,-57356.68276744
65,23854.0396,-65869.1079,-15370.6259,487.27257552,-42015.0683,-14883.353324479998,-56898.42162448
66,23841.3215,-66207.4733,-15149.5483,483.63845544,-42366.1518,-14665.909844560001,-57032.06164456
67,24290.6702,-65940.6329,-15357.1523,487.07141328,-41649.9627,-14870.08088672,-56520.04358672
68,23063.7953,-66032.0613,-15252.7114,487.91306736,-42968.266,-14764.79833264,-57733.06433264
69,24413.5351,-65961.9959,-15318.1796,487.47280680000006,-41548.46079999999,-14830.706793199999,-56379.16759319999
70,22966.1853,-66018.6546,-15257.5532,483.91851672,-43052.4693,-14773.63468328,-57826.10398328
71,25547.433,-65955.2431,-15224.6198,480.98724984,-40407.8101,-14743.63255016,-55151.44265016
72,22911.885,-66028.026,-15225.5562,487.23006383999996,-43116.141,-14738.326136160002,-57854.467136160005
73,23422.9488,-66010.7904,-15265.6699,484.35097679999996,-42587.8416,-14781.3189232,-57369.1605232
74,25112.7605,-65996.4137,-15321.9629,483.81733296,-40883.6532,-14838.145567040001,-55721.798767039996
75,21244.6202,-65860.4791,-15362.5284,485.65565639999994,-44615.85889999999,-14876.872743599999,-59492.73164359999
76,22524.4725,-66016.6584,-15332.3621,485.14147344,-43492.1859,-14847.22062656,-58339.40652655999
77,21030.6556,-66116.8575,-15252.5065,482.90218631999994,-45086.2019,-14769.60431368,-59855.80621368
78,22037.656,-65943.5543,-15273.9049,485.76407976,-43905.8983,-14788.14082024,-58694.03912024
79,19650.1574,-65951.3735,-15321.2064,494.34903863999995,-46301.216100000005,-14826.857361359998,-61128.07346136
80,22022.4387,-65657.9122,-15503.0292,490.33680624,-43635.47350000001,-15012.69239376,-58648.165893760015
81,24658.0591,-65542.548,-15512.3135,492.11782344,-40884.4889,-15020.19567656,-55904.68457656
82,26468.6671,-65620.1145,-15609.9235,487.97525160000004,-39151.4474,-15121.9482484,-54273.395648399994
83,22216.7774,-65434.6363,-15672.0884,492.10780896,-43217.8589,-15179.980591040001,-58397.83949104
84,24742.338,-65220.3255,-15802.5525,498.4113103199999,-40477.9875,-15304.14118968,-55782.12868968
85,23708.6843,-65296.0058,-15833.7916,499.26210768000004,-41587.3215,-15334.52949232,-56921.85099232
86,24168.9585,-65393.6627,-15655.2841,490.08831767999993,-41224.7042,-15165.195782320001,-56389.89998232
87,22557.7021,-65745.7683,-15329.3911,492.18970967999996,-43188.0662,-14837.20139032,-58025.26759032
88,23823.224,-65754.0585,-15495.3079,500.74836624,-41930.8345,-14994.559533759999,-56925.39403376
89,24403.9586,-65499.743,-15693.736,498.34537488,-41095.784400000004,-15195.39062512,-56291.17502512001
90,22134.5847,-65171.7568,-15926.2009,499.17593303999996,-43037.1721,-15427.02496696,-58464.197066960005
91,20997.6342,-65309.676,-15787.7045,496.41272496,-44312.0418,-15291.29177504,-59603.33357504
92,20359.7002,-65080.7688,-15878.0513,494.6185764,-44721.0686,-15383.432723599999,-60104.5013236
93,20386.1748,-65320.453,-15888.081,491.2281576,-44934.2782,-15396.8528424,-60331.1310424
94,21418.0697,-65456.8751,-15724.761,496.21089096000003,-44038.8054,-15228.550109040001,-59267.35550904
95,24593.3323,-64977.237,-16129.9773,501.5922048,-40383.9047,-15628.385095200001,-56012.2897952
96,24300.3026,-65201.0779,-15948.0821,496.3558643999999,-40900.775299999994,-15451.7262356,-56352.50153559999
97,21846.7749,-65385.1326,-15675.9719,491.92364088,-43538.35769999999,-15184.04825912,-58722.40595912
98,24972.2374,-65136.1761,-15806.6561,489.33055511999993,-40163.9387,-15317.325544880001,-55481.264244879996
99,28226.2048,-65214.0983,-15787.1434,483.66064944000004,-36987.8935,-15303.48275056,-52291.37625056
100,24293.7368,-65244.6402,-15768.1107,488.37784967999994,-40950.9034,-15279.732850319999,-56230.63625032

Ligand Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-3.8968,-162.3545,-86.4144,4.26087648,-166.25130000000001,-82.15352352,-248.40482352
1,-4.4937,-163.9801,-76.7216,4.53507264,-168.47379999999998,-72.18652736,-240.66032735999997
2,-2.7015,-171.8424,-71.3021,4.55002848,-174.5439,-66.75207152,-241.29597152
3,-3.4191,-166.8712,-73.4948,4.50387936,-170.29029999999997,-68.99092064,-239.28122063999996
4,-4.6445,-163.8462,-77.1233,4.56760872,-168.4907,-72.55569128,-241.04639128
5,-3.8491,-165.423,-79.6055,4.57735608,-169.2721,-75.02814392,-244.30024392
6,-2.8541,-165.3299,-80.609,4.52572128,-168.184,-76.08327872,-244.26727872
7,-2.4007,-173.8085,-71.875,4.51447848,-176.2092,-67.36052152,-243.56972152
8,-2.6939,-166.5596,-77.0261,4.58048448,-169.2535,-72.44561552,-241.69911552000002
9,-2.9179,-169.9564,-75.8628,4.58134848,-172.8743,-71.28145151999999,-244.15575152
10,-0.5845,-169.6769,-74.4398,4.57859952,-170.26139999999998,-69.86120048000001,-240.12260047999996
11,-3.9613,-170.1112,-72.6485,4.51899072,-174.0725,-68.12950928,-242.20200928
12,-4.4663,-165.9047,-79.6646,4.567993919999999,-170.37099999999998,-75.09660607999999,-245.46760608
13,-3.7063,-167.7907,-78.8427,4.53660984,-171.49699999999999,-74.30609016,-245.80309015999998
14,-3.6955,-157.1459,-85.6721,4.54754088,-160.84140000000002,-81.12455912,-241.96595912000004
15,-1.4503,-170.377,-70.3624,4.5124272,-171.8273,-65.84997279999999,-237.67727280000003
16,-3.6484,-163.1857,-77.9005,4.51789848,-166.8341,-73.38260152,-240.21670152
17,-3.0264,-168.4014,-74.5978,4.55014368,-171.4278,-70.04765632,-241.47545632
18,-3.3374,-167.1982,-83.2856,4.423800239999999,-170.53560000000002,-78.86179976,-249.39739976000004
19,-2.3567,-160.6782,-77.241,4.48088976,-163.0349,-72.76011024,-235.79501023999998
20,-4.7835,-162.1072,-80.9848,4.560976800000001,-166.8907,-76.4238232,-243.31452320000002
21,-3.4025,-164.7401,-80.6897,4.5233028,-168.14260000000002,-76.1663972,-244.30899720000002
22,-2.6646,-164.3824,-78.5003,4.57299216,-167.047,-73.92730784,-240.97430784
23,-2.1947,-167.9801,-73.3336,4.565592,-170.1748,-68.76800800000001,-238.94280799999999
24,-4.3025,-170.9781,-75.8963,4.58054136,-175.28060000000002,-71.31575864,-246.59635864
25,-2.973,-170.2976,-77.5239,4.5681516,-173.2706,-72.9557484,-246.2263484
26,-3.9078,-164.9926,-75.602,4.55016456,-168.90040000000002,-71.05183544,-239.95223544
27,-3.1554,-165.7941,-78.9944,4.55029344,-168.9495,-74.44410656,-243.39360656
28,-3.7631,-164.4843,-76.6588,4.548744,-168.2474,-72.110056,-240.357456
29,-2.1714,-167.6784,-80.4385,4.4494351199999995,-169.84980000000002,-75.98906488,-245.83886488000002
30,-1.5598,-171.95,-79.3001,4.48637328,-173.50979999999998,-74.81372672,-248.32352671999996
31,-3.4552,-167.8663,-77.1975,4.54847184,-171.3215,-72.64902816,-243.97052816000001
32,-4.547,-164.3366,-80.794,4.576273199999999,-168.8836,-76.2177268,-245.10132679999998
33,-4.2964,-166.6692,-80.1117,4.64293224,-170.9656,-75.46876775999999,-246.43436776
34,-3.2165,-168.2827,-76.5522,4.57291584,-171.4992,-71.97928415999999,-243.47848416
35,-3.0284,-166.6487,-76.4998,4.60536408,-169.6771,-71.89443591999999,-241.57153592
36,-2.966,-158.3616,-86.1264,4.5213228,-161.32760000000002,-81.60507720000001,-242.9326772
37,-3.0369,-166.9916,-74.9405,4.53099816,-170.0285,-70.40950184,-240.43800184
38,-3.2542,-172.5195,-76.1394,4.6032372,-175.7737,-71.5361628,-247.3098628
39,-3.1029,-166.1492,-75.8093,4.5547344,-169.2521,-71.25456559999999,-240.5066656
40,-3.796,-162.4447,-83.2062,4.58612928,-166.2407,-78.62007072,-244.86077072
41,-4.3214,-173.6893,-72.8598,4.58233056,-178.0107,-68.27746944,-246.28816944000002
42,-3.1332,-167.1281,-81.9902,4.592231999999999,-170.26129999999998,-77.397968,-247.65926799999997
43,-2.8746,-171.2545,-75.7587,4.5596592,-174.1291,-71.1990408,-245.3281408
44,-1.7672,-169.8533,-78.9743,4.57835544,-171.6205,-74.39594456,-246.01644456
45,-2.62,-161.1355,-81.2419,4.5219096,-163.7555,-76.7199904,-240.47549040000004
46,-3.3188,-164.5764,-76.3276,4.55799312,-167.89520000000002,-71.76960688,-239.66480688000001
47,-3.113,-174.0527,-74.0696,4.58110728,-177.1657,-69.48849272,-246.65419272
48,-2.1268,-168.8042,-72.6468,4.60418472,-170.931,-68.04261527999999,-238.97361528000002
49,-1.9504,-172.3824,-70.255,4.48563024,-174.3328,-65.76936975999999,-240.10216975999998
50,-3.82,-160.4523,-80.7567,4.5617507999999996,-164.2723,-76.1949492,-240.4672492
51,-4.1655,-165.8093,-79.3362,4.53530304,-169.97480000000002,-74.80089696,-244.77569696000003
52,-3.684,-167.0313,-74.8996,4.54724784,-170.71529999999998,-70.35235216000001,-241.06765215999997
53,-3.1755,-172.8868,-74.9888,4.52938176,-176.0623,-70.45941823999999,-246.52171823999998
54,-3.1264,-165.0891,-77.7065,4.5570851999999995,-168.2155,-73.1494148,-241.3649148
55,-2.8531,-168.5393,-80.2994,4.49968536,-171.3924,-75.79971464,-247.19211464
56,-4.2424,-165.5977,-76.9112,4.6117044,-169.8401,-72.2994956,-242.1395956
57,-2.5221,-170.6915,-70.8522,4.529064239999999,-173.21359999999999,-66.32313576,-239.53673575999997
58,-4.5905,-161.4899,-83.5483,4.55951232,-166.0804,-78.98878768,-245.06918767999997
59,-2.7846,-168.3245,-79.6637,4.5901727999999995,-171.1091,-75.0735272,-246.1826272
60,-3.8592,-167.3575,-74.8726,4.551984,-171.21669999999997,-70.320616,-241.53731599999998
61,-3.4211,-164.7267,-77.1552,4.58877312,-168.1478,-72.56642688,-240.71422687999998
