GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
321,3634.92,8790.82,10039.24,1021.16,555.9,-2909.97,-5399.2,-57637.45,2469.47,45855.73,-14547.46,533.27,6420.61,-14014.19,-7593.57
331,3825.14,8892.01,10055.35,1031.3,514.03,-2947.99,-5383.51,-57383.57,2440.18,45604.47,-14640.4,532.33,6647.41,-14108.07,-7460.67
341,3715.04,8810.8,10092.05,991.73,536.33,-2888.08,-5372.35,-57536.04,2424.85,45780.22,-14681.81,536.3,6554.54,-14145.51,-7590.97
351,3756.76,8732.49,10039.45,983.97,573.29,-2934.75,-5381.79,-57501.11,2458.7,45735.92,-14533.45,536.76,6462.93,-13996.7,-7533.77
361,3693.07,8727.58,10029.43,1010.42,528.44,-2906.06,-5400.21,-57068.92,2468.13,45810.17,-14914.61,534.96,6892.04,-14379.66,-7487.61
371,3807.68,8742.89,10117.62,1003.76,530.14,-2942.15,-5393.88,-57144.7,2409.1,45723.02,-14887.24,538.05,6853.5,-14349.19,-7495.7
381,3676.27,8683.17,10057.88,1007.77,557.24,-2941.64,-5402.21,-57122.31,2431.93,45798.43,-14886.6,537.09,6746.52,-14349.51,-7602.99
391,3784.77,8858.05,10001.11,1032.34,558.22,-2920.52,-5479.42,-56936.64,2433.7,45686.52,-14968.37,538.52,7018.14,-14429.85,-7411.71
401,3765.09,8810.45,10048.98,1021.24,527.68,-2960.02,-5401.64,-57260.25,2426.96,45705.52,-14744.25,538.6,6684.01,-14205.65,-7521.64
411,3758.39,8833.99,9974.83,987.79,551.57,-2974.14,-5350.49,-57425.86,2445.13,45735.38,-14594.95,536.14,6536.61,-14058.81,-7522.2
421,3782.97,8839.48,10073.77,1005.13,567.32,-3015.33,-5420.79,-57549.22,2467.63,45870.83,-14580.34,527.94,6621.79,-14052.4,-7430.61
431,3693.98,8817.42,10081.67,1015.62,534.13,-2977.43,-5475.62,-57446.34,2434.67,45772.95,-14584.9,529.32,6451.04,-14055.58,-7604.53
441,3605.97,8763.59,10030.36,995.34,564.06,-2973.47,-5431.83,-57462.45,2445.6,45820.82,-14663.64,536.75,6357.98,-14126.88,-7768.9
451,3772.95,8923.02,10012.76,1023.83,545.64,-2989.79,-5435.4,-57564.57,2408.46,45741.77,-14493.25,534.87,6438.68,-13958.38,-7519.7
461,3750.59,8821.5,10041.82,998.35,518.96,-2985.36,-5403.8,-57444.88,2413.48,45848.54,-14658.19,532.98,6559.21,-14125.22,-7566.0
471,3636.63,8752.4,10064.82,996.83,526.42,-2948.76,-5435.3,-57787.41,2477.39,45904.26,-14435.66,535.98,6187.27,-13899.68,-7712.41
481,3744.95,8811.45,10080.78,1017.62,522.11,-3002.61,-5442.77,-57422.17,2457.6,45810.85,-14744.12,535.31,6577.8,-14208.8,-7631.0
491,3717.04,8801.13,10012.16,1032.84,527.17,-2978.06,-5515.45,-57623.69,2462.21,45872.07,-14541.36,532.61,6307.43,-14008.74,-7701.32
501,3827.02,8862.83,10067.42,991.51,562.28,-3053.15,-5459.87,-57514.56,2401.95,45819.5,-14559.97,526.5,6504.93,-14033.47,-7528.55
511,3808.16,8757.05,10036.95,988.25,534.28,-3048.62,-5375.89,-57194.95,2428.94,45711.71,-14837.59,528.07,6645.88,-14309.52,-7663.64
521,3814.51,8863.28,10054.98,988.91,563.57,-3027.56,-5430.68,-57541.57,2455.33,45813.24,-14515.25,528.36,6554.01,-13986.89,-7432.88
531,3707.32,8777.18,10014.54,976.25,537.17,-3060.49,-5482.43,-57454.86,2462.44,45707.29,-14449.92,531.84,6184.4,-13918.07,-7733.67
541,3796.58,8782.14,9990.8,1004.16,558.72,-3068.04,-5415.99,-57435.5,2454.22,45780.63,-14671.74,537.46,6447.71,-14134.29,-7686.58
551,3803.84,8748.0,10019.48,1007.43,515.96,-3035.45,-5377.27,-57762.31,2453.11,45784.93,-14280.82,536.83,6157.73,-13743.98,-7586.25
561,3676.67,8832.0,10013.09,1012.75,530.35,-3082.84,-5404.47,-57875.19,2468.64,45930.15,-14288.05,536.03,6101.15,-13752.03,-7650.87
571,3707.78,8783.54,10024.38,1005.27,541.08,-3039.62,-5442.3,-58068.21,2419.59,45817.04,-14136.89,531.5,5748.54,-13605.38,-7856.84
581,3664.63,8833.34,10029.28,1017.75,571.69,-3020.59,-5466.82,-58442.19,2459.25,46037.32,-13877.24,527.15,5683.66,-13350.09,-7666.43
591,3716.75,8685.39,9994.73,1022.16,517.29,-3005.09,-5467.37,-58267.57,2471.85,46001.34,-13962.86,524.17,5669.49,-13438.69,-7769.2
601,3736.16,8899.59,9972.99,1003.66,529.12,-3010.38,-5484.3,-58076.24,2407.24,45784.13,-14035.35,527.18,5761.97,-13508.17,-7746.2
611,3746.32,8839.08,10039.74,1011.42,554.05,-3003.41,-5431.74,-58185.17,2431.42,45926.5,-14055.52,530.74,5928.22,-13524.79,-7596.56
621,3719.93,8800.41,10001.18,1000.97,535.13,-3001.62,-5521.64,-58038.79,2473.72,45818.45,-14066.83,525.81,5787.74,-13541.02,-7753.28
631,3691.94,8866.28,9982.41,1017.27,549.15,-3016.64,-5455.53,-58239.51,2456.0,45884.95,-14015.85,530.65,5736.32,-13485.2,-7748.88
641,3690.2,8600.3,10005.59,1005.64,544.13,-2989.16,-5417.04,-58009.27,2475.7,46027.97,-14266.16,530.38,5934.05,-13735.79,-7801.73
651,3689.75,8849.6,9969.85,1003.45,556.93,-3028.82,-5461.2,-57781.23,2460.61,45974.87,-14372.26,535.47,6233.81,-13836.79,-7602.97
661,3742.34,8733.82,10004.63,1025.2,534.93,-3007.89,-5432.91,-58065.25,2437.15,45919.85,-14131.76,532.54,5891.87,-13599.23,-7707.36
