key,input,sexual_stage,asexual_blood_stage
7514855889b544e289f8cc232ccfdbe6,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,0.1760678382399667,0.38431864170516544
17e4664547f3f4876ecb216a68c8f179,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,0.9999914121558876,0.6283246458771568
d0565023ffe529df43cb3964a347bdc2,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,0.15373554196361583,0.4753919301420639
17f34c6225a9890fa55fad168e48f144,COc1cc2ccc(=O)oc2cc1OC,0.018833563793768746,0.6225211597111524
56b9dac052b9f2b417cd10b49c296a6f,COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,0.997026967953867,0.7935748127488493
4e9297d997dd7a53e4d716e7b648625a,O=C(O)C=Cc1ccc(O)cc1,0.06190160458421794,0.6096249146137452
8358e346a634daa993d0c2f66b366981,CC(C)=CCOc1ccc2ccc(=O)oc2c1,0.05184234463644243,0.7391803409311407
35fb5149d7da25ede0e355d338fc3ae4,CC(C)=CCc1c2c(c(O)c3c1O[C@H](c1ccc(O)cc1)CC3=O)C=CC(C)(C)O2,0.16615065188835376,0.49321152119404327
c62fa2d9d86fbc49be5228fad7bfb583,O=C(O)C=Cc1ccccc1,0.09873694631836642,0.7209788368238108
2c8296fd99a487fda3afd0b80cdd4a39,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,0.4293227384879998,0.4423693651382729
a73c2aa7263f8b1be4a1b418916f5233,O=c1c(O)cc2c(O)oc3c(=O)c(O)cc4c(O)oc1c2c43,0.7907006822460095,0.5824246564771999
8b53eed9016208aadd41ca9719ea6e19,CC1=CC(=O)c2c(O)cccc2C1=O,0.13385921221152633,0.6832607568191589
