,cyp2c9,cyp2c19,cyp3a4,cyp2d6,cyp2c9_norm,cyp2c19_norm,cyp3a4_norm,cyp2d6_norm
count,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0
mean,0.2612859468564117,0.4239415809144236,0.42604315054762476,0.1702325662752175,0.43668498456713156,0.47786595207557725,0.5195496628810956,0.5153034237622786
std,0.332270197262662,0.36922565552856557,0.3695941735550327,0.3362734726958428,0.28615908514379423,0.30291965644954966,0.2905538971296319,0.3085622789480095
min,4.0222111075140224e-05,0.00017513917,5.2137093e-05,1.421658829441731e-09,0.0009920010788955,0.0006725365529932,0.0047497590521716,0.0005409495154485
25%,0.006338058794715,0.0501361055,0.060564724,1.6129416276684646e-05,0.18322727035236394,0.21030112206600016,0.2773025447960001,0.24695342814725155
50%,0.0816997454858982,0.34612153,0.33825925,0.00065208742856375,0.41992597198170667,0.4733223629968027,0.5166244422541064,0.5217800197370925
75%,0.48646984596685794,0.822758475,0.8095998200000001,0.07631929613860988,0.671377815984539,0.7510840619206431,0.7740765898345026,0.7912257629264646
max,0.9985028117763932,0.99963474,0.9996921,0.9999991350639392,0.9985503522384566,0.9999770341361692,0.9998004977946726,0.9997573525453468
