target,pdb,n_ligands,pearson_r,p_value
PfDHFR,7F3Y,280,0.3270226547736761,2.1134374971071273e-08
PfCRT,6UKJ,64,0.12941392753125258,0.3081079980351199
PfATP4,9N10,447,0.11314603512297544,0.01670362359278122
PfClpP,4GM2,447,0.3605955974228714,3.581073572023287e-15
