rank,smiles,weighted_mpo_score,syba_score,sa_score,qed,SI
1,Cc1ccc(CN2CCN(Cc3ccccc3)CC2)cc1O,0.8290711579391743,109.009128542463,1.717803886032911,0.9392894157778215,
2,Cc1ccccc1CN1CCN(Cc2cccc(O)c2)CC1,0.8277023498021598,124.90983842648414,1.7588231168021409,0.9392894157778215,
3,Cc1cc(CN2CCN(Cc3ccccc3)CC2)ccc1O,0.8264928665932167,100.62995401450532,1.712563982186758,0.9392894157778215,
4,COc1ccc(CN2CCN(Cc3ccccc3C)CC2)cc1O,0.8261630296263884,133.7490873823247,1.8366348106789816,0.9160990828814132,
5,Oc1cccc(CN2CCN(Cc3ccc(Cl)cc3)CC2)c1,0.8258336306576437,116.03120543749006,1.7104524437252202,0.9366534556503484,
6,Cc1ccc(CN2CCN(Cc3ccc(O)cc3)CC2)c(C)c1,0.8258122669581567,122.02917625862126,1.797630682064744,0.9381928014699608,
7,COc1ccc(CN2CCN(Cc3ccc(C)c(O)c3)CC2)cc1,0.8255072698989205,119.13817860348551,1.7965812989732957,0.9160990828814132,
8,Cc1ccc(CN2CCN(Cc3cccc(O)c3)CC2)c(C)c1,0.8250910599498673,129.53344363250008,1.8544565561906177,0.9381928014699608,
9,Oc1ccc(CN2CCN(Cc3ccccc3)CC2)cc1Cl,0.8250280615146699,113.7965047204685,1.717948837955987,0.9366534556503484,
10,Oc1ccc(CN2CCN(Cc3ccccc3Cl)CC2)cc1,0.8238108721944248,122.52503837783053,1.7068978764175269,0.9366534556503484,
11,COc1cccc(CN2CCN(Cc3ccc(C)c(O)c3)CC2)c1,0.8237178405169827,120.90292258085648,1.8459940080033943,0.9160990828814132,
12,Cc1ccc(CN2CCN(Cc3cc(O)ccc3C)CC2)cc1,0.8231585404961281,106.234119048314,1.8157502624843216,0.9381928014699608,
13,Oc1cccc(CN2CCN(Cc3ccccc3Cl)CC2)c1,0.8229730114023153,128.9838711472429,1.765499559109834,0.9366534556503484,
14,COc1ccc(CN2CCN(Cc3ccc(O)c(C)c3)CC2)cc1,0.822904284215116,110.75900407552784,1.7917210983044,0.9160990828814132,
15,Oc1ccc(CN2CCN(Cc3ccccc3)CC2)c(Cl)c1,0.8227858678114615,113.45173531890504,1.7591844148790656,0.9366534556503484,
16,COc1ccc(CN2CCN(Cc3cccc(O)c3C)CC2)cc1,0.8223987631388305,116.50236668431644,1.8680575531538963,0.9160990828814132,
17,Oc1ccc(CN2CCN(Cc3cccc(Cl)c3)CC2)cc1,0.8221699591039671,115.2419075434186,1.7069108571867575,0.9366534556503484,
18,COc1ccc([C@@H]2CC(=O)c3c(O)cc(OC)cc3O2)cc1,0.8215559778367194,41.36433614637505,2.621150001307109,0.9431599110333964,
19,Oc1ccc(CN2CCN(Cc3ccc(Cl)cc3)CC2)cc1,0.8214987133645937,87.88915087682119,1.651850761032911,0.9366534556503484,
20,COc1cccc(CN2CCN(Cc3ccc(O)c(C)c3)CC2)c1,0.8211148548331781,112.52374805289872,1.8411338073345007,0.9160990828814132,
