protein_a	protein_b	score
PF3D7_0417200	PF3D7_1457500	642
PF3D7_0417200	A0A144A2M6	642
PF3D7_0417200	PF3D7_1415700	642
PF3D7_0417200	PF3D7_0307400	642
PF3D7_0417200	PF3D7_1134700	641
PF3D7_0417200	PF3D7_0306900	640
PF3D7_0417200	MAL3P3.6	640
PF3D7_0417200	PF3D7_1036800	637
PF3D7_0417200	PF3D7_0608700	636
PF3D7_0417200	PF3D7_1133800	636
PF3D7_0417200	PF3D7_1229500	636
PF3D7_0417200	PF3D7_1117800	635
PF3D7_0417200	PF3D7_1347200	635
PF3D7_0417200	PF3D7_1208300	634
PF3D7_0417200	PF3D7_0208500	634
PF3D7_0417200	PF3D7_1453500	633
PF3D7_0417200	PF3D7_0510500	633
PF3D7_0417200	PF3D7_1108400	632
PF3D7_0417200	PF3D7_0623200	632
PF3D7_0417200	PF3D7_1454700	632
PF3D7_0417200	PF3D7_0516500	632
PF3D7_0417200	PF3D7_1450300	632
PF3D7_0417200	PF3D7_1472200	632
PF3D7_0417200	PF3D7_1431600	632
PF3D7_0417200	PF3D7_0211400	632
PF3D7_0417200	PF3D7_1412600	632
PF3D7_0417200	PF3D7_1129000	632
PF3D7_0417200	Adss	632
PF3D7_0417200	PF3D7_1008000	632
PF3D7_0417200	PGK	632
PF3D7_0417200	PF14_0511	632
PF3D7_0417200	PF3D7_0923200	632
PF3D7_0417200	PF3D7_1332600	626
PF3D7_0417200	PF3D7_1306300	623
PF3D7_0417200	PF3D7_1357000	623
PF3D7_0417200	PF3D7_0614300	620
PF3D7_0417200	PF3D7_0206200	620
PF3D7_0417200	PF3D7_1428200	620
PF3D7_0417200	PF3D7_0615500	618
PF3D7_0417200	PF3D7_0726300	616
PF3D7_0417200	PF3D7_0927700	616
PF3D7_0417200	PF3D7_1212800	615
PF3D7_0417200	CRK2	613
PF3D7_0417200	PF3D7_1127300	612
PF3D7_0417200	PF3D7_1337100	605
PF3D7_0417200	PF3D7_1318100	605
PF3D7_0417200	PF3D7_1214600	605
PF3D7_0417200	PF3D7_0107800	603
PF3D7_0417200	C0H477_PLAF7	601
PF3D7_0417200	PF3D7_0419400	600
PF3D7_0417200	PF3D7_1417800	599
PF3D7_0417200	PF3D7_0518300	596
PF3D7_0417200	PF3D7_0703900	596
PF3D7_0417200	PF3D7_0606600	596
PF3D7_0417200	PF3D7_1014300	596
PF3D7_0417200	MAL3P6.3	595
PF3D7_0417200	MCM7	593
PF3D7_0417200	PF3D7_1234300	593
PF3D7_0417200	PF3D7_0509100	591
PF3D7_0417200	PF3D7_0925400	591
PF3D7_0417200	PF3D7_0416300	586
PF3D7_0417200	PF3D7_1472700	586
PF3D7_0417200	PF3D7_1469200	585
PF3D7_0417200	PF3D7_1206000	585
PF3D7_0417200	PF3D7_1466100	585
PF3D7_0417200	PF3D7_1414400	585
PF3D7_0417200	PF3D7_1241700	582
PF3D7_0417200	PF3D7_0314400	582
PF3D7_0417200	PF3D7_0802800	582
PF3D7_0417200	PF3D7_0527000	582
PF3D7_0417200	tufA	581
PF3D7_0417200	PF3D7_1330600	581
PF3D7_0417200	PF3D7_1143300	578
PF3D7_0417200	PF3D7_0923000	578
PF3D7_0417200	PF3D7_1307600	578
PF3D7_0417200	PF3D7_1404500	576
PF3D7_0417200	PF3D7_0811900	576
PF3D7_0417200	PF3D7_1336900	574
PF3D7_0417200	PF3D7_1251700	574
PF3D7_0417200	PF3D7_0934000	573
PF3D7_0417200	PF3D7_1444500	573
PF3D7_0417200	PF3D7_0107600	573
PF3D7_0417200	PF3D7_1445100	573
PF3D7_0417200	PF3D7_1428500	573
PF3D7_0417200	PF3D7_1366500	571
PF3D7_0417200	PF3D7_0508800	570
PF3D7_0417200	PF3D7_0722400	568
PF3D7_0417200	PF3D7_0417100	567
PF3D7_0417200	PF3D7_1430600	567
PF3D7_0417200	PF3D7_0305600	567
PF3D7_0417200	PF3D7_0523000	567
PF3D7_0417200	PF3D7_0605600	555
PF3D7_0417200	PF3D7_0609400	552
PF3D7_0417200	PF3D7_0820200	552
PF3D7_0417200	PF3D7_0419600	550
PF3D7_0417200	PFD0685c	550
PF3D7_0417200	PF3D7_0524600	545
PF3D7_0417200	PF3D7_0212200	545
PF3D7_0417200	PF3D7_1338300	545
PF3D7_0417200	PF3D7_0504600	540
PF3D7_0417200	PF3D7_1446400	540
PF3D7_0417200	PF3D7_0215800	534
PF3D7_0417200	PF3D7_1113700	532
PF3D7_0417200	PF3D7_1032400	529
PF3D7_0417200	PF3D7_1434600	528
PF3D7_0417200	PF3D7_1132800	528
PF3D7_0417200	PF3D7_0913900	527
