| Run on Wed Aug 19 07:23:32 2026
|
|gmx_MMPBSA Version=v1.5.0.3 based on MMPBSA.py v.16.0
|Complex Structure file:                /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-02_PfDHFR_C59R/runs/20260816T192131Z/replicate_1/production.tpr
|Complex (GROMACS) topology file:       /home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/results/md_systems/set_c_preparation_20260812_v1/PP-02_PfDHFR_C59R/runs/20260816T192131Z/replicate_1/topol.top
|Complex (AMBER) topology file:                                       COM.prmtop
|Receptor (AMBER) topology file:                                      REC.prmtop
|Ligand (AMBER) topology file:                                        LIG.prmtop
|Initial trajectories:                                            COM_traj_0.xtc
|
|Receptor mask:                  ":1-1093"
|Ligand mask:                    ":1094"
|Ligand residue name is:         "MOL0"
|
|Calculations performed using 100 complex frames
|
|Generalized Born ESURF calculated using 'LCPO' surface areas
|
|Using temperature = 298.15 K)
|All units are reported in kcal/mol
|
|SD - Sample standard deviation, SEM - Sample standard error of the mean
|SD(Prop.), SEM(Prop.) - SD and SEM obtained with propagation of uncertainty formula
|https://en.wikipedia.org/wiki/Propagation_of_uncertainty#Example_formulae
|
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------

GENERALIZED BORN:

Complex:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   3833.84         50.92      50.92         5.09       5.09
ANGLE                  8959.34         70.22      70.22         7.02       7.02
DIHED                 11832.33         38.53      38.53         3.85       3.85
UB                     1215.34         15.09      15.09         1.51       1.51
IMP                     613.87         17.22      17.22         1.72       1.72
CMAP                   -567.61         19.83      19.83         1.98       1.98
VDWAALS               -8291.18         55.23      55.23         5.52       5.52
EEL                  -72171.69        206.57     206.57        20.66      20.66
1-4 VDW                3746.14         28.55      28.55         2.86       2.86
1-4 EEL               48122.72         88.89      88.89         8.89       8.89
EGB                  -13357.43        170.05     170.05        17.01      17.01
ESURF                   410.08          4.62       4.62         0.46       0.46

GGAS                  -2706.91        253.70     210.24        25.37      21.02
GSOLV                -12947.35        170.11     169.38        17.01      16.94

TOTAL                -15654.26        305.45     114.04        30.55      11.40

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Receptor:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                   3819.34         51.17      51.17         5.12       5.12
ANGLE                  8930.10         70.05      70.05         7.00       7.00
DIHED                 11793.14         38.82      38.82         3.88       3.88
UB                     1215.34         15.09      15.09         1.51       1.51
IMP                     613.87         17.22      17.22         1.72       1.72
CMAP                   -567.61         19.83      19.83         1.98       1.98
VDWAALS               -8241.51         54.47      54.47         5.45       5.45
EEL                  -72136.14        206.60     206.60        20.66      20.66
1-4 VDW                3715.39         28.84      28.84         2.88       2.88
1-4 EEL               48123.39         88.66      88.66         8.87       8.87
EGB                  -13370.59        170.16     170.16        17.02      17.02
ESURF                   412.11          4.54       4.54         0.45       0.45

GGAS                  -2734.68        253.56     210.65        25.36      21.07
GSOLV                -12958.48        170.22     169.42        17.02      16.94

TOTAL                -15693.17        305.40     113.92        30.54      11.39

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Ligand:
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
BOND                     14.49          2.98       2.98         0.30       0.30
ANGLE                    29.24          4.04       4.04         0.40       0.40
DIHED                    39.19          4.45       4.45         0.44       0.44
UB                        0.00          0.00       0.00         0.00       0.00
IMP                       0.00          0.00       0.00         0.00       0.00
CMAP                      0.00          0.00       0.00         0.00       0.00
VDWAALS                  -6.72          1.56       1.56         0.16       0.16
EEL                     -23.85          1.43       1.43         0.14       0.14
1-4 VDW                  30.75          2.41       2.41         0.24       0.24
1-4 EEL                  -0.68          1.88       1.88         0.19       0.19
EGB                     -18.34          1.07       1.07         0.11       0.11
ESURF                     3.67          0.07       0.07         0.01       0.01

GGAS                     82.43          7.67       5.02         0.77       0.50
GSOLV                   -14.67          1.07       1.03         0.11       0.10

TOTAL                    67.76          7.74       4.93         0.77       0.49

-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
Delta (Complex - Receptor - Ligand):
Energy Component       Average     SD(Prop.)         SD   SEM(Prop.)        SEM
-------------------------------------------------------------------------------
ΔBOND                    -0.00          2.73       0.00         0.27       0.00
ΔANGLE                   -0.00          3.86       0.00         0.39       0.00
ΔDIHED                   -0.00          4.15       0.00         0.41       0.00
ΔUB                       0.00          0.00       0.00         0.00       0.00
ΔIMP                      0.00          0.00       0.00         0.00       0.00
ΔCMAP                     0.00          0.00       0.00         0.00       0.00
ΔVDWAALS                -42.96          0.81       2.83         0.08       0.28
ΔEEL                    -11.70          1.40       2.77         0.14       0.28
Δ1-4 VDW                  0.00          2.13       0.00         0.21       0.00
Δ1-4 EEL                  0.00          1.65       0.00         0.16       0.00
ΔEGB                     31.50          0.96       2.94         0.10       0.29
ΔESURF                   -5.70          0.01       0.37         0.00       0.04

ΔGGAS                   -54.66          1.62       3.79         0.16       0.38
ΔGSOLV                   25.81          0.96       2.78         0.10       0.28

ΔTOTAL                  -28.85          1.88       2.72         0.19       0.27
-------------------------------------------------------------------------------
-------------------------------------------------------------------------------
