method,seed,smiles,mds_x,mds_y
ga,3,O=C(O)CC(c1ccncc1)c1ccsc1,-0.57851,-0.19597
ga,4,CC(O)(c1cnsc1)C1(Cc2ccsc2)CCOC1,0.15557,-0.14266
ga,5,CN(CC(=O)O)c1ccc2ccccc2n1,0.17798,0.53958
ga,6,CN(CC(=O)O)c1ccc2ccccc2n1,0.17798,0.53958
ga,7,CC(C)(C)C(C)(Nc1ccc2ccccc2n1)C1COCCN1,-0.52371,0.29331
ga,8,COC(c1ccncc1)C1(Cc2cncnc2)CCNCC1,-0.48727,-0.36274
ga,9,COC(c1ccccc1)(C(C)O)C1(C)CCSC1,-0.10634,-0.25043
ga,10,c1ncc(C(c2ccoc2)C2CCNCC2)cn1,0.59397,0.12289
ga,11,COCC1(Nc2ccc3ccccc3n2)CCCN2CCCC21C,-0.38839,0.47831
ga,12,CC(c1ccoc1)C(C)(NC(N)=O)C(C)(C)CC(C)(C)C,0.55018,0.3041
ga,13,CCC(C)(c1ccncc1)C1(C)CCOC1,-0.401,-0.03272
ga,14,CC(O)C(CC(C)(C)C)(c1ccsc1)N(C)C,0.37009,-0.45349
ga,15,CC(CN)C(C)(c1ccsc1)C1(C)CCSC1,0.1483,-0.51432
ga,16,CC(O)C1(Nc2ccc3ccccc3n2)CCCN2CCCC21C,-0.28453,0.35971
ga,17,CC(O)C(c1ccsc1)N(C)C,0.49887,-0.34657
ga,18,CC(N)(C1CCOC1)C1(Cc2ccsc2)CCSC1,-0.00879,-0.57379
ga,19,CC(C)C(C)(O)C(c1cnsc1)C(C)(O)c1ccoc1,0.56933,-0.08821
