mpo,syba,rrs,pns
0.9456648615736709,0.9065429338014617,0.13432836532592773,1.0
0.8204012541927845,0.9918201757466414,0.15909090638160706,1.0
0.9342832656902572,0.8902299173377176,0.13698630034923553,1.0
0.774948874103004,0.9991056421224184,0.16326530277729034,1.0
0.8510109827273715,0.9995024616635138,0.062499999999999986,1.0
0.8890543358011965,0.9547563423714228,0.15942029654979706,0.0
0.8835308568813003,0.9758814477588671,0.13793103396892548,0.0
0.9003236656310071,0.999324196159841,0.09459459781646729,0.0
0.9007857827668598,0.9651758894915032,0.1269841343164444,0.0
0.8975320254089871,0.9763668341265642,0.09803921729326248,0.0
0.7786494095887488,0.9935182071891507,0.140625,0.0
