fragment_set,mean_reward,std_reward,n,sem
all,0.6240042,0.005620258471715428,10,0.0017772817809477775
aromatic_only,0.5497144,0.0030395579064506633,10,0.0009611926064357101
medium,0.6283494000000001,0.004844000715661954,10,0.001531807524897744
minimal,0.6182665,0.009660967690776245,10,0.003055066230415021
