arm,random,random_status,scaffold,scaffold_status,butina,butina_status
ECFP4-RF,0.943299399145735,COMPUTED,0.8299833601246377,COMPUTED,0.8330510186330958,COMPUTED
GIN,0.9098027884267154,COMPUTED,0.8047133582037492,COMPUTED,0.8201801997384759,COMPUTED
GIN-TFP,0.9084104204779335,COMPUTED,0.8138193875957297,COMPUTED,0.8232228417877435,COMPUTED
GIN-TNE,0.8917526974239823,COMPUTED,0.8089648488679142,COMPUTED,0.8190997052426499,COMPUTED
ChemBERTa,0.9120742144095597,COMPUTED,0.7866632804301623,COMPUTED,,RUNNING
