Ligand,Affinity_kcal_mol,Category
ligand_277,-8.228,GOOD
ligand_278,-6.635,OTHERS
ligand_279,-6.567,OTHERS
ligand_27,-6.901,OTHERS
ligand_280,-9.752,EXCELLENT
ligand_281,-6.081,OTHERS
ligand_282,-7.624,GOOD
ligand_283,-7.028,GOOD
ligand_284,-6.138,OTHERS
ligand_285,-6.306,OTHERS
ligand_286,-6.651,OTHERS
ligand_287,-6.811,OTHERS
ligand_288,-6.928,OTHERS
ligand_289,-8.616,GOOD
ligand_28,-5.162,OTHERS
ligand_290,-6.378,OTHERS
ligand_291,-6.7,OTHERS
ligand_292,-6.731,OTHERS
ligand_293,-6.693,OTHERS
ligand_294,-7.438,GOOD
ligand_295,-6.701,OTHERS
ligand_296,-7.679,GOOD
ligand_297,-5.927,OTHERS
ligand_298,-5.821,OTHERS
ligand_299,-7.126,GOOD
ligand_29,-6.663,OTHERS
ligand_2,-6.575,OTHERS
ligand_300,-6.761,OTHERS
ligand_301,-6.232,OTHERS
ligand_302,-8.804,GOOD
ligand_303,-6.412,OTHERS
ligand_304,-6.82,OTHERS
ligand_305,-5.785,OTHERS
ligand_306,-7.471,GOOD
ligand_307,-7.172,GOOD
ligand_308,-6.445,OTHERS
ligand_309,-7.338,GOOD
ligand_310,-6.345,OTHERS
ligand_311,-8.804,GOOD
ligand_312,-5.316,OTHERS
ligand_313,-6.579,OTHERS
ligand_314,-7.654,GOOD
ligand_315,-6.464,OTHERS
ligand_316,-6.954,OTHERS
ligand_317,-6.914,OTHERS
ligand_318,-6.598,OTHERS
ligand_319,-6.429,OTHERS
ligand_31,-9.168,EXCELLENT
ligand_320,-7.587,GOOD
ligand_321,-6.915,OTHERS
ligand_322,-6.638,OTHERS
ligand_323,-8.065,GOOD
ligand_324,-7.718,GOOD
ligand_325,-6.962,OTHERS
ligand_326,-6.501,OTHERS
ligand_327,-6.453,OTHERS
ligand_328,-7.423,GOOD
ligand_329,-5.739,OTHERS
ligand_32,-7.139,GOOD
ligand_330,-4.743,OTHERS
ligand_331,-7.684,GOOD
ligand_333,-7.306,GOOD
ligand_334,-5.716,OTHERS
ligand_335,-7.255,GOOD
ligand_336,-6.888,OTHERS
ligand_337,-5.613,OTHERS
ligand_338,-4.072,OTHERS
ligand_339,-4.481,OTHERS
ligand_33,-5.79,OTHERS
ligand_340,-7.84,GOOD
ligand_341,-5.75,OTHERS
ligand_342,-6.138,OTHERS
ligand_343,-6.965,OTHERS
ligand_344,-4.72,OTHERS
ligand_345,-7.108,GOOD
ligand_346,-6.87,OTHERS
ligand_347,-6.421,OTHERS
ligand_348,-5.509,OTHERS
