pw_alpha,pw_k,virtual_loss,c_puct,temperature,seed,best_reward,n_visited,depth,time_s,best_smiles
0.3,0.5,0.01,0.5,0.5,0,0.2971531268647418,31,0,0.12,CC
0.3,0.5,0.01,0.5,0.5,1,0.329337138171115,30,0,0.11,CC1CCCCN1
0.3,0.5,0.01,0.5,1.0,0,0.2971531268647418,31,0,0.11,CC
0.3,0.5,0.01,0.5,1.0,1,0.329337138171115,30,0,0.11,CC1CCCCN1
0.3,0.5,0.01,5.0,0.5,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.3,0.5,0.01,5.0,0.5,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.3,0.5,0.01,5.0,1.0,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.3,0.5,0.01,5.0,1.0,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.3,0.5,0.2,0.5,0.5,0,0.2971531268647418,31,0,0.12,CC
0.3,0.5,0.2,0.5,0.5,1,0.2971531268647418,30,0,0.12,CC
0.3,0.5,0.2,0.5,1.0,0,0.2971531268647418,31,0,0.12,CC
0.3,0.5,0.2,0.5,1.0,1,0.2971531268647418,30,0,0.12,CC
0.3,0.5,0.2,5.0,0.5,0,0.329337138171115,31,0,0.13,CC1CCCCN1
0.3,0.5,0.2,5.0,0.5,1,0.32295934421472394,30,0,0.12,Cc1ccccc1
0.3,0.5,0.2,5.0,1.0,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.3,0.5,0.2,5.0,1.0,1,0.32295934421472394,30,0,0.12,Cc1ccccc1
0.3,2.0,0.01,0.5,0.5,0,0.2971531268647418,31,0,0.11,CC
0.3,2.0,0.01,0.5,0.5,1,0.329337138171115,30,0,0.11,CC1CCCCN1
0.3,2.0,0.01,0.5,1.0,0,0.2971531268647418,31,0,0.11,CC
0.3,2.0,0.01,0.5,1.0,1,0.329337138171115,30,0,0.11,CC1CCCCN1
0.3,2.0,0.01,5.0,0.5,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.3,2.0,0.01,5.0,0.5,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.3,2.0,0.01,5.0,1.0,0,0.329337138171115,31,0,0.13,CC1CCCCN1
0.3,2.0,0.01,5.0,1.0,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.3,2.0,0.2,0.5,0.5,0,0.2971531268647418,31,0,0.12,CC
0.3,2.0,0.2,0.5,0.5,1,0.2971531268647418,30,0,0.12,CC
0.3,2.0,0.2,0.5,1.0,0,0.2971531268647418,31,0,0.12,CC
0.3,2.0,0.2,0.5,1.0,1,0.2971531268647418,30,0,0.12,CC
0.3,2.0,0.2,5.0,0.5,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.3,2.0,0.2,5.0,0.5,1,0.32295934421472394,30,0,0.12,Cc1ccccc1
0.3,2.0,0.2,5.0,1.0,0,0.329337138171115,31,0,0.13,CC1CCCCN1
0.3,2.0,0.2,5.0,1.0,1,0.32295934421472394,30,0,0.12,Cc1ccccc1
0.7,0.5,0.01,0.5,0.5,0,0.2971531268647418,31,0,0.12,CC
0.7,0.5,0.01,0.5,0.5,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.7,0.5,0.01,0.5,1.0,0,0.2971531268647418,31,0,0.12,CC
0.7,0.5,0.01,0.5,1.0,1,0.329337138171115,30,0,0.11,CC1CCCCN1
0.7,0.5,0.01,5.0,0.5,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.7,0.5,0.01,5.0,0.5,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.7,0.5,0.01,5.0,1.0,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.7,0.5,0.01,5.0,1.0,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.7,0.5,0.2,0.5,0.5,0,0.2971531268647418,31,0,0.12,CC
0.7,0.5,0.2,0.5,0.5,1,0.2971531268647418,30,0,0.12,CC
0.7,0.5,0.2,0.5,1.0,0,0.2971531268647418,31,0,0.12,CC
0.7,0.5,0.2,0.5,1.0,1,0.2971531268647418,30,0,0.12,CC
0.7,0.5,0.2,5.0,0.5,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.7,0.5,0.2,5.0,0.5,1,0.32295934421472394,30,0,0.12,Cc1ccccc1
0.7,0.5,0.2,5.0,1.0,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.7,0.5,0.2,5.0,1.0,1,0.32295934421472394,30,0,0.12,Cc1ccccc1
0.7,2.0,0.01,0.5,0.5,0,0.2971531268647418,31,0,0.12,CC
0.7,2.0,0.01,0.5,0.5,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.7,2.0,0.01,0.5,1.0,0,0.2971531268647418,31,0,0.12,CC
0.7,2.0,0.01,0.5,1.0,1,0.329337138171115,30,0,0.11,CC1CCCCN1
0.7,2.0,0.01,5.0,0.5,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.7,2.0,0.01,5.0,0.5,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.7,2.0,0.01,5.0,1.0,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.7,2.0,0.01,5.0,1.0,1,0.329337138171115,30,0,0.12,CC1CCCCN1
0.7,2.0,0.2,0.5,0.5,0,0.2971531268647418,31,0,0.12,CC
0.7,2.0,0.2,0.5,0.5,1,0.2971531268647418,30,0,0.12,CC
0.7,2.0,0.2,0.5,1.0,0,0.2971531268647418,31,0,0.12,CC
0.7,2.0,0.2,0.5,1.0,1,0.2971531268647418,30,0,0.12,CC
0.7,2.0,0.2,5.0,0.5,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.7,2.0,0.2,5.0,0.5,1,0.32295934421472394,30,0,0.12,Cc1ccccc1
0.7,2.0,0.2,5.0,1.0,0,0.329337138171115,31,0,0.12,CC1CCCCN1
0.7,2.0,0.2,5.0,1.0,1,0.32295934421472394,30,0,0.12,Cc1ccccc1
