complex_name,candidate_id,candidate_rank,target,pdb_id,protein_path,protein_sha256,protein_sequence,ligand_description,candidate_file_sha256
PP-04_PfDHFR,PP-04,4,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,COc1ccc2c(OC)c3ccoc3nc2c1OC,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-04_PfCRT,PP-04,4,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,COc1ccc2c(OC)c3ccoc3nc2c1OC,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-04_PfClpP,PP-04,4,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,COc1ccc2c(OC)c3ccoc3nc2c1OC,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-04_PfATP4,PP-04,4,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,COc1ccc2c(OC)c3ccoc3nc2c1OC,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-05_PfDHFR,PP-05,5,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-05_PfCRT,PP-05,5,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-05_PfClpP,PP-05,5,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-05_PfATP4,PP-05,5,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-06_PfDHFR,PP-06,6,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-06_PfCRT,PP-06,6,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-06_PfClpP,PP-06,6,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-06_PfATP4,PP-06,6,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-07_PfDHFR,PP-07,7,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,CC(C)=CCOc1ccc2ccc(=O)oc2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-07_PfCRT,PP-07,7,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,CC(C)=CCOc1ccc2ccc(=O)oc2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-07_PfClpP,PP-07,7,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,CC(C)=CCOc1ccc2ccc(=O)oc2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-07_PfATP4,PP-07,7,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,CC(C)=CCOc1ccc2ccc(=O)oc2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-08_PfDHFR,PP-08,8,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,C=CCc1cc(OC)c2c(c1OC)OCO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-08_PfCRT,PP-08,8,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,C=CCc1cc(OC)c2c(c1OC)OCO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-08_PfClpP,PP-08,8,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,C=CCc1cc(OC)c2c(c1OC)OCO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-08_PfATP4,PP-08,8,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,C=CCc1cc(OC)c2c(c1OC)OCO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-09_PfDHFR,PP-09,9,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,CC(C)=CCc1ccc2cc[nH]c2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-09_PfCRT,PP-09,9,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,CC(C)=CCc1ccc2cc[nH]c2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-09_PfClpP,PP-09,9,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,CC(C)=CCc1ccc2cc[nH]c2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-09_PfATP4,PP-09,9,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,CC(C)=CCc1ccc2cc[nH]c2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-10_PfDHFR,PP-10,10,PfDHFR,7F3Y,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/7F3Y.pdb,f630faa7915c4da1db22c9301cc5bbb9dee83558ffe5b4bbe2520f3931701ef4,,COc1cccc2c(=O)c3ccc(O)cc3oc12,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-10_PfCRT,PP-10,10,PfCRT,6UKJ,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/6UKJ.pdb,9d5d008f38b7d7937f37737868c7bee047d01c0ea51e48cfe077595b28e77562,,COc1cccc2c(=O)c3ccc(O)cc3oc12,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-10_PfClpP,PP-10,10,PfClpP,4GM2,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/4GM2.pdb,2130e9fdde2a56b5c31eef94a620624679af009f06bbd5e145e6053a82117fcc,,COc1cccc2c(=O)c3ccc(O)cc3oc12,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
PP-10_PfATP4,PP-10,10,PfATP4,9N10,/home/nanaengo/Malaria_codesV2/Project2_Polypharmacology_MD_ValidationV2607/data/proteins/9N10.pdb,102e55cefea0f918cb003adbdacc2f27651021788c1aebb0a40c020069f75359,,COc1cccc2c(=O)c3ccc(O)cc3oc12,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36
