GENERALIZED BORN:
Complex Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
691,1978.55,4629.07,5728.01,556.32,303.19,-235.81,-4178.95,-34156.39,2139.53,26395.27,-5678.42,240.98,3158.79,-5437.44,-2278.65
701,2041.63,4669.71,5732.13,563.37,314.15,-222.17,-4154.62,-34172.22,2143.71,26291.37,-5616.34,239.05,3207.06,-5377.3,-2170.24
711,2024.53,4672.44,5736.29,552.63,314.0,-233.83,-4240.63,-34114.54,2099.89,26185.79,-5544.08,236.97,2996.59,-5307.11,-2310.52
721,2052.57,4545.45,5759.96,547.85,313.45,-204.41,-4156.97,-34068.48,2076.34,26255.02,-5689.42,234.91,3120.77,-5454.51,-2333.74
731,2062.36,4609.49,5747.87,552.32,324.76,-207.55,-4153.05,-34286.35,2109.43,26355.44,-5562.8,236.11,3114.71,-5326.69,-2211.98
741,2007.37,4632.56,5735.89,564.25,279.66,-226.47,-4167.77,-34177.35,2124.17,26290.22,-5584.41,238.66,3062.52,-5345.74,-2283.22
751,2067.84,4576.6,5740.38,575.06,310.62,-249.93,-4103.77,-34324.15,2109.77,26268.16,-5497.8,234.75,2970.58,-5263.05,-2292.46
761,2059.5,4661.59,5706.32,546.0,290.69,-225.03,-4186.66,-34256.63,2125.14,26228.95,-5475.82,234.71,2949.89,-5241.11,-2291.23
771,5323387.46,4724.25,5691.63,846288.08,296.69,-232.65,-4165.59,-34130.59,2119.1,26281.1,-5674.3,237.13,6170259.5,-5437.17,6164822.33
781,32981421.88,5725.02,5731.68,4519006.76,292.72,-227.39,-4187.56,-34170.51,2107.53,26308.19,-5645.89,240.11,37502008.33,-5405.78,37496602.56
791,41482502.36,6296.24,5779.35,1781150.18,1677.52,-250.92,-4195.81,-34133.44,2094.41,26280.36,-5672.46,240.07,43267200.26,-5432.39,43261767.86
801,42164607.04,6254.15,5674.8,2953338.51,324.53,-252.35,-4123.95,-34041.78,2139.65,26120.77,-5666.63,239.37,45120041.36,-5427.27,45114614.09
811,36921099.88,5899.46,5738.32,1595499.15,330.01,-245.7,-4190.02,-33999.77,2147.63,26146.55,-5667.93,239.16,38518425.51,-5428.76,38512996.74
821,29055700.67,5681.0,5768.55,561476.52,485.2,-240.08,-4158.99,-34286.33,2161.2,26263.19,-5528.42,236.88,29618850.94,-5291.53,29613559.41
831,39285234.67,5426.43,5748.66,940948.85,1262.85,-239.45,-4107.73,-34290.52,2177.21,26295.66,-5603.41,240.55,40228456.65,-5362.86,40223093.79
841,31352673.33,5904.29,5741.18,1036328.63,300.79,-224.41,-4141.04,-34127.72,2135.25,26188.69,-5546.24,231.61,32390778.99,-5314.63,32385464.36
851,36943754.72,5672.0,5706.73,3019289.66,1312.79,-226.3,-4186.06,-34285.25,2135.17,26314.73,-5584.58,233.24,39965488.19,-5351.34,39960136.85
861,29566699.41,5679.36,5792.89,559664.8,437.47,-214.58,-4154.36,-34054.9,2142.27,26142.7,-5662.83,236.06,30128135.06,-5426.77,30122708.29
871,89500932.11,7069.78,5702.98,3791310.41,1480.07,-208.48,-4098.54,-34243.69,2092.62,26272.87,-5659.49,241.45,93296310.13,-5418.04,93290892.09

Receptor Energy Terms
Frame #,BOND,ANGLE,DIHED,UB,IMP,CMAP,VDWAALS,EEL,1-4 VDW,1-4 EEL,EGB,ESURF,GGAS,GSOLV,TOTAL
1,1992.88,4649.53,5770.97,567.17,297.87,-214.65,-4126.45,-34392.56,2088.01,26586.17,-5516.43,236.79,3218.94,-5279.64,-2060.7
11,2003.26,4585.67,5762.86,564.94,294.13,-210.23,-4144.27,-34535.21,2089.73,26549.68,-5357.85,238.31,2960.55,-5119.54,-2158.99
21,1970.58,4586.42,5708.18,547.45,296.3,-205.44,-4069.55,-34526.54,2077.88,26473.56,-5352.39,236.3,2858.84,-5116.09,-2257.25
