candidate_id,canonical_smiles,v5_source_smiles,p2_source_rank,p2_source_smiles,p2_source_sha256,cohort_id
PP-01,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,1,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-02,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,2,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-03,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,3,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-04,COc1ccc2c(OC)c3ccoc3nc2c1OC,COc1ccc2c(OC)c3ccoc3nc2c1OC,4,COc1ccc2c(OC)c3ccoc3nc2c1OC,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-05,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-06,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,6,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-07,CC(C)=CCOc1ccc2ccc(=O)oc2c1,CC(C)=CCOc1ccc2ccc(=O)oc2c1,7,CC(C)=CCOc1ccc2ccc(=O)oc2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-08,C=CCc1cc(OC)c2c(c1OC)OCO2,C=CCc1cc(OC)c2c(c1OC)OCO2,8,C=CCc1cc(OC)c2c(c1OC)OCO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-09,CC(C)=CCc1ccc2cc[nH]c2c1,CC(C)=CCc1ccc2cc[nH]c2c1,9,CC(C)=CCc1ccc2cc[nH]c2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-10,COc1cccc2c(=O)c3ccc(O)cc3oc12,COc1cccc2c(=O)c3ccc(O)cc3oc12,10,COc1cccc2c(=O)c3ccc(O)cc3oc12,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-11,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,11,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-12,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,12,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-13,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,13,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-14,CC=Cc1cc(O)c(O)c(OC)c1,CC=Cc1cc(O)c(O)c(OC)c1,14,CC=Cc1cc(O)c(O)c(OC)c1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-16,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,16,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
PP-17,O=C(O)C=Cc1ccc(O)cc1,O=C(O)C=Cc1ccc(O)cc1,17,O=C(O)C=Cc1ccc(O)cc1,5fe90a6b7047626822e378cd0bcb5c41f7458b93a4ee63af3af3ead58ae45c36,P2_SET_C_POLYPHARM_17
