analysis_set,comparison,n,spearman_rho,permutation_p_two_sided,bonferroni_p_three_hypotheses,bootstrap_ci95_low,bootstrap_ci95_high,power_at_alpha_0017,inference_scope
available_17,ACSI_vs_PNS,17,-0.07843137254901962,0.786,1.0,-0.590557017384246,0.3975987883794574,0.018190632098973536,exploratory_selected_cohort; not independent validation
available_17,ACSI_vs_RRS_class,17,,0.0,0.0,,,,exploratory_selected_cohort; not independent validation
available_17,PNS_vs_RRS_class,17,,0.0,0.0,,,,exploratory_selected_cohort; not independent validation
