cluster_id,member_idx,vina_score,status,tanimoto_to_centroid,target,exhaustiveness,grid_version
52,0,-8.704,OK,0.7894736842105263,6UKJ,16,V2
289,0,-6.219,OK,0.85,7F3Y,16,V2
126,0,-8.234,OK,0.8043478260869565,6UKJ,16,V2
460,0,-8.548,OK,0.7368421052631579,6UKJ,16,V2
477,0,-8.283,OK,0.75,6UKJ,16,V2
247,0,-8.13,OK,0.6086956521739131,6UKJ,16,V2
357,0,-7.587,OK,0.8913043478260869,6UKJ,16,V2
161,0,-7.483,OK,1.0,6UKJ,16,V2
16,0,-8.571,OK,0.8205128205128205,6UKJ,16,V2
154,0,-8.31,OK,0.782608695652174,6UKJ,16,V2
467,0,-8.344,OK,0.7631578947368421,6UKJ,16,V2
22,0,-7.499,OK,0.6382978723404256,6UKJ,16,V2
459,0,-8.61,OK,0.7708333333333334,6UKJ,16,V2
334,0,-8.224,OK,0.8333333333333334,6UKJ,16,V2
246,0,-7.574,OK,1.0,6UKJ,16,V2
212,0,-6.362,OK,1.0,6UKJ,16,V2
139,0,-6.602,OK,0.7441860465116279,6UKJ,16,V2
78,0,-9.577,OK,0.8297872340425532,6UKJ,16,V2
325,0,-8.083,OK,0.8301886792452831,6UKJ,16,V2
200,0,-8.951,OK,0.8541666666666666,6UKJ,16,V2
