smile,score_1syh,score_6y2f,score_4lde
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,-0.9,-7.1,-10.4
COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,-5.9,-6.7,-9.6
COc1cc2ccc(=O)oc2cc1OC,-8.2,-5.1,-6.7
COc1ccc(-c2cc(=O)c3c(O)cc(OC)cc3o2)cc1,1.7,-6.9,-10.0
O=C(O)C=Cc1ccc(O)cc1,-8.3,-4.9,-7.3
CC(C)=CCOc1ccc2ccc(=O)oc2c1,-7.6,-5.4,-9.1
COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1OC,9.3,-6.3,-7.3
COc1ccc(-c2oc3cc(OC)c(OC)cc3c(=O)c2O)cc1O,8.2,-6.9,-7.5
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,-2.9,-7.0,-8.4
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,-7.4,-4.6,-7.6
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,11.9,-7.7,-11.1
COc1cc(O)c(OC)c(O)c1C(=O)C=Cc1ccccc1,-1.6,-6.2,-9.1
COc1cc(O)c(C(=O)C=Cc2ccccc2)c(OC)c1,-2.9,-5.8,-8.5
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,-5.4,-7.6,-9.3
COc1cc(O)cc(O)c1C(=O)C=Cc1ccccc1,-6.1,-6.3,-9.7
COc1cc(O)c(C(=O)C=Cc2ccccc2)c(O)c1OC,0.9,-6.0,-10.0
COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1,-6.3,-5.7,-9.0
COc1cc(O)c(C(=O)CCc2ccccc2)c(O)c1OC,-5.2,-5.9,-9.5
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,-0.4,-7.3,-9.8
COc1ccc2c(=O)c3cccc(O)c3oc2c1,-6.6,-6.1,-8.8
COc1cccc2c(=O)c3ccc(O)cc3oc12,-7.7,-6.1,-8.5
COc1cc2[nH]c3ccccc3c(=O)c2c(O)c1OC,-3.9,-6.5,-7.5
COc1ccc(O)c2c1C(=O)c1coc(C)c1C2=O,-5.6,-5.9,-7.3
CC=Cc1cc(O)c(O)c(OC)c1,-7.6,-5.3,-7.5
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,-7.7,-5.7,-8.7
COc1ccc(OC)c2c1C(=O)c1coc(C)c1C2=O,-4.8,-6.0,-6.5
CC(=O)OCc1occ2c1C(=O)c1c(O)cccc1C2=O,-6.4,-6.4,-8.8
CC1(C)CCC[C@]2(C)c3cc(O)c(O)cc3CCC12,-5.7,-6.9,-9.7
C=C[C@](C)(O)CC/C=C(\C)CCC=C(C)C,-6.6,-5.1,-7.7
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,7.2,-7.1,-9.3
COc1c2ccc(OC[C@@H](O)C(C)(C)O)cc2nc2occc12,-3.0,-6.8,-9.3
Oc1cc(O)cc(-c2cc3ccc(O)cc3o2)c1,-4.1,-6.9,-10.3
CC(C)=CCc1c(O)cc(-c2cc3ccc(O)cc3o2)cc1O,9.7,-6.4,-11.3
COc1cc2ccc(=O)oc2cc1OCC=C(C)C,-6.1,-6.0,-8.0
O=C1C=C/C(=C/[C@H](O)COc2ccccc2)O1,10000,10000,10000
COc1cc(O)c(Cc2ccccc2O)cc1C(=O)CCc1ccccc1,-2.5,-6.6,-9.4
COc1c(C(=O)CCc2ccccc2)ccc(O)c1Cc1ccccc1O,-1.6,-6.8,-9.1
Cc1c(O)c(C)c(O)c(C(=O)C=Cc2ccccc2)c1O,-0.6,-6.6,-10.3
COc1ccc(CC2C(=O)OC[C@@H]2Cc2ccc(OC)c(OC)c2)cc1OC,-1.2,-6.7,-9.6
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,-0.6,-7.0,-9.8
COc1cccc2cc(C)c(C(C)=O)c(O)c12,-6.6,-5.4,-7.7
COc1cc(OC)c(OC)c(O)c1C=CC(=O)c1ccccc1,1.7,-6.1,-8.8
COc1ccc2c(OC)c3ccoc3nc2c1OC,-8.1,-5.4,-6.9
CC(C)=CCc1ccc2cc[nH]c2c1,-7.3,-5.2,-8.6
C=C(C)/C=C/c1ccc2cc[nH]c2c1,-5.8,-5.1,-8.5
COc1ccc2c(=O)c3c(OC)c4c(cc3n(C)c2c1OC)OCO4,7.9,-6.3,-3.2
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,-0.8,-7.6,-10.0
COc1ccc(C2CC(=O)c3c(OC)c(OC)c(O)c(OC)c3O2)cc1,8.6,-6.4,-7.5
COc1cc(O)c2c(c1)O[C@H](c1ccc(O)cc1)CC2=O,-3.7,-6.9,-9.9
C=CCc1cc(OC)c2c(c1OC)OCO2,-7.6,-5.0,-7.4
COC(=O)c1cc(OC)c2cc(OC)c(OC)c(O)c2c1O,-5.8,-6.7,-6.9
Cc1cc(O)c2c(c1)C(=O)c1cccc(O)c1C2=O,-6.7,-6.9,-8.0
C=CCc1cc2c(c(OC)c1OC)OCO2,-7.0,-4.7,-6.5
CC(C)CNC(=O)/C=C/c1ccc2c(c1)OCO2,0.6,-5.7,-8.9
COc1c(-c2ccc(O)cc2)oc2cc3c(c(O)c2c1=O)C=CC(C)(C)O3,19.7,-7.1,-8.2
COc1c2ccoc2nc2c(OC)c3c(cc12)OCO3,-8.1,-6.0,-7.3
COc1cc(OC)c2nc3occc3c(OC)c2c1,-7.1,-5.6,-7.0
COc1c(OC)c(OC)c2c(c1OC)c(=O)c1ccccc1n2C,-2.2,-6.1,-2.3
C=CCc1cc(OC)c2c(c1)OCO2,-7.2,-4.7,-7.3
COc1c(OC)c(OC)c2c(c1O)c(=O)c1ccccc1n2C,-3.9,-6.3,-3.8
C=CCc1c(OC)c(OC)c2c(c1OC)OCO2,-6.5,-4.7,-5.3
c1cc2c(cc1[C@H]1OC[C@H]3[C@@H]1CO[C@@H]3c1ccc3c(c1)OCO3)OCO2,19.8,-7.0,-10.6
COc1ccc2c(OC)c3ccoc3nc2c1OC,-8.1,-5.5,-6.9
COc1cc(C=O)cc(OC)c1O,-8.0,-4.6,-6.5
COc1c2c(cc3c1c(=O)c1cccc(OC)c1n3C)OCO2,-2.7,-6.3,-4.4
C=C[C@H]1C[N@@]2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,10000,10000,10000
COc1nccnc1NS(=O)(=O)c1ccc(N)cc1,-6.8,-6.0,-8.2
CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-2.9,-5.4,-8.3
Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1,-6.5,-6.0,-8.6
C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,-2.3,-6.4,-8.1
COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,-6.6,-6.0,-8.0
COc1cc(NC(C)CCCN)c2ncccc2c1,-6.3,-5.3,-8.3
O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,3.6,-7.0,-6.5
CC(=O)N(c1onc(C)c1C)S(=O)(=O)c1ccc(N)cc1,-7.9,-6.4,-8.5
CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,-7.0,-5.3,-8.6
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,-3.8,-5.7,-8.6
CCN(CC)CCCNc1ccnc2cc(Cl)ccc12,-4.3,-5.1,-7.8
CN(C)c1ccc(C(O)(c2ccc(N(C)C)cc2)c2ccc(N(C)C)cc2)cc1,31.8,-6.0,9.3
CCOC(=O)c1cnc2c(C)cc(C)cc2c1Nc1ccc(OC)c(OC)c1,1.5,-6.6,-7.9
Cc1cc(C)cc(Nc2cc(C)nc3nc(C(F)(F)F)nn23)c1,-5.5,-7.3,-9.6
Cc1cccc(Nc2nc(N)c3ccccc3n2)c1,-4.3,-6.5,-10.1
CCc1ccc(Nc2cc(C)c3ccc(O)cc3n2)cc1,0.6,-6.6,-10.6
Fc1ccc2[nH]c3c(NCCCN4CCOCC4)ncnc3c2c1,-3.8,-6.7,-8.9
CCCc1c(CC)c(=N)c2ccccc2n1C,10000,10000,10000
Cc1cc(NCCN2CCCCC2)c2ccc3ccccc3c2n1,-1.6,-6.6,-9.1
CSc1ccccc1C(=O)Nc1nc(-c2ccccn2)cs1,8.0,-5.9,-9.4
CN(C)CCCNc1c2ccccc2nc2ccccc12,-3.7,-6.1,-7.5
CNCCCNc1ccnc2cc(Cl)ccc12,-6.3,-5.1,-7.3
COc1ccccc1CNC(=O)CCn1c(=O)[nH]c2ccccc2c1=O,-1.1,-7.1,-10.3
Oc1ccccc1CNCC12CC3CC(CC(C3)C1)C2,10000,10000,10000
COc1ccc(C=C2SC(=N)N(c3ccccc3OC)C2=O)cc1,10000,10000,10000
CC(C)(C)c1ccc(O)c(CNC2CCCCC2)c1,-4.5,-5.9,-9.9
CN(C)c1ccc(C=Cc2nc(=O)c3ccccc3o2)cc1,13.3,-6.3,-10.2
CCN(CC)CCNc1ccnc2cc(Cl)ccc12,-4.3,-4.9,-7.7
CC1CN(C(=O)c2sc3ccccc3c2Cl)CC(C)O1,1.7,-6.1,-7.1
CCCN(CCC)CC(O)COc1ccccc1C(=O)Nc1ccccc1,-2.5,-6.3,-8.1
C=CC12CCN(CC1)C(C(O)c1ccnc3ccc(OC)cc13)C2,-1.3,-6.5,-9.3
OC(CNC1CCCCC1)Cn1c2ccccc2c2ccccc21,-4.0,-5.9,-9.3
Cc1cc(C)c2c(c1)OCN(Cc1ccccc1Cl)C2,-1.4,-5.9,-9.3
CCN(CC)CCNc1ncnc2c1[nH]c1ccc(Cl)cc12,-4.0,-5.6,-8.1
COc1ccccc1N=C1C(=O)c2ccccc2C(=O)C1N1CCCCC1,6.1,-6.6,-4.1
COc1ccc2c(=O)cc(C(Cl)(Cl)Cl)oc2c1,-2.9,-5.6,-8.4
CCCc1cc(O)c2c3c(c(=O)oc2c1)CN(C)CC3,-4.2,-6.3,-9.0
CCOC(=O)c1c[nH]c2ccc(CC)cc2c1=O,-4.8,-5.5,-8.3
Cc1cc(Nc2ccc(Cl)cc2)n2nc(C(F)(F)F)nc2n1,-3.9,-6.9,-9.2
COc1cccc(C=Cc2nc(=O)c3ccccc3o2)c1OC,7.3,-6.4,-9.9
CCOc1cc2c(cc1OCC)C(c1cc(OC)c(O)cc1Cl)NCC2,2.9,-6.1,-7.3
CCOC(=O)c1cn(CC)c2cc(N3CCCCC3)c(F)cc2c1=O,6.1,-6.1,-7.6
Cc1ccc(Nc2nc(NCCO)c3ccccc3n2)cc1C,2.0,-6.7,-10.3
COc1ccc2c(c1)OC(O)(C(F)(F)C(F)(F)F)CC2=O,-6.8,-6.1,-9.4
CCOC(=O)c1ccc2[nH]c(-c3ccccc3)cc(=O)c2c1,4.0,-6.0,-10.0
COc1ccc(C(=O)Nc2nonc2-c2ccc(OC)c(OC)c2)cc1Cl,1.8,-6.9,-9.4
Cc1ccc(Nc2nc(-c3ccccn3)cs2)cc1,-0.8,-6.2,-8.8
CCOc1cc(Cl)c(C(C)NC(=O)c2ccccc2)cc1OCC,-0.4,-5.8,-7.5
CCCCc1ccc(NS(=O)(=O)c2cc3c4c(c2)CCN4C(=O)CC3)cc1,-2.8,-6.5,-10.9
Oc1ccc(Cl)cc1CNc1nc2ccccc2[nH]1,-5.5,-6.5,-9.4
CC(C)(C)CC(C)(C)NCC(O)COc1ccc2c(c1)CCC2,-3.8,-5.5,-9.3
FC(F)(F)c1cccc(CNC2CCN(CCc3ccccc3)CC2)c1,-4.0,-6.9,-10.6
