candidate,smiles,aq_sol,cyp3a4,caco_2,clint_h
PP-01,COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,0.34087080948725546,0.3858012,0.6313905,0.6046306309695422
PP-02,COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,0.46437357484997976,0.97304755,0.86480504,0.5518118407006769
PP-03,CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,0.428554040167218,0.62270486,0.95232975,0.5548057123119319
PP-04,COc1ccc2c(OC)c3ccoc3nc2c1OC,0.3979292350294901,0.58042663,0.922727,0.6256677945239044
PP-05,COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,0.6076725605102444,0.9983386,0.34755647,0.5078448020932965
PP-06,COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,0.5402238281332842,0.8977693,0.9713788,0.596357036848647
PP-07,CC(C)=CCOc1ccc2ccc(=O)oc2c1,0.3593460084181792,0.02214521,0.7464987,0.6238452145228135
PP-08,C=CCc1cc(OC)c2c(c1OC)OCO2,0.5928363628855294,0.99683726,0.41253456,0.562250370062526
PP-09,CC(C)=CCc1ccc2cc[nH]c2c1,0.6513767897835414,0.13065913,0.8071401,0.5663047624816555
PP-10,COc1cccc2c(=O)c3ccc(O)cc3oc12,0.494145094936337,0.1337138,0.9273293,0.6190611490907936
PP-11,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,0.3946928614042198,0.061855964,0.95640737,0.5765013756171566
PP-12,C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,0.4898801675889977,0.00034732313,0.97711986,0.4832480434897456
PP-13,CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,0.5728652134128172,0.97043127,0.9790278,0.5342183792140577
PP-14,CC=Cc1cc(O)c(O)c(OC)c1,0.6552906053647727,0.052803013,0.6789743,0.4920723371629024
PP-15,COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,0.6556322496666993,0.4936005,0.9453643,0.5067735230653954
PP-16,Cc1occ2c1C(=O)c1c(O)cccc1C2=O,0.5443252150148703,0.2465393,0.9141297,0.5042699199476507
PP-17,O=C(O)C=Cc1ccc(O)cc1,0.7294527567124411,0.0059163137,0.82366514,0.5023356816014881
