Ligand,Vina_Score,Vinardo_Score,Best_Score,Category
ligand_270,-7.595,-6.318,-7.595,GOOD
ligand_271,-7.283,-5.779,-7.283,GOOD
ligand_272,-5.74,-4.836,-5.74,OTHERS
ligand_273,-7.859,-6.458,-7.859,GOOD
ligand_274,-6.63,-5.756,-6.63,OTHERS
ligand_275,-8.39,-6.105,-8.39,GOOD
ligand_276,-6.96,-5.894,-6.96,OTHERS
ligand_277,-9.212,-6.8,-9.212,EXCELLENT
ligand_278,-7.852,-6.128,-7.852,GOOD
ligand_279,-7.43,-5.312,-7.43,GOOD
ligand_27,-5.742,-5.442,-5.742,OTHERS
ligand_280,-7.286,-6.411,-7.286,GOOD
ligand_281,-6.912,-5.279,-6.912,OTHERS
ligand_282,-7.057,-6.113,-7.057,GOOD
ligand_283,-6.777,-5.578,-6.777,OTHERS
ligand_284,-5.603,-4.523,-5.603,OTHERS
ligand_285,-6.714,-4.631,-6.714,OTHERS
ligand_286,-7.074,-5.25,-7.074,GOOD
ligand_287,-7.878,-5.712,-7.878,GOOD
ligand_288,-6.932,-5.251,-6.932,OTHERS
ligand_289,-6.37,-5.175,-6.37,OTHERS
ligand_28,-5.096,-4.569,-5.096,OTHERS
ligand_290,-7.181,-6.094,-7.181,GOOD
ligand_291,-5.118,-4.793,-5.118,OTHERS
ligand_292,-8.238,-7.064,-8.238,GOOD
ligand_293,-6.067,-4.734,-6.067,OTHERS
ligand_294,-8.273,-6.299,-8.273,GOOD
ligand_295,-8.666,-6.459,-8.666,GOOD
ligand_296,-6.02,-4.301,-6.02,OTHERS
ligand_297,-7.169,-5.614,-7.169,GOOD
ligand_298,-8.043,-6.153,-8.043,GOOD
ligand_299,-6.075,-4.301,-6.075,OTHERS
ligand_29,-7.365,-5.345,-7.365,GOOD
ligand_2,-7.527,-5.194,-7.527,GOOD
ligand_300,-6.43,-5.42,-6.43,OTHERS
ligand_301,-6.839,-4.705,-6.839,OTHERS
ligand_302,-7.466,-5.409,-7.466,GOOD
ligand_303,-5.648,-4.725,-5.648,OTHERS
ligand_304,-6.004,-4.23,-6.004,OTHERS
ligand_305,-5.84,-4.392,-5.84,OTHERS
ligand_306,-5.359,-3.903,-5.359,OTHERS
ligand_307,-7.38,-5.88,-7.38,GOOD
ligand_308,-7.763,-6.059,-7.763,GOOD
ligand_309,-6.737,-5.466,-6.737,OTHERS
ligand_30,-7.95,-5.458,-7.95,GOOD
ligand_310,-6.52,-5.969,-6.52,OTHERS
ligand_311,-7.519,-4.976,-7.519,GOOD
